nega_1,nega_2,nega_3,nega_4,nega_5,nega_6,nega_7,nega_8,aff_1,aff_2,aff_3,aff_4,aff_5,aff_6,aff_7,aff_8,val_1,val_2,val_3,val_4,val_5,val_6,val_7,val_8,ioni1_1,ioni1_2,ioni1_3,ioni1_4,ioni1_5,ioni1_6,ioni1_7,ioni1_8,ioni2_1,ioni2_2,ioni2_3,ioni2_4,ioni2_5,ioni2_6,ioni2_7,ioni2_8,radius_1,radius_2,radius_3,radius_4,radius_5,radius_6,radius_7,radius_8,redox_1,redox_2,redox_3,redox_4,redox_5,redox_6,redox_7,redox_8,TC_1,TC_2,TC_3,TC_4,TC_5,TC_6,TC_7,TC_8,HF_1,HF_2,HF_3,HF_4,HF_5,HF_6,HF_7,HF_8,resis_1,resis_2,resis_3,resis_4,resis_5,resis_6,resis_7,resis_8,iradius_1,iradius_2,iradius_3,iradius_4,iradius_5,iradius_6,iradius_7,iradius_8,oxir_1,oxir_2,oxir_3,oxir_4,oxir_5,oxir_6,oxir_7,oxir_8,hyden_1,hyden_2,hyden_3,hyden_4,hyden_5,hyden_6,hyden_7,hyden_8,ioni3_1,ioni3_2,ioni3_3,ioni3_4,ioni3_5,ioni3_6,ioni3_7,ioni3_8,ioni4_1,ioni4_2,ioni4_3,ioni4_4,ioni4_5,ioni4_6,ioni4_7,ioni4_8,ioni5_1,ioni5_2,ioni5_3,ioni5_4,ioni5_5,ioni5_6,ioni5_7,ioni5_8,EC_1,EC_2,EC_3,EC_4,EC_5,EC_6,EC_7,EC_8,NC_1,NC_2,NC_3,NC_4,NC_5,NC_6,NC_7,NC_8,NM_1,NM_2,NM_3,NM_4,NM_5,NM_6,NM_7,NM_8,SH_1,SH_2,SH_3,SH_4,SH_5,SH_6,SH_7,SH_8,LCx_1,LCx_2,LCx_3,LCx_4,LCx_5,LCx_6,LCx_7,LCx_8,LCz_1,LCz_2,LCz_3,LCz_4,LCz_5,LCz_6,LCz_7,LCz_8
0.24753641432422244,0.229615707,0.118185327,0.132765797,0.245215079,0.245755534,0.119461964,0.113585391,-0.054385903,-0.056929335,0.084850713,0.074016084,-0.056061957,-0.052930825,0.091540982,0.081954177,0.676171269,0.609813723,0.109859566,0.126157494,0.663959208,0.674163645,0.11030239,0.105531375,0.02193433,0.020702958,0.017076708,0.018864086,0.02184892,0.021717992,0.017347729,0.016418145,0.0160921,0.01421937,-1.97E-05,-2.29E-05,0.015702466,0.016092498,-1.97E-05,-1.89E-05,0.073485931,0.072369262,0.255861487,0.266879235,0.074214687,0.072267258,0.264194422,0.24629459,0.030627442,0.026668969,-0.003056891,-0.003585181,0.029752902,0.030692903,-0.003048942,-0.002935032,0.072564068,0.069946017,0.10391355,0.111970488,0.072772517,0.071609432,0.106326907,0.099959858,0.008191144,0.007782119,0.007644501,0.008384516,0.00817639,0.008102013,0.007782119,0.007350836,0.141068082,0.133374327,0.115065924,0.126881049,0.140594897,0.139639684,0.11695406,0.110632765,0.6478308,0.629635979,1.232693662,1.313060576,0.651438516,0.638458064,1.265444965,1.186082124,-0.040834247,-0.044416352,0.027542668,0.017053476,-0.042656809,-0.039467213,0.03160405,0.026735321,-0.038171025,-0.039072461,0.128869152,0.122807233,-0.039049291,-0.037294826,0.1362132,0.124271894,0.405722885,0.396757174,0.990113997,1.044850117,0.408801774,0.399454168,1.019080557,0.95286212,0.482779197,0.426913438,0.00200048,0.002326223,0.47119705,0.482738922,0.002000693,0.001921114,-0.071227351,-0.084415862,-0.005832608,-0.033326859,-0.07674751,-0.067703607,0.001361209,-0.005095341,0.037829976,0.037141466,0.111489673,0.116895903,0.038166796,0.03722127,0.11495662,0.107309435,0.971759301,0.791764795,-0.428581026,-0.516898239,0.925662034,0.982765653,-0.423604238,-0.411224607,0.099922764,0.096549808,0.154779496,0.166240591,0.100288119,0.098570091,0.158520483,0.148900748,-0.039632341,-0.041353191,0.067354015,0.059661007,-0.04080899,-0.038593758,0.072418761,0.065037467,0.303537584,0.285925037,0.223678149,0.247605618,0.302162605,0.300637724,0.22708836,0.215042182,0.139905396,0.136868022,0.347501601,0.366481821,0.140985396,0.137734846,0.357730529,0.334431655
0.1271096,0.121075551,0.230341446,0.247539273,0.127160768,0.241894717,0.233091126,0.112112348,0.088048097,0.081751395,-0.051395283,-0.061194699,0.086190028,-0.056582787,-0.053641923,0.090891085,0.118568696,0.113212839,0.627087096,0.657894499,0.118860383,0.651531273,0.630186868,0.102874428,0.018318064,0.017416746,0.020453993,0.022309189,0.018297051,0.021623498,0.020788019,0.01635514,-2.13E-05,-2.04E-05,0.0148883,0.015348811,-2.14E-05,0.015350071,0.014887686,-1.83E-05,0.272085775,0.257127592,0.068891896,0.077902569,0.270368887,0.074039949,0.070773526,0.252745895,-0.003310496,-0.003168365,0.028288414,0.028798673,-0.003325265,0.029006153,0.028187343,-0.002826011,0.111042511,0.10529788,0.067843579,0.075333355,0.110663861,0.072307604,0.069317539,0.100899255,0.008191144,0.007782119,0.007644501,0.008384516,0.00817639,0.008102013,0.007782119,0.007350836,0.123395966,0.117301645,0.131574879,0.143716015,0.123234045,0.139188664,0.133780325,0.110315455,1.314970526,1.245421074,0.606316707,0.677994155,1.309125832,0.64828698,0.620788213,1.204361921,0.027530002,0.024843085,-0.03879198,-0.047703379,0.026306709,-0.043370526,-0.040902679,0.032907402,0.135291288,0.126686522,-0.035964696,-0.042021486,0.133393765,-0.039244348,-0.037317547,0.132968793,1.054720787,0.997952641,0.380018584,0.427165616,1.049153199,0.407296726,0.389697483,0.972149782,0.002163433,0.002068577,0.446702616,0.460813847,0.002171321,0.460686195,0.4467648,0.001859142,-0.010307298,-0.012478737,-0.068508095,-0.09050005,-0.012691352,-0.079331437,-0.073948756,0.007539136,0.11865049,0.112188402,0.035451197,0.039984226,0.117956211,0.038054913,0.036391039,0.10983654,-0.466283954,-0.447671073,0.890937543,0.856588721,-0.46962209,0.891473693,0.873943733,-0.389254009,0.165316778,0.15671036,0.093450721,0.103980052,0.16470477,0.099692714,0.095539248,0.150553209,0.070028811,0.065114212,-0.037436894,-0.044454767,0.068634602,-0.041162947,-0.039040465,0.071705785,0.240015659,0.228257352,0.282982464,0.308123908,0.239786278,0.298932715,0.287459847,0.213975009,0.370141986,0.350196731,0.131048376,0.147356504,0.368167413,0.140476881,0.134399705,0.341309254
0.1271096,0.233091126,0.230341446,0.247539273,0.127160768,0.241894717,0.121075551,0.112112348,0.088048097,-0.053641923,-0.051395283,-0.061194699,0.086190028,-0.056582787,0.081751395,0.090891085,0.118568696,0.630186868,0.627087096,0.657894499,0.118860383,0.651531273,0.113212839,0.102874428,0.018318064,0.020788019,0.020453993,0.022309189,0.018297051,0.021623498,0.017416746,0.01635514,-2.13E-05,0.014887686,0.0148883,0.015348811,-2.14E-05,0.015350071,-2.04E-05,-1.83E-05,0.272085775,0.070773526,0.068891896,0.077902569,0.270368887,0.074039949,0.257127592,0.252745895,-0.003310496,0.028187343,0.028288414,0.028798673,-0.003325265,0.029006153,-0.003168365,-0.002826011,0.111042511,0.069317539,0.067843579,0.075333355,0.110663861,0.072307604,0.10529788,0.100899255,0.008191144,0.007782119,0.007644501,0.008384516,0.00817639,0.008102013,0.007782119,0.007350836,0.123395966,0.133780325,0.131574879,0.143716015,0.123234045,0.139188664,0.117301645,0.110315455,1.314970526,0.620788213,0.606316707,0.677994155,1.309125832,0.64828698,1.245421074,1.204361921,0.027530002,-0.040902679,-0.03879198,-0.047703379,0.026306709,-0.043370526,0.024843085,0.032907402,0.135291288,-0.037317547,-0.035964696,-0.042021486,0.133393765,-0.039244348,0.126686522,0.132968793,1.054720787,0.389697483,0.380018584,0.427165616,1.049153199,0.407296726,0.997952641,0.972149782,0.002163433,0.4467648,0.446702616,0.460813847,0.002171321,0.460686195,0.002068577,0.001859142,-0.010307298,-0.073948756,-0.068508095,-0.09050005,-0.012691352,-0.079331437,-0.012478737,0.007539136,0.11865049,0.036391039,0.035451197,0.039984226,0.117956211,0.038054913,0.112188402,0.10983654,-0.466283954,0.873943733,0.890937543,0.856588721,-0.46962209,0.891473693,-0.447671073,-0.389254009,0.165316778,0.095539248,0.093450721,0.103980052,0.16470477,0.099692714,0.15671036,0.150553209,0.070028811,-0.039040465,-0.037436894,-0.044454767,0.068634602,-0.041162947,0.065114212,0.071705785,0.240015659,0.287459847,0.282982464,0.308123908,0.239786278,0.298932715,0.228257352,0.213975009,0.370141986,0.134399705,0.131048376,0.147356504,0.368167413,0.140476881,0.350196731,0.341309254
0.126514665,0.120729591,0.229596301,0.13037834,0.240609118,0.240613319,0.232345981,0.112112348,0.09165755,0.083850325,-0.052100119,0.088500715,-0.060418754,-0.057794867,-0.054346758,0.090891085,0.117495603,0.112588826,0.622719005,0.121851205,0.636958744,0.644019628,0.625818777,0.102874428,0.018292617,0.017401948,0.020435755,0.01876197,0.021736189,0.021592136,0.020769782,0.01635514,-2.10E-05,-2.02E-05,0.01474501,-2.19E-05,0.014816749,0.01510366,0.014744396,-1.83E-05,0.274691339,0.258642751,0.069234029,0.277335286,0.076329511,0.074628302,0.071115659,0.252745895,-0.003266465,-0.00314276,0.027962868,-0.003408484,0.027740607,0.028446323,0.027861797,-0.002826011,0.111421917,0.105518508,0.067978328,0.113493031,0.073605437,0.072539326,0.069452287,0.100899255,0.008191144,0.007782119,0.007644501,0.008384516,0.00817639,0.008102013,0.007782119,0.007350836,0.12326781,0.117227121,0.131487831,0.126366764,0.140056829,0.139038971,0.133693278,0.110315455,1.3223534,1.249714284,0.608213707,1.342687839,0.663164431,0.65154918,0.622685213,1.204361921,0.030022792,0.026292665,-0.039545327,0.027056972,-0.047313468,-0.044666028,-0.041656026,0.032907402,0.138803805,0.128729083,-0.036340957,0.136902865,-0.041375073,-0.03989139,-0.037693808,0.132968793,1.062510719,1.002482558,0.381532212,1.076110892,0.41815796,0.409899657,0.391211112,0.972149782,0.002138403,0.002054022,0.442446397,0.002225781,0.444888103,0.453366933,0.442508582,0.001859142,-0.005204465,-0.009511392,-0.070752288,-0.012849335,-0.090619532,-0.083190693,-0.076192949,0.007539136,0.119671141,0.11278192,0.035612091,0.120991748,0.039161334,0.038331598,0.036551934,0.10983654,-0.457410434,-0.442511038,0.87331802,-0.481289053,0.816750551,0.86117405,0.85632421,-0.389254009,0.165984177,0.157098458,0.09366739,0.168918842,0.10162741,0.100065311,0.095755916,0.150553209,0.072722022,0.066680339,-0.037932752,0.070468785,-0.043874038,-0.042015657,-0.039536324,0.071705785,0.239584648,0.228006715,0.282653394,0.245875982,0.300128526,0.298366825,0.287130777,0.213975009,0.372919722,0.35181201,0.131577594,0.377628797,0.144256648,0.141386957,0.134928923,0.341309254
0.124722143,0.233091126,0.118325871,0.242397058,0.125368246,0.122941262,0.233091126,0.221743609,0.102532729,-0.053641923,0.083998034,-0.06605874,0.097065207,0.103987806,-0.053641923,-0.049183739,0.114262407,0.630186868,0.110113068,0.627750481,0.115627187,0.112254783,0.630186868,0.604467416,0.018215948,0.020788019,0.017082719,0.022183334,0.018220381,0.017999609,0.020788019,0.019674388,-2.03E-05,0.014887686,-1.97E-05,0.014359974,-2.06E-05,-1.99E-05,0.014887686,0.014364584,0.282541827,0.070773526,0.255245962,0.080263613,0.278219376,0.281323155,0.070773526,0.066130273,-0.003133799,0.028187343,-0.003067293,0.026552094,-0.003192599,-0.003068338,0.028187343,0.027311263,0.112565054,0.069317539,0.103823921,0.076263249,0.111806999,0.111610418,0.069317539,0.065192016,0.008191144,0.007782119,0.007644501,0.008384516,0.00817639,0.008102013,0.007782119,0.007350836,0.122881681,0.133780325,0.115096198,0.143115302,0.122847916,0.121453283,0.133780325,0.126549709,1.344597788,0.620788213,1.230949568,0.691085272,1.331370221,1.335225052,0.620788213,0.582386616,0.037533498,-0.040902679,0.026953784,-0.052902194,0.033817414,0.038900531,-0.040902679,-0.037048268,0.14938692,-0.037317547,0.128039372,-0.04461805,0.14397688,0.150263119,-0.037317547,-0.03445649,1.085981562,0.389697483,0.988273741,0.437611105,1.072624042,1.079712845,0.389697483,0.364910769,0.002062991,0.4467648,0.002006393,0.431441857,0.002095908,0.002022716,0.4467648,0.430974777,0.010170226,-0.073948756,-0.007038076,-0.105987136,0.002683339,0.013693969,-0.073948756,-0.065121141,0.122746334,0.036391039,0.111248559,0.041094554,0.121031405,0.122137628,0.036391039,0.034035192,-0.430674769,0.873943733,-0.430677264,0.734997118,-0.442886425,-0.419668417,0.873943733,0.862641348,0.167995029,0.095539248,0.154621833,0.105475272,0.166715623,0.166642357,0.095539248,0.08978789,0.08083659,-0.039040465,0.066717784,-0.047876665,0.07674917,0.081875172,-0.039040465,-0.035831887,0.238286023,0.287459847,0.223779969,0.305853009,0.238487653,0.235386163,0.287459847,0.272222401,0.381288962,0.134399705,0.346845402,0.151008615,0.376536652,0.379118412,0.134399705,0.125836049
0.247536414,0.119461964,0.118185327,0.132765797,0.245215079,0.245755534,0.229615707,0.113585391,-0.054385903,0.091540982,0.084850713,0.074016084,-0.056061957,-0.052930825,-0.056929335,0.081954177,0.676171269,0.11030239,0.109859566,0.126157494,0.663959208,0.674163645,0.609813723,0.105531375,0.02193433,0.017347729,0.017076708,0.018864086,0.02184892,0.021717992,0.020702958,0.016418145,0.0160921,-1.97E-05,-1.97E-05,-2.29E-05,0.015702466,0.016092498,0.01421937,-1.89E-05,0.073485931,0.264194422,0.255861487,0.266879235,0.074214687,0.072267258,0.072369262,0.24629459,0.030627442,-0.003048942,-0.003056891,-0.003585181,0.029752902,0.030692903,0.026668969,-0.002935032,0.072564068,0.106326907,0.10391355,0.111970488,0.072772517,0.071609432,0.069946017,0.099959858,0.008191144,0.007782119,0.007644501,0.008384516,0.00817639,0.008102013,0.007782119,0.007350836,0.141068082,0.11695406,0.115065924,0.126881049,0.140594897,0.139639684,0.133374327,0.110632765,0.6478308,1.265444965,1.232693662,1.313060576,0.651438516,0.638458064,0.629635979,1.186082124,-0.040834247,0.03160405,0.027542668,0.017053476,-0.042656809,-0.039467213,-0.044416352,0.026735321,-0.038171025,0.1362132,0.128869152,0.122807233,-0.039049291,-0.037294826,-0.039072461,0.124271894,0.405722885,1.019080557,0.990113997,1.044850117,0.408801774,0.399454168,0.396757174,0.95286212,0.482779197,0.002000693,0.00200048,0.002326223,0.47119705,0.482738922,0.426913438,0.001921114,-0.071227351,0.001361209,-0.005832608,-0.033326859,-0.07674751,-0.067703607,-0.084415862,-0.005095341,0.037829976,0.11495662,0.111489673,0.116895903,0.038166796,0.03722127,0.037141466,0.107309435,0.971759301,-0.423604238,-0.428581026,-0.516898239,0.925662034,0.982765653,0.791764795,-0.411224607,0.099922764,0.158520483,0.154779496,0.166240591,0.100288119,0.098570091,0.096549808,0.148900748,-0.039632341,0.072418761,0.067354015,0.059661007,-0.04080899,-0.038593758,-0.041353191,0.065037467,0.303537584,0.22708836,0.223678149,0.247605618,0.302162605,0.300637724,0.285925037,0.215042182,0.139905396,0.357730529,0.347501601,0.366481821,0.140985396,0.137734846,0.136868022,0.334431655
0.243675598,0.233091126,0.230341446,0.247539273,0.127160768,0.126282762,0.121075551,0.113066391,-0.058037864,-0.053641923,-0.051395283,-0.061194699,0.086190028,0.083715022,0.081751395,0.085102933,0.653538897,0.630186868,0.627087096,0.657894499,0.118860383,0.118281892,0.113212839,0.104595249,0.021839837,0.020788019,0.020453993,0.022309189,0.018297051,0.018142532,0.017416746,0.016395947,0.015349673,0.014887686,0.0148883,0.015348811,-2.14E-05,-2.13E-05,-2.04E-05,-1.87E-05,0.075258621,0.070773526,0.068891896,0.077902569,0.270368887,0.266688797,0.257127592,0.248567589,0.028940692,0.028187343,0.028288414,0.028798673,-0.003325265,-0.003315645,-0.003168365,-0.002896621,0.073262241,0.069317539,0.067843579,0.075333355,0.110663861,0.109479457,0.10529788,0.100290837,0.008191144,0.007782119,0.007644501,0.008384516,0.00817639,0.008102013,0.007782119,0.007350836,0.140617062,0.133780325,0.131574879,0.143716015,0.123234045,0.12217308,0.117301645,0.110520967,0.657659716,0.620788213,0.606316707,0.677994155,1.309125832,1.293758544,1.245421074,1.192522675,-0.044737559,-0.040902679,-0.03879198,-0.047703379,0.026306709,0.024899574,0.024843085,0.02890994,-0.040120546,-0.037317547,-0.035964696,-0.042021486,0.133393765,0.130534781,0.126686522,0.127336087,0.413565442,0.389697483,0.380018584,0.427165616,1.049153199,1.035960062,0.997952641,0.959657774,0.460726469,0.4467648,0.446702616,0.460813847,0.002171321,0.002163295,0.002068577,0.001899279,-0.08285518,-0.073948756,-0.068508095,-0.09050005,-0.012691352,-0.014966505,-0.012478737,-0.000643815,0.03866362,0.036391039,0.035451197,0.039984226,0.117956211,0.116405057,0.112188402,0.108199814,0.880467341,0.873943733,0.890937543,0.856588721,-0.46962209,-0.469507263,-0.447671073,-0.40348367,0.101045387,0.095539248,0.093450721,0.103980052,0.16470477,0.162893859,0.15671036,0.149482962,-0.04220153,-0.039040465,-0.037436894,-0.044454767,0.068634602,0.066748536,0.065114212,0.067386927,0.301832574,0.287459847,0.282982464,0.308123908,0.239786278,0.237806973,0.228257352,0.214666183,0.14264743,0.134399705,0.131048376,0.147356504,0.368167413,0.363517033,0.350196731,0.336854851
0.247536414,0.229615707,0.118185327,0.255858176,0.249673166,0.128075284,0.119461964,0.114539434,-0.054385903,-0.056929335,0.084850713,-0.053325815,-0.051845035,0.072839844,0.091540982,0.076166025,0.676171269,0.609813723,0.109859566,0.706660484,0.69009282,0.121515088,0.11030239,0.107252196,0.02193433,0.020702958,0.017076708,0.022512794,0.021958031,0.018219202,0.017347729,0.016458952,0.0160921,0.01421937,-1.97E-05,0.016948518,0.016559747,-2.20E-05,-1.97E-05,-1.93E-05,0.073485931,0.072369262,0.255861487,0.074082951,0.07216776,0.258838309,0.264194422,0.242116285,0.030627442,0.026668969,-0.003056891,0.032433114,0.031700594,-0.003448311,-0.003048942,-0.003005642,0.072564068,0.069946017,0.10391355,0.073829003,0.071966337,0.108336319,0.106326907,0.09935144,0.008191144,0.007782119,0.007644501,0.008384516,0.00817639,0.008102013,0.007782119,0.007350836,0.141068082,0.133374327,0.115065924,0.144687828,0.14111569,0.122559209,0.11695406,0.110838277,0.6478308,0.629635979,1.232693662,0.656815785,0.640089061,1.271514155,1.265444965,1.174242878,-0.040834247,-0.044416352,0.027542668,-0.03929291,-0.038149652,0.017388868,0.03160405,0.022737859,-0.038171025,-0.039072461,0.128869152,-0.037820852,-0.036798177,0.119951666,0.1362132,0.118639188,0.405722885,0.396757174,0.990113997,0.410267253,0.399745968,1.012489219,1.019080557,0.940370112,0.482779197,0.426913438,0.00200048,0.508330871,0.496661346,0.002238707,0.002000693,0.001961251,-0.071227351,-0.084415862,-0.005832608,-0.06544556,-0.063320849,-0.030341196,0.001361209,-0.013278292,0.037829976,0.037141466,0.111489673,0.038187975,0.037204187,0.113329864,0.11495662,0.105672709,0.971759301,0.791764795,-0.428581026,1.053295556,1.031076909,-0.496242928,-0.423604238,-0.425454268,0.099922764,0.096549808,0.154779496,0.101561135,0.098991825,0.160883007,0.158520483,0.147830501,-0.039632341,-0.041353191,0.067354015,-0.038918933,-0.037842346,0.058633968,0.072418761,0.060718609,0.303537584,0.285925037,0.223678149,0.311797693,0.304131381,0.239105598,0.22708836,0.215733356,0.139905396,0.136868022,0.347501601,0.141448241,0.137819167,0.355147794,0.357730529,0.329977252
0.126514665,0.232345981,0.229596301,0.250715962,0.245067205,0.125687827,0.120729591,0.113066391,0.09165755,-0.054346758,-0.052100119,-0.058189857,-0.056201832,0.087324475,0.083850325,0.085102933,0.117495603,0.625818777,0.622719005,0.676516466,0.663092357,0.1172088,0.112588826,0.104595249,0.018292617,0.020769782,0.020435755,0.022386939,0.0218453,0.018117085,0.017401948,0.016395947,-2.10E-05,0.014744396,0.01474501,0.015959681,0.01567403,-2.10E-05,-2.02E-05,-1.87E-05,0.274691339,0.071115659,0.069234029,0.076443995,0.074282584,0.269294361,0.258642751,0.248567589,-0.003266465,0.027861797,0.027962868,0.030186535,0.029688298,-0.003271613,-0.00314276,-0.002896621,0.111421917,0.069452287,0.067978328,0.074758897,0.072799258,0.109858862,0.105518508,0.100290837,0.008191144,0.007782119,0.007644501,0.008384516,0.00817639,0.008102013,0.007782119,0.007350836,0.12326781,0.133693278,0.131487831,0.144087116,0.140577622,0.122044924,0.117227121,0.110520967,1.3223534,0.622685213,0.608213707,0.669906901,0.651814977,1.301141418,1.249714284,1.192522675,0.030022792,-0.041656026,-0.039545327,-0.044491725,-0.042806311,0.027392364,0.026292665,0.02890994,0.138803805,-0.037693808,-0.036340957,-0.040417416,-0.03912396,0.134047298,0.128729083,0.127336087,1.062510719,0.391211112,0.381532212,0.420712742,0.409102155,1.043749994,1.002482558,0.959657774,0.002138403,0.442508582,0.442446397,0.478958881,0.4703524,0.002138266,0.002054022,0.001899279,-0.005204465,-0.076192949,-0.070752288,-0.080932646,-0.077192871,-0.009863672,-0.009511392,-0.000643815,0.119671141,0.036551934,0.035612091,0.039298303,0.038198725,0.117425709,0.11278192,0.108199814,-0.457410434,0.85632421,0.87331802,0.931703953,0.922165426,-0.460633742,-0.442511038,-0.40348367,0.165984177,0.095755916,0.09366739,0.103056355,0.100331117,0.163561258,0.157098458,0.149482962,0.072722022,-0.039536324,-0.037932752,-0.042340832,-0.040907394,0.069441747,0.066680339,0.067386927,0.239584648,0.287130777,0.282653394,0.309526794,0.302097301,0.237375962,0.228006715,0.214666183,0.372919722,0.134928923,0.131577594,0.145100352,0.141090419,0.366294769,0.35181201,0.336854851
0.126514665,0.232345981,0.119452954,0.13037834,0.240609118,0.240613319,0.232345981,0.113585391,0.09165755,-0.054346758,0.077160056,0.088500715,-0.060418754,-0.057794867,-0.054346758,0.081954177,0.117495603,0.625818777,0.112146002,0.121851205,0.636958744,0.644019628,0.625818777,0.105531375,0.018292617,0.020769782,0.017130927,0.01876197,0.021736189,0.021592136,0.020769782,0.016418145,-2.10E-05,0.014744396,-2.02E-05,-2.19E-05,0.014816749,0.01510366,0.014744396,-1.89E-05,0.274691339,0.071115659,0.250309816,0.277335286,0.076329511,0.074628302,0.071115659,0.24629459,-0.003266465,0.027861797,-0.003150709,-0.003408484,0.027740607,0.028446323,0.027861797,-0.002935032,0.111421917,0.069452287,0.103105151,0.113493031,0.073605437,0.072539326,0.069452287,0.099959858,0.008191144,0.007782119,0.007644501,0.008384516,0.00817639,0.008102013,0.007782119,0.007350836,0.12326781,0.133693278,0.115338985,0.126366764,0.140056829,0.139038971,0.133693278,0.110632765,1.3223534,0.622685213,1.216962981,1.342687839,0.663164431,0.65154918,0.622685213,1.186082124,0.030022792,-0.041656026,0.022231283,0.027056972,-0.047313468,-0.044666028,-0.041656026,0.026735321,0.138803805,-0.037693808,0.121385035,0.136902865,-0.041375073,-0.03989139,-0.037693808,0.124271894,1.062510719,0.391211112,0.973515997,1.076110892,0.41815796,0.409899657,0.391211112,0.95286212,0.002138403,0.442508582,0.00205381,0.002225781,0.444888103,0.453366933,0.442508582,0.001921114,-0.005204465,-0.076192949,-0.016705209,-0.012849335,-0.090619532,-0.083190693,-0.076192949,-0.005095341,0.119671141,0.036551934,0.109314972,0.120991748,0.039161334,0.038331598,0.036551934,0.107309435,-0.457410434,0.85632421,-0.447487827,-0.481289053,0.816750551,0.86117405,0.85632421,-0.411224607,0.165984177,0.095755916,0.153357471,0.168918842,0.10162741,0.100065311,0.095755916,0.148900748,0.072722022,-0.039536324,0.061615593,0.070468785,-0.043874038,-0.042015657,-0.039536324,0.065037467,0.239584648,0.287130777,0.224596504,0.245875982,0.300128526,0.298366825,0.287130777,0.215042182,0.372919722,0.134928923,0.341583082,0.377628797,0.144256648,0.141386957,0.134928923,0.334431655
