1,2,3,4,5,6,7,8
Fe,Cu,Fe,Cu,Fe,Cu,Cu,Cu
Cu,Fe,Fe,Fe,Fe,Fe,Cu,Fe
Cu,Cu,Cu,Fe,Cu,Fe,Cu,Cu
Cu,Fe,Fe,Cu,Fe,Fe,Cu,Cu
Cu,Fe,Fe,Fe,Fe,Cu,Cu,Cu
Cu,Fe,Fe,Fe,Cu,Cu,Cu,Cu
Cu,Cu,Fe,Cu,Fe,Cu,Fe,Cu
Fe,Cu,Fe,Fe,Fe,Fe,Fe,Fe
Fe,Fe,Cu,Fe,Fe,Cu,Fe,Fe
Fe,Cu,Cu,Fe,Cu,Cu,Fe,Fe
Fe,Cu,Fe,Cu,Cu,Cu,Fe,Cu
Cu,Cu,Fe,Cu,Cu,Cu,Fe,Cu
Cu,Fe,Fe,Fe,Fe,Fe,Fe,Fe
Fe,Cu,Cu,Cu,Fe,Fe,Cu,Fe
Cu,Fe,Fe,Cu,Fe,Cu,Cu,Fe
Cu,Cu,Cu,Fe,Cu,Cu,Fe,Cu
Fe,Cu,Fe,Cu,Fe,Cu,Cu,Fe
Fe,Fe,Cu,Cu,Cu,Cu,Fe,Cu
Fe,Fe,Fe,Cu,Fe,Fe,Cu,Cu
Cu,Cu,Fe,Cu,Cu,Fe,Cu,Cu
Fe,Cu,Cu,Fe,Fe,Cu,Cu,Fe
Cu,Fe,Fe,Cu,Cu,Fe,Cu,Cu
Cu,Fe,Cu,Cu,Fe,Cu,Cu,Fe
Cu,Cu,Fe,Cu,Cu,Cu,Cu,Cu
Fe,Fe,Cu,Cu,Cu,Fe,Fe,Cu
Fe,Fe,Fe,Fe,Fe,Fe,Cu,Fe
Fe,Cu,Cu,Fe,Cu,Cu,Cu,Fe
Fe,Cu,Cu,Cu,Cu,Cu,Fe,Fe
Cu,Fe,Fe,Fe,Cu,Fe,Cu,Fe
Fe,Cu,Cu,Fe,Cu,Fe,Cu,Cu
Fe,Cu,Cu,Cu,Cu,Fe,Fe,Cu
Fe,Cu,Fe,Fe,Fe,Fe,Cu,Cu
Fe,Fe,Cu,Cu,Fe,Fe,Fe,Cu
Fe,Fe,Cu,Fe,Fe,Cu,Cu,Fe
Cu,Fe,Cu,Fe,Fe,Cu,Fe,Cu
Fe,Fe,Cu,Cu,Cu,Fe,Cu,Fe
Cu,Fe,Cu,Fe,Cu,Cu,Fe,Cu
Fe,Fe,Cu,Fe,Fe,Fe,Cu,Fe
Fe,Cu,Fe,Fe,Cu,Cu,Cu,Cu
Fe,Fe,Cu,Fe,Cu,Cu,Cu,Cu
Fe,Fe,Cu,Cu,Fe,Cu,Fe,Fe
Cu,Fe,Cu,Cu,Cu,Fe,Cu,Cu
Fe,Fe,Cu,Fe,Fe,Cu,Cu,Cu
Cu,Fe,Fe,Cu,Cu,Cu,Fe,Cu
Fe,Fe,Fe,Fe,Fe,Cu,Cu,Fe
Fe,Cu,Fe,Fe,Fe,Cu,Fe,Fe
Fe,Fe,Fe,Fe,Fe,Cu,Fe,Cu
Fe,Fe,Fe,Fe,Fe,Cu,Fe,Fe
Cu,Cu,Fe,Cu,Fe,Cu,Cu,Cu
Cu,Fe,Cu,Cu,Cu,Cu,Cu,Fe
Fe,Fe,Fe,Cu,Fe,Fe,Fe,Fe
Fe,Fe,Cu,Fe,Fe,Cu,Fe,Cu
Fe,Cu,Fe,Cu,Cu,Cu,Cu,Cu
Fe,Fe,Cu,Cu,Fe,Fe,Fe,Fe
Cu,Fe,Cu,Cu,Fe,Fe,Fe,Cu
Fe,Fe,Cu,Fe,Cu,Cu,Cu,Fe
Cu,Fe,Cu,Fe,Fe,Fe,Cu,Fe
Cu,Cu,Fe,Fe,Cu,Cu,Cu,Cu
Fe,Fe,Fe,Fe,Cu,Cu,Fe,Cu
Cu,Cu,Fe,Fe,Fe,Cu,Fe,Cu
Fe,Fe,Fe,Fe,Cu,Fe,Fe,Cu
Fe,Cu,Cu,Fe,Fe,Cu,Fe,Cu
Cu,Cu,Fe,Fe,Fe,Fe,Fe,Cu
Cu,Cu,Cu,Fe,Fe,Cu,Fe,Cu
Cu,Fe,Fe,Fe,Cu,Cu,Fe,Cu
Cu,Fe,Fe,Cu,Fe,Cu,Fe,Fe
Fe,Fe,Cu,Cu,Fe,Fe,Cu,Cu
Cu,Fe,Cu,Cu,Fe,Fe,Cu,Fe
Cu,Fe,Cu,Cu,Cu,Fe,Fe,Cu
Cu,Fe,Fe,Cu,Cu,Fe,Fe,Fe
Cu,Cu,Fe,Cu,Cu,Fe,Fe,Fe
Cu,Cu,Cu,Cu,Cu,Fe,Cu,Cu
Fe,Cu,Cu,Cu,Fe,Cu,Cu,Cu
Cu,Fe,Fe,Cu,Fe,Fe,Fe,Cu
Cu,Fe,Cu,Cu,Fe,Cu,Fe,Cu
Fe,Cu,Fe,Cu,Fe,Cu,Fe,Cu
Cu,Fe,Fe,Cu,Fe,Cu,Cu,Cu
Cu,Cu,Cu,Cu,Fe,Fe,Cu,Cu
Cu,Cu,Fe,Cu,Fe,Cu,Fe,Fe
Cu,Cu,Cu,Cu,Cu,Cu,Fe,Cu
Cu,Cu,Cu,Fe,Fe,Fe,Fe,Cu
Fe,Cu,Fe,Fe,Cu,Cu,Cu,Fe
Cu,Fe,Cu,Fe,Cu,Cu,Cu,Fe
Fe,Cu,Fe,Fe,Fe,Cu,Fe,Cu
Cu,Fe,Cu,Fe,Fe,Fe,Fe,Fe
Cu,Fe,Fe,Cu,Cu,Fe,Cu,Fe
