nega_1,nega_2,nega_3,nega_4,nega_5,nega_6,nega_7,nega_8,aff_1,aff_2,aff_3,aff_4,aff_5,aff_6,aff_7,aff_8,val_1,val_2,val_3,val_4,val_5,val_6,val_7,val_8,ioni1_1,ioni1_2,ioni1_3,ioni1_4,ioni1_5,ioni1_6,ioni1_7,ioni1_8,ioni2_1,ioni2_2,ioni2_3,ioni2_4,ioni2_5,ioni2_6,ioni2_7,ioni2_8,radius_1,radius_2,radius_3,radius_4,radius_5,radius_6,radius_7,radius_8,redox_1,redox_2,redox_3,redox_4,redox_5,redox_6,redox_7,redox_8,TC_1,TC_2,TC_3,TC_4,TC_5,TC_6,TC_7,TC_8,HF_1,HF_2,HF_3,HF_4,HF_5,HF_6,HF_7,HF_8,resis_1,resis_2,resis_3,resis_4,resis_5,resis_6,resis_7,resis_8,iradius_1,iradius_2,iradius_3,iradius_4,iradius_5,iradius_6,iradius_7,iradius_8,oxir_1,oxir_2,oxir_3,oxir_4,oxir_5,oxir_6,oxir_7,oxir_8,hyden_1,hyden_2,hyden_3,hyden_4,hyden_5,hyden_6,hyden_7,hyden_8,ioni3_1,ioni3_2,ioni3_3,ioni3_4,ioni3_5,ioni3_6,ioni3_7,ioni3_8,ioni4_1,ioni4_2,ioni4_3,ioni4_4,ioni4_5,ioni4_6,ioni4_7,ioni4_8,ioni5_1,ioni5_2,ioni5_3,ioni5_4,ioni5_5,ioni5_6,ioni5_7,ioni5_8,EC_1,EC_2,EC_3,EC_4,EC_5,EC_6,EC_7,EC_8,NC_1,NC_2,NC_3,NC_4,NC_5,NC_6,NC_7,NC_8,NM_1,NM_2,NM_3,NM_4,NM_5,NM_6,NM_7,NM_8,SH_1,SH_2,SH_3,SH_4,SH_5,SH_6,SH_7,SH_8,LCx_1,LCx_2,LCx_3,LCx_4,LCx_5,LCx_6,LCx_7,LCx_8,LCz_1,LCz_2,LCz_3,LCz_4,LCz_5,LCz_6,LCz_7,LCz_8
0.144216396,0.140628923,0.311998349,0.146010245,0.142277931,0.320357407,0.320730849,0.29673872,-0.234416614,-0.256219793,0.142932104,-0.225015874,-0.218429477,0.083548874,0.166029761,0.115873728,-0.061547832,-0.063130568,0.188651507,-0.060925603,-0.059274188,0.174539092,0.19972212,0.173339956,0.033006119,0.032251771,0.077868824,0.033386941,0.03253149,0.079718443,0.080119782,0.073985187,-9.31E-05,-9.33E-05,0.300246652,-9.31E-05,-9.06E-05,0.293729263,0.313049429,0.280939027,-0.090980737,-0.11752773,-0.052725795,-0.079271826,-0.076375432,-0.094183012,-0.042103687,-0.062859674,-0.017110754,-0.017187707,0.792010453,-0.017099584,-0.016647306,0.772481555,0.826488463,0.740337646,-0.33143457,-0.340048234,1.003819259,-0.328043474,-0.319148917,0.927981442,1.06295143,0.922109515,0.008191144,0.007782119,0.007644501,0.008384516,0.00817639,0.008102013,0.007782119,0.007350836,0.135082292,0.129539256,0.164936603,0.137735381,0.134280508,0.173019218,0.168446184,0.158032732,0.135023344,0.032178431,-0.359349475,0.181043392,0.179419971,-0.451577788,-0.344452858,-0.36799655,-0.181796027,-0.195151587,0.160750411,-0.176089232,-0.17104814,0.117693847,0.179558567,0.137852108,-0.21507989,-0.238885584,0.091771363,-0.204760501,-0.198645924,0.033777539,0.112603232,0.068091454,0.336466015,0.246164085,-0.280030883,0.377167983,0.370001107,-0.332715649,-0.274218687,-0.280678418,-0.00147082,-0.001475951,0.218259494,-0.001470521,-0.001431672,0.213328979,0.227624516,0.204162918,-0.018993387,-0.041730792,-0.07253838,-0.008885093,-0.00795705,-0.099593091,-0.066982303,-0.076962466,-0.378909424,-0.390988696,0.912349957,-0.37403789,-0.3638273,0.82818464,0.970697454,0.833248233,0.270621744,0.255752217,0.218141023,0.277614811,0.270764171,0.232446029,0.221690538,0.210157809,0.167995029,0.15671036,0.094373261,0.173251627,0.169037555,0.101785434,0.095539248,0.091307928,-0.207547019,-0.224143959,0.162127362,-0.20043036,-0.194649828,0.111886635,0.183155607,0.136869298,0.129455894,0.119097181,0.047830178,0.134247705,0.13103164,0.052173036,0.048244019,0.046462714,0.467275787,0.436444323,0.272143715,0.481648826,0.469916976,0.293190436,0.275605077,0.263200191
0.350060089,0.136595223,0.135318586,0.362330443,0.352924121,0.347897591,0.136595223,0.131743044,0.256909939,-0.218819353,-0.225509621,0.289365298,0.27946652,0.264961098,-0.218819353,-0.231892639,0.24093804,-0.057933683,-0.058376507,0.256493762,0.24911136,0.242372057,-0.057933683,-0.058224646,0.087729718,0.031254151,0.03098313,0.09089262,0.088524057,0.087223849,0.031254151,0.030194246,0.359113848,-8.78E-05,-8.78E-05,0.377103497,0.366763866,0.35911567,-8.78E-05,-8.67E-05,0.001999798,-0.082826851,-0.091159787,0.016925308,0.014973981,0.00809316,-0.082826851,-0.101617848,0.950863241,-0.016148159,-0.016156108,0.999309549,0.971828347,0.951202313,-0.016148159,-0.015953674,1.283175458,-0.31196188,-0.314375237,1.366264223,1.326916377,1.290912507,-0.31196188,-0.313597466,0.008191144,0.007782119,0.007644501,0.008384516,0.00817639,0.008102013,0.007782119,0.007350836,0.179462523,0.128197319,0.126309182,0.184393962,0.179745307,0.177795287,0.128197319,0.121996856,-0.277036568,0.139442147,0.106690845,-0.256104788,-0.252574844,-0.262730812,0.139442147,0.059440697,0.252696273,-0.170112637,-0.174174019,0.279124298,0.270089793,0.258356876,-0.170112637,-0.177556139,0.195292577,-0.200327781,-0.207671829,0.224564195,0.216451905,0.203303537,-0.200327781,-0.215205688,-0.245188663,0.328200805,0.299234244,-0.237021735,-0.232574416,-0.236784949,0.328200805,0.254736205,0.261346517,-0.001388249,-0.001388462,0.274505649,0.266972371,0.261375419,-0.001388249,-0.001370406,-0.043036598,-0.015294114,-0.022487931,-0.035229552,-0.03526308,-0.038941951,-0.015294114,-0.032259386,1.189522886,-0.35638826,-0.359855208,1.271509076,1.234399244,1.198734536,-0.35638826,-0.359950899,0.231831443,0.257265723,0.252288934,0.236818996,0.230990469,0.229109295,0.257265723,0.241988354,0.098427544,0.159942509,0.156201521,0.100065915,0.097652533,0.097074871,0.159942509,0.148900748,0.265269504,-0.194051964,-0.19911671,0.294817056,0.285102517,0.271953451,-0.194051964,-0.203573467,0.048989657,0.12344379,0.120033579,0.049571159,0.048399848,0.048220244,0.12344379,0.11367386,0.28433555,0.444813162,0.434584234,0.289199234,0.282210799,0.280481732,0.444813162,0.414522897
0.332576559,0.319464103,0.316125206,0.151417532,0.329685105,0.145899089,0.140144579,0.131016444,0.141742731,0.157685471,0.170116462,-0.275152202,0.126386872,-0.26201804,-0.251728956,-0.225155614,0.197875158,0.196602055,0.198816178,-0.067892172,0.191872403,-0.065067831,-0.062506555,-0.05728852,0.082965008,0.079774561,0.078993499,0.034724278,0.082190829,0.033451247,0.032131982,0.030014543,0.317604132,0.310041897,0.31004471,-0.00010043,0.311589368,-9.65E-05,-9.27E-05,-8.57E-05,-0.06292891,-0.046808012,-0.03739986,-0.125789317,-0.071328916,-0.117966557,-0.113361042,-0.095367101,0.837404676,0.818267971,0.818791498,-0.018493127,0.821019817,-0.017762648,-0.017062884,-0.015766418,1.052773358,1.046257946,1.058203951,-0.365694011,1.020667115,-0.3504713,-0.336675781,-0.308538209,0.008191144,0.007782119,0.007644501,0.008384516,0.00817639,0.008102013,0.007782119,0.007350836,0.176430497,0.168226502,0.16565229,0.139534285,0.175715154,0.13469428,0.129378123,0.12175513,-0.396923631,-0.353139119,-0.331051031,0.037253402,-0.411928099,0.047078196,0.04505806,0.078762351,0.163398165,0.173088589,0.181828561,-0.209654639,0.151395217,-0.200004215,-0.19214505,-0.173045817,0.087671187,0.104805664,0.117174587,-0.256448307,0.073402118,-0.243824791,-0.234255778,-0.208260184,-0.306089029,-0.278631144,-0.265655808,0.267195483,-0.313522863,0.266666875,0.256014597,0.269513663,0.230844855,0.225414557,0.225459183,-0.001588088,0.226429722,-0.001525521,-0.00146542,-0.001354608,-0.081540191,-0.069772031,-0.063449895,-0.044324193,-0.086441853,-0.040099937,-0.038556423,-0.027497288,0.95428407,0.953653531,0.96787632,-0.420420735,0.921721044,-0.40268121,-0.386834069,-0.353718245,0.233949726,0.221844016,0.217641018,0.275585914,0.233806079,0.266456821,0.255933951,0.242260985,0.101417983,0.095755916,0.09366739,0.168918842,0.10162741,0.163561258,0.157098458,0.149482962,0.163653153,0.175793126,0.186113141,-0.240769515,0.150034596,-0.229548762,-0.22053068,-0.198152928,0.051499036,0.048425832,0.047237858,0.128420956,0.051735302,0.124543004,0.119619098,0.114456824,0.292403507,0.27618963,0.270239335,0.470430164,0.292934685,0.455444235,0.437449206,0.416030395
0.146725927,0.138369901,0.135031004,0.151417532,0.330951851,0.326920795,0.314822637,0.302132323,-0.257684964,-0.235274155,-0.222843164,-0.275152202,0.134731162,0.12678311,0.127111289,0.151402376,-0.064781028,-0.060220119,-0.058005996,-0.067892172,0.194992468,0.190705072,0.185169874,0.186624692,0.033626779,0.031693067,0.030912005,0.034724278,0.08253605,0.081507134,0.078509642,0.075455083,-9.65E-05,-9.03E-05,-8.74E-05,-0.00010043,0.314596901,0.309312178,0.299022045,0.293744617,-0.112569579,-0.098093947,-0.088685794,-0.125789317,-0.066624591,-0.069808513,-0.064045055,-0.042829414,-0.017757499,-0.016605521,-0.016081994,-0.018493127,0.82924031,0.81507436,0.788147393,0.775339184,-0.348908245,-0.324318831,-0.312372826,-0.365694011,1.037360599,1.014475323,0.985091613,0.99318769,0.008191144,0.007782119,0.007644501,0.008384516,0.00817639,0.008102013,0.007782119,0.007350836,0.135917166,0.128787721,0.126213509,0.139534285,0.175934835,0.174157453,0.167421571,0.158968101,0.068290178,0.092250104,0.114338191,0.037253402,-0.403241838,-0.406571699,-0.384966311,-0.331011845,-0.197373787,-0.181128844,-0.172388872,-0.209654639,0.157865196,0.151216718,0.149382044,0.165400236,-0.239068284,-0.217291779,-0.204922857,-0.256448307,0.081199686,0.074179045,0.076234719,0.101292246,0.2854276,0.292107701,0.305083037,0.267195483,-0.309110406,-0.309853405,-0.294798757,-0.261890885,-0.001525383,-0.001426835,-0.001382209,-0.001588088,0.228639681,0.224779427,0.217317084,0.213572565,-0.03544073,-0.026925268,-0.020603133,-0.044324193,-0.083652126,-0.085138687,-0.079993828,-0.065084253,-0.400435777,-0.371611165,-0.357388376,-0.420420735,0.938764967,0.916494244,0.891203165,0.905818517,0.26968013,0.256599837,0.252396839,0.275585914,0.233652602,0.231650817,0.22240637,0.209504326,0.165984177,0.158520483,0.156431957,0.168918842,0.101410742,0.10066281,0.096549808,0.090385389,-0.226268486,-0.207291322,-0.196971307,-0.240769515,0.157397076,0.150033824,0.148816377,0.168217558,0.12675169,0.121531444,0.12034347,0.128420956,0.051553488,0.051231005,0.049092013,0.04568858,0.462069188,0.441131184,0.435180889,0.470430164,0.292350131,0.290161693,0.278331483,0.260711257
0.146725927,0.138369901,0.306090137,0.151417532,0.330951851,0.326920795,0.138369901,0.29673872,-0.257684964,-0.235274155,0.104013632,-0.275152202,0.134731162,0.12678311,-0.235274155,0.115873728,-0.064781028,-0.060220119,0.17409926,-0.067892172,0.194992468,0.190705072,-0.060220119,0.173339956,0.033626779,0.031693067,0.076258685,0.034724278,0.08253605,0.081507134,0.031693067,0.073985187,-9.65E-05,-9.03E-05,0.286219267,-0.00010043,0.314596901,0.309312178,-9.03E-05,0.280939027,-0.112569579,-0.098093947,-0.074667163,-0.125789317,-0.066624591,-0.069808513,-0.098093947,-0.062859674,-0.017757499,-0.016605521,0.753669382,-0.018493127,0.82924031,0.81507436,-0.016605521,0.740337646,-0.348908245,-0.324318831,0.925959442,-0.365694011,1.037360599,1.014475323,-0.324318831,0.922109515,0.008191144,0.007782119,0.007644501,0.008384516,0.00817639,0.008102013,0.007782119,0.007350836,0.135917166,0.128787721,0.16391199,0.139534285,0.175934835,0.174157453,0.128787721,0.158032732,0.068290178,0.092250104,-0.399862929,0.037253402,-0.403241838,-0.406571699,0.092250104,-0.36799655,-0.197373787,-0.181128844,0.130573887,-0.209654639,0.157865196,0.151216718,-0.181128844,0.137852108,-0.239068284,-0.217291779,0.05540285,-0.256448307,0.081199686,0.074179045,-0.217291779,0.068091454,0.2854276,0.292107701,-0.300610953,0.267195483,-0.309110406,-0.309853405,0.292107701,-0.280678418,-0.001525383,-0.001426835,0.207952063,-0.001588088,0.228639681,0.224779427,-0.001426835,0.204162918,-0.03544073,-0.026925268,-0.085549905,-0.044324193,-0.083652126,-0.085138687,-0.026925268,-0.076962466,-0.400435777,-0.371611165,0.832855668,-0.420420735,0.938764967,0.916494244,-0.371611165,0.833248233,0.26968013,0.256599837,0.218856855,0.275585914,0.233652602,0.231650817,0.256599837,0.210157809,0.165984177,0.158520483,0.09538382,0.168918842,0.101410742,0.10066281,0.158520483,0.091307928,-0.226268486,-0.207291322,0.127788133,-0.240769515,0.157397076,0.150033824,-0.207291322,0.136869298,0.12675169,0.121531444,0.048678173,0.128420956,0.051553488,0.051231005,0.121531444,0.046462714,0.462069188,0.441131184,0.274870121,0.470430164,0.292350131,0.290161693,0.441131184,0.263200191
0.144216396,0.140628923,0.311998349,0.330704777,0.145175687,0.142053898,0.320730849,0.300231986,-0.234416614,-0.256219793,0.142932104,0.081041258,-0.245297454,-0.226365455,0.166029761,0.138884508,-0.061547832,-0.063130568,0.188651507,0.178598034,-0.063007562,-0.060113814,0.19972212,0.181944059,0.033006119,0.032251771,0.077868824,0.082273815,0.033248166,0.03250025,0.080119782,0.074937192,-9.31E-05,-9.33E-05,0.300246652,0.302017263,-9.45E-05,-9.12E-05,0.313049429,0.289232802,-0.090980737,-0.11752773,-0.052725795,-0.100523147,-0.10130408,-0.084887374,-0.042103687,-0.049886709,-0.017110754,-0.017187707,0.792010453,0.794076244,-0.017394104,-0.016771682,0.826488463,0.763007034,-0.33143457,-0.340048234,1.003819259,0.949493711,-0.339325779,-0.323697521,1.06295143,0.968144598,0.008191144,0.007782119,0.007644501,0.008384516,0.00817639,0.008102013,0.007782119,0.007350836,0.135082292,0.129539256,0.164936603,0.178909381,0.135244537,0.133415056,0.168446184,0.158638541,0.135023344,0.032178431,-0.359349475,-0.472966496,0.102363148,0.1493291,-0.344452858,-0.344042727,-0.181796027,-0.195151587,0.160750411,0.117594442,-0.189035787,-0.176135424,0.179558567,0.155694158,-0.21507989,-0.238885584,0.091771363,0.029889658,-0.226345335,-0.20706893,0.112603232,0.089594556,0.336466015,0.246164085,-0.280030883,-0.34718339,0.311067022,0.344869729,-0.274218687,-0.268510328,-0.00147082,-0.001475951,0.218259494,0.219331702,-0.001494676,-0.001441917,0.227624516,0.210257248,-0.018993387,-0.041730792,-0.07253838,-0.104878059,-0.026948807,-0.014898739,-0.066982303,-0.069269324,-0.378909424,-0.390988696,0.912349957,0.845989509,-0.388683792,-0.369697774,0.970697454,0.880249708,0.270621744,0.255752217,0.218141023,0.240650722,0.269676889,0.267899596,0.221690538,0.209734569,0.167995029,0.15671036,0.094373261,0.105475272,0.166715623,0.166642357,0.095539248,0.090710429,-0.207547019,-0.224143959,0.162127362,0.111004934,-0.216267516,-0.200863072,0.183155607,0.157172573,0.129455894,0.119097181,0.047830178,0.054110333,0.127909095,0.128686481,0.048244019,0.045961332,0.467275787,0.436444323,0.272143715,0.303793227,0.463904913,0.463421969,0.275605077,0.261588187
0.332576559,0.319464103,0.138867942,0.151417532,0.329685105,0.145899089,0.319464103,0.133078704,0.141742731,0.157685471,-0.258419225,-0.275152202,0.126386872,-0.26201804,0.157685471,-0.244276873,0.197875158,0.196602055,-0.06294938,-0.067892172,0.191872403,-0.065067831,0.196602055,-0.059945467,0.082965008,0.079774561,0.031860961,0.034724278,0.082190829,0.033451247,0.079774561,0.030524584,0.317604132,0.310041897,-9.27E-05,-0.00010043,0.311589368,-9.65E-05,0.310041897,-8.85E-05,-0.06292891,-0.046808012,-0.121693977,-0.125789317,-0.071328916,-0.117966557,-0.046808012,-0.113108189,0.837404676,0.818267971,-0.017070833,-0.018493127,0.821019817,-0.017762648,0.818267971,-0.016297895,1.052773358,1.046257946,-0.339089138,-0.365694011,1.020667115,-0.3504713,1.046257946,-0.32289757,0.008191144,0.007782119,0.007644501,0.008384516,0.00817639,0.008102013,0.007782119,0.007350836,0.176430497,0.168226502,0.127489987,0.139534285,0.175715154,0.13469428,0.168226502,0.122441205,-0.396923631,-0.353139119,0.012306757,0.037253402,-0.411928099,0.047078196,-0.353139119,0.02392296,0.163398165,0.173088589,-0.196206431,-0.209654639,0.151395217,-0.200004215,0.173088589,-0.18584717,0.087671187,0.104805664,-0.241599826,-0.256448307,0.073402118,-0.243824791,0.104805664,-0.227973154,-0.306089029,-0.278631144,0.227048036,0.267195483,-0.313522863,0.266666875,-0.278631144,0.227571766,0.230844855,0.225414557,-0.001465633,-0.001588088,0.226429722,-0.001525521,0.225414557,-0.001399446,-0.081540191,-0.069772031,-0.045750239,-0.044324193,-0.086441853,-0.040099937,-0.069772031,-0.04101324,0.95428407,0.953653531,-0.390301017,-0.420420735,0.921721044,-0.40268121,0.953653531,-0.371407981,0.233949726,0.221844016,0.250957162,0.275585914,0.233806079,0.266456821,0.221844016,0.241487193,0.101417983,0.095755916,0.153357471,0.168918842,0.10162741,0.163561258,0.095755916,0.147830501,0.163653153,0.175793126,-0.225595426,-0.240769515,0.150034596,-0.229548762,0.175793126,-0.213537689,0.051499036,0.048425832,0.116208887,0.128420956,0.051735302,0.124543004,0.048425832,0.112234588,0.292403507,0.27618963,0.427220278,0.470430164,0.292934685,0.455444235,0.27618963,0.411751762
0.144216396,0.325372315,0.322033418,0.330704777,0.144691343,0.143389558,0.325372315,0.131016444,-0.234416614,0.196603943,0.209034934,0.081041258,-0.240806618,-0.238749689,0.196603943,-0.225155614,-0.061547832,0.211154301,0.213368424,0.178598034,-0.062383549,-0.061834635,0.211154301,-0.05728852,0.033006119,0.0813847,0.080603638,0.082273815,0.033128378,0.032830587,0.0813847,0.030014543,-9.31E-05,0.324069282,0.324072095,0.302017263,-9.39E-05,-9.31E-05,0.324069282,-8.57E-05,-0.090980737,-0.024866644,-0.015458492,-0.100523147,-0.097137392,-0.096377715,-0.024866644,-0.095367101,-0.017110754,0.856609041,0.857132568,0.794076244,-0.017269281,-0.017115903,0.856609041,-0.015766418,-0.33143457,1.124117763,1.136063768,0.949493711,-0.335953326,-0.332997625,1.124117763,-0.308538209,0.008191144,0.007782119,0.007644501,0.008384516,0.00817639,0.008102013,0.007782119,0.007350836,0.135082292,0.169251115,0.166676903,0.178909381,0.135083405,0.133859405,0.169251115,0.12175513,0.135023344,-0.312625665,-0.290537577,-0.472966496,0.115242777,0.113811363,-0.312625665,0.078762351,-0.181796027,0.203265112,0.212005084,0.117594442,-0.18602925,-0.184426456,0.203265112,-0.173045817,-0.21507989,0.141174177,0.153543099,0.029889658,-0.221715529,-0.219836397,0.141174177,-0.208260184,0.336466015,-0.258051074,-0.245075738,-0.34718339,0.320917534,0.31770529,-0.258051074,0.269513663,-0.00147082,0.235721989,0.235766614,0.219331702,-0.001484145,-0.001470958,0.235721989,-0.001354608,-0.018993387,-0.056760506,-0.05043837,-0.104878059,-0.023774438,-0.023652594,-0.056760506,-0.027497288,-0.378909424,1.03314782,1.047370609,0.845989509,-0.384529164,-0.381154856,1.03314782,-0.353718245,0.270621744,0.221128184,0.216925187,0.240650722,0.269858622,0.267398435,0.221128184,0.242260985,0.167995029,0.094745357,0.09265683,0.105475272,0.167103721,0.16557211,0.094745357,0.149482962,-0.207547019,0.210132355,0.220452371,0.111004934,-0.212654237,-0.210827295,0.210132355,-0.198152928,0.129455894,0.047577838,0.046389863,0.054110333,0.128431011,0.127247208,0.047577838,0.114456824,0.467275787,0.273463224,0.267512929,0.303793227,0.464909797,0.460650834,0.273463224,0.416030395
0.150068366,0.138369901,0.31148374,0.353588677,0.345093987,0.339155826,0.138369901,0.129680784,-0.28867604,-0.235274155,0.13954228,0.231781694,0.227887994,0.207377494,-0.235274155,-0.212771379,-0.069087316,-0.060220119,0.187383996,0.234962321,0.229825315,0.220840616,-0.060220119,-0.055567699,0.034453435,0.031693067,0.07772858,0.088510265,0.086390145,0.084841494,0.031693067,0.029684206,-0.000101037,-9.03E-05,0.299024858,0.356348639,0.348173418,0.338360812,-9.03E-05,-8.39E-05,-0.141323721,-0.098093947,-0.054636903,-0.015539046,-0.014104843,-0.024371194,-0.098093947,-0.08387676,-0.018618899,-0.016605521,0.78867092,0.942580266,0.92101505,0.894473031,-0.016605521,-0.015422198,-0.372181402,-0.324318831,0.997037618,1.251063173,1.223729012,1.175711457,-0.324318831,-0.299238105,0.008191144,0.007782119,0.007644501,0.008384516,0.00817639,0.008102013,0.007782119,0.007350836,0.137029133,0.128787721,0.164847359,0.182877949,0.17838739,0.176279274,0.128787721,0.12131078,-0.020591611,0.092250104,-0.362878223,-0.31604832,-0.306267194,-0.322674344,0.092250104,0.114280088,-0.218121778,-0.181128844,0.158122016,0.234475244,0.230096944,0.213707822,-0.181128844,-0.164754786,-0.271018384,-0.217291779,0.088603642,0.170753499,0.168252832,0.149492841,-0.217291779,-0.195492717,0.217449623,0.292107701,-0.281823421,-0.267471918,-0.259849117,-0.267235132,0.292107701,0.296678102,-0.001598056,-0.001426835,0.21736171,0.259254818,0.253311966,0.246124588,-0.001426835,-0.001325567,-0.057346919,-0.026925268,-0.073671692,-0.054481349,-0.052507212,-0.058193748,-0.026925268,-0.018743433,-0.42910669,-0.371611165,0.905425953,1.153889668,1.129045718,1.081115128,-0.371611165,-0.342261163,0.268425996,0.256599837,0.218203372,0.237878137,0.231939158,0.230168436,0.256599837,0.242762145,0.163305926,0.158520483,0.094461281,0.101561135,0.098991825,0.098570091,0.158520483,0.150553209,-0.251203576,-0.207291322,0.159136393,0.24400888,0.239592847,0.221145276,-0.207291322,-0.188188705,0.123149966,0.121531444,0.047904039,0.050825849,0.049523693,0.049474933,0.121531444,0.115896097,0.455134527,0.441131184,0.272381187,0.293233213,0.285824096,0.28451571,0.441131184,0.41880153
0.147558835,0.138854245,0.135515348,0.339446542,0.148169562,0.329099172,0.316089384,0.302132323,-0.26540769,-0.239764991,-0.227334,0.138624862,-0.273056641,0.141132478,0.135455579,0.151402376,-0.06585412,-0.060844132,-0.058630009,0.200129475,-0.066864771,0.196070533,0.188289939,0.186624692,0.033832775,0.031812855,0.031031793,0.08465617,0.033988615,0.082100798,0.078854863,0.075455083,-9.76E-05,-9.09E-05,-8.81E-05,0.322772122,-9.86E-05,0.314484121,0.302029577,0.293744617,-0.119734879,-0.102260634,-0.092852482,-0.068058793,-0.12705961,-0.061718659,-0.05934073,-0.042829414,-0.017972153,-0.016730344,-0.016206817,0.850805527,-0.018165672,0.829210838,0.796367886,0.775339184,-0.354707727,-0.327691283,-0.315745278,1.064694761,-0.360171907,1.043182492,1.001785098,0.99318769,0.008191144,0.007782119,0.007644501,0.008384516,0.00817639,0.008102013,0.007782119,0.007350836,0.136194259,0.128948853,0.126374641,0.180425394,0.136240544,0.174535231,0.167641252,0.158968101,0.046141556,0.079370475,0.101458563,-0.413022964,0.022750353,-0.391634256,-0.37628005,-0.331011845,-0.202544018,-0.184135381,-0.175395409,0.162243496,-0.207620084,0.1623429,0.155852022,0.165400236,-0.24702999,-0.221921585,-0.209552663,0.083700353,-0.254963535,0.087588234,0.084032287,0.101292246,0.268488038,0.282257189,0.295232525,-0.316733207,0.250178095,-0.302265466,-0.2903863,-0.261890885,-0.001543492,-0.001437365,-0.00139274,0.234582533,-0.00155977,0.22857981,0.219527043,0.213572565,-0.040899575,-0.030099637,-0.023777501,-0.085626262,-0.046570519,-0.080341295,-0.0772041,-0.065084253,-0.407580337,-0.375765792,-0.361543004,0.963608917,-0.414364772,0.945804048,0.908247087,0.905818517,0.26936761,0.256418103,0.252215106,0.239591581,0.268553542,0.231386888,0.222252892,0.209504326,0.165316778,0.158132385,0.156043858,0.103980052,0.164316671,0.100290214,0.096333139,0.090385389,-0.232482109,-0.210904601,-0.200584586,0.16181311,-0.238602262,0.162694811,0.156178858,0.168217558,0.125854169,0.121009528,0.119821553,0.052855643,0.124682974,0.050918346,0.0489102,0.04568858,0.460341126,0.440126301,0.434176005,0.299759248,0.457693431,0.289156458,0.277746929,0.260711257
