nega_1,nega_2,nega_3,nega_4,nega_5,nega_6,nega_7,nega_8,aff_1,aff_2,aff_3,aff_4,aff_5,aff_6,aff_7,aff_8,val_1,val_2,val_3,val_4,val_5,val_6,val_7,val_8,ioni1_1,ioni1_2,ioni1_3,ioni1_4,ioni1_5,ioni1_6,ioni1_7,ioni1_8,ioni2_1,ioni2_2,ioni2_3,ioni2_4,ioni2_5,ioni2_6,ioni2_7,ioni2_8,radius_1,radius_2,radius_3,radius_4,radius_5,radius_6,radius_7,radius_8,redox_1,redox_2,redox_3,redox_4,redox_5,redox_6,redox_7,redox_8,TC_1,TC_2,TC_3,TC_4,TC_5,TC_6,TC_7,TC_8,HF_1,HF_2,HF_3,HF_4,HF_5,HF_6,HF_7,HF_8,resis_1,resis_2,resis_3,resis_4,resis_5,resis_6,resis_7,resis_8,iradius_1,iradius_2,iradius_3,iradius_4,iradius_5,iradius_6,iradius_7,iradius_8,oxir_1,oxir_2,oxir_3,oxir_4,oxir_5,oxir_6,oxir_7,oxir_8,hyden_1,hyden_2,hyden_3,hyden_4,hyden_5,hyden_6,hyden_7,hyden_8,ioni3_1,ioni3_2,ioni3_3,ioni3_4,ioni3_5,ioni3_6,ioni3_7,ioni3_8,ioni4_1,ioni4_2,ioni4_3,ioni4_4,ioni4_5,ioni4_6,ioni4_7,ioni4_8,ioni5_1,ioni5_2,ioni5_3,ioni5_4,ioni5_5,ioni5_6,ioni5_7,ioni5_8,EC_1,EC_2,EC_3,EC_4,EC_5,EC_6,EC_7,EC_8,NC_1,NC_2,NC_3,NC_4,NC_5,NC_6,NC_7,NC_8,NM_1,NM_2,NM_3,NM_4,NM_5,NM_6,NM_7,NM_8,SH_1,SH_2,SH_3,SH_4,SH_5,SH_6,SH_7,SH_8,LCx_1,LCx_2,LCx_3,LCx_4,LCx_5,LCx_6,LCx_7,LCx_8,LCz_1,LCz_2,LCz_3,LCz_4,LCz_5,LCz_6,LCz_7,LCz_8
1.130380917,-0.257406443,0.974599974,1.183888574,1.165656345,-0.280712554,-0.257406443,1.000059495,0.716274158,0.495121651,0.660982431,0.735684239,0.718462581,0.519983511,0.495121651,0.641454843,0.822469224,0.131202098,0.734413275,0.852958438,0.836390775,0.140693975,0.131202098,0.73216674,0.376122063,0.069510527,0.336501872,0.38984853,0.38218733,0.074459798,0.069510527,0.334941884,2.00E+00,2.40E-04,1.76E+00,2.08E+00,2.04E+00,2.59E-04,2.40E-04,1.78E+00,1.520273943,0.793426696,1.390518808,1.565610942,1.530677257,0.838481379,0.793426696,1.359255786,1.144825384,0.0205962,1.010490284,1.191192695,1.169667753,0.022220653,0.0205962,1.017027113,0.587479758,0.263910874,0.535068706,0.605757082,0.592553977,0.279679409,0.263910874,0.524851842,0.008191144,0.007782119,0.007644501,0.008384516,0.00817639,0.008102013,0.007782119,0.007350836,1.921369408,-0.408246822,1.659210012,2.011441294,1.980107649,-0.444912081,-0.408246822,1.700325057,0.164229376,0.756461265,0.161229643,0.165448944,0.160236846,0.745258602,0.756461265,0.148804143,1.045079861,0.456183053,0.951113083,1.077838033,1.054446281,0.483680396,0.456183053,0.933539007,1.709435468,0.785955502,1.557914181,1.762290176,1.723743712,0.832573585,0.785955502,1.527377873,0.302494255,0.82252438,0.293058921,0.306045944,0.296956259,0.824850806,0.82252438,0.273383706,6.62E-01,2.56E-03,5.84E-01,6.90E-01,0.677188069,0.002764676,2.56E-03,0.588396743,1.37465484,0.700302504,1.256440056,1.415945769,1.38447416,0.740420821,0.700302504,1.228901034,0.63752538,0.331355062,0.58304206,0.656560985,0.6419208,0.350199631,0.331355062,0.569989951,-0.023068583,0.009254516,-0.026008447,-0.022117772,-0.020946829,-0.000873195,0.009254516,-0.021502569,1.68E+00,-5.37E-01,1.44E+00,1.77E+00,1.74E+00,-5.88E-01,-5.37E-01,1.49E+00,1.317502189,0.571875238,1.198862554,1.35885904,1.329393022,0.606404318,0.571875238,1.17685395,1.760426884,-0.524466665,1.506418665,1.847563797,1.820657555,-0.573719311,-0.524466665,1.555430419,1.372345029,-0.802655627,1.134104762,1.453702478,1.437979534,-0.888970627,-0.802655627,1.205350271
-0.12871395,0.342679346,0.349651748,-0.138511126,0.273352704,-0.129540787,-0.134730263,-0.118222039,0.470747653,0.612331316,0.602717934,0.484255766,0.635272293,0.466414578,0.451650359,0.423416115,0.092289607,0.479520822,0.47642105,0.096645209,0.468028417,0.092002804,0.091689119,0.083695541,0.049783325,0.225191532,0.223564403,0.052069663,0.220934748,0.049607793,0.049343077,0.045122112,0.000148933,9.53E-01,9.53E-01,1.57E-04,8.89E-01,1.49E-04,0.000150547,1.36E-04,0.696095227,1.186800003,1.170402937,0.719135341,1.216394914,0.690698249,0.673500401,0.627336392,0.012985447,0.56036684,0.559854669,0.013705117,0.526248374,0.012980298,0.013097634,0.011819106,0.222792139,0.437957085,0.432354249,0.230664886,0.445897854,0.221229084,0.216478322,0.200985278,0.008191144,0.007782119,0.007644501,0.008384516,0.00817639,0.008102013,0.007782119,0.007350836,-0.207473827,0.606406544,0.617408049,-0.222932443,0.492618531,-0.208696714,-0.216557597,-0.190428109,1.268963473,0.228479385,0.223147777,1.276455109,0.248643812,1.247751491,1.164235213,1.129767579,0.382417693,0.772431497,0.762700945,0.396090446,0.785430657,0.379787265,0.371873577,0.345050666,0.66732559,1.283306583,1.266685843,0.690679996,1.307926696,0.662569083,0.647996521,0.601916878,1.217642159,0.385248172,0.376691464,1.229665501,0.416367147,1.198881435,1.126050955,1.086016207,0.001595719,3.18E-01,3.18E-01,1.69E-03,0.296873207,0.001595581,0.00161227,1.45E-03,0.610464201,1.065038468,1.050499025,0.630894101,1.090430711,0.605804993,0.591061501,0.550253759,0.290387402,0.497040556,0.490187288,0.300017179,0.509342375,0.28814197,0.28099515,0.261710852,0.127184885,-0.062685889,-0.060850777,0.124606303,-0.070694851,0.123961576,0.110558173,0.111897391,-2.42E-01,3.80E-01,3.95E-01,-2.63E-01,2.55E-01,-2.44E-01,-2.58E-01,-2.23E-01,0.478752293,0.972158361,0.959948989,0.495908126,0.988271254,0.475472018,0.465623425,0.431987728,-0.242513593,0.429932522,0.444474801,-0.262947478,0.304409747,-0.244722279,-0.25748494,-0.223538041,-0.24890393,-0.030978683,-0.006642386,-0.283099745,-0.190783926,-0.255528883,-0.288616432,-0.234735527
1.075557323,1.062030966,1.023950921,1.065760147,-0.276380104,-0.270674431,-0.266442532,1.000059495,0.711162904,0.679397129,0.665583465,0.724671017,0.522308583,0.516426421,0.498323662,0.641454843,0.799836851,0.776484822,0.75478642,0.804192453,0.139760091,0.137460779,0.134112547,0.73216674,0.366214622,0.355189103,0.345420324,0.36850096,0.074007465,0.072809573,0.070996022,0.334941884,1.93E+00,1.88E+00,1.83E+00,1.93E+00,0.000256244,2.52E-04,2.46E-04,1.78E+00,1.500964275,1.440166125,1.407900931,1.524004389,0.839424156,0.828668269,0.802260233,1.359255786,1.105293367,1.079074544,1.046076103,1.106013037,0.022002303,0.021607074,0.02114853,1.017027113,0.578469131,0.556187376,0.543179867,0.586341878,0.27957537,0.275798185,0.267404663,0.524851842,0.008191144,0.007782119,0.007644501,0.008384516,0.00817639,0.008102013,0.007782119,0.007350836,1.829977313,1.805580971,1.741479089,1.814518698,-0.438200017,-0.429226885,-0.422366278,1.700325057,0.169661145,0.157208024,0.156340088,0.177152781,0.775066885,0.778625185,0.726425429,0.148804143,1.028551403,0.989304786,0.965991624,1.042224156,0.483372103,0.476781674,0.462393125,0.933539007,1.683887457,1.618527275,1.580911917,1.707241863,0.832446486,0.821284929,0.796117292,1.527377873,0.309830921,0.288982269,0.286454622,0.321854263,0.849518297,0.849687226,0.800167202,0.273383706,0.639111809,6.24E-01,0.605057709,6.39E-01,0.002736622,2.69E-03,2.63E-03,0.588396743,1.35658866,1.302088528,1.272702819,1.37701856,0.741065217,0.731482047,0.708348984,1.228901034,0.629379693,0.60392178,0.590374621,0.63900947,0.350578096,0.346078872,0.335064475,0.569989951,-0.026125127,-0.022580348,-0.023257016,-0.028703709,0.004824445,0.007416096,0.001792686,-0.021502569,1.59E+00,1.58E+00,1.52E+00,1.57E+00,-5.77E-01,-5.65E-01,-5.57E-01,1.49E+00,1.296543492,1.247161718,1.217729094,1.313699325,0.605986793,0.597710138,0.57970154,1.17685395,1.66726784,1.652291444,1.590278309,1.646833955,-0.563949057,-0.551873217,-0.54413202,1.555430419,1.272272966,1.282087385,1.224187348,1.23807715,-0.868179549,-0.846908765,-0.840518755,1.205350271
-0.350115804,-0.329392601,1.367755143,1.538273855,1.509460567,1.460102959,1.405835188,1.325265733,0.549203183,0.520630525,0.697636649,0.768723905,0.750515765,0.740367152,0.711450313,0.67177412,0.163601307,0.154388242,0.896716284,0.999256393,0.978320638,0.95471381,0.918414686,0.86641895,0.086180862,0.081344749,0.407550877,0.453891238,0.444317883,0.433837843,0.417319655,0.393711503,3.10E-04,2.92E-04,2.27E+00,2.54E+00,2.49E+00,2.42E+00,2.33E+00,2.20E+00,0.912534181,0.863799226,1.528993787,1.690430602,1.651770114,1.624196458,1.561258982,1.473798161,0.026518607,0.024996345,1.293985322,1.44673167,1.417576973,1.378992312,1.326983764,1.251525759,0.308396817,0.291744208,0.59968641,0.664002694,0.64906052,0.637300818,0.612693919,0.57830168,0.008191144,0.007782119,0.007644501,0.008384516,0.00817639,0.008102013,0.007782119,0.007350836,-0.553428112,-0.520729709,2.314608029,2.602209083,2.553236589,2.470620438,2.378709911,2.242450761,0.533026731,0.517180258,0.122276921,0.130337435,0.126173679,0.128555732,0.123144857,0.116583613,0.534576607,0.505655699,1.069643232,1.184679666,1.15809789,1.136822296,1.092956395,1.031583613,0.916309331,0.866909579,1.741126041,1.927435115,1.883957836,1.850218131,1.778741399,1.678925262,0.669847577,0.64441554,0.240445656,0.258620988,0.250947294,0.253432222,0.242973303,0.229863581,0.003307942,3.12E-03,7.52E-01,0.84059506,8.24E-01,0.801045478,7.71E-01,7.27E-01,0.807618699,0.764404925,1.385997638,1.532727395,1.497768979,1.472404274,1.415383346,1.336067204,0.381275281,0.360906166,0.641457033,0.70921553,0.693003212,0.681405859,0.655004192,0.618309076,-0.055644558,-0.050190285,-0.004089124,-0.002359961,-0.001778937,-0.003749029,-0.003412455,-0.003371559,-7.45E-01,-7.00E-01,2.09E+00,2.36E+00,2.31E+00,2.23E+00,2.15E+00,2.03E+00,0.670512002,0.634223608,1.349163169,1.494338184,1.460827098,1.433918754,1.378595794,1.301178139,-0.724353255,-0.681131053,2.17448796,2.449753321,2.404867206,2.322452464,2.236501095,2.108037425,-1.176624627,-1.104292887,1.851749233,2.100578462,2.065541419,1.981720992,1.90964927,1.798964386
-0.206971154,0.658294738,-0.185546595,0.756483844,0.75644747,-0.202455349,-0.192518997,0.690726662,0.498478723,0.641756429,0.46251488,0.695836903,0.680311662,0.49225244,0.472128262,0.612615459,0.117495603,0.609813723,0.107202618,0.676516466,0.667460448,0.115487979,0.11030239,0.604467416,0.062648481,0.282227942,0.057216173,0.312610118,0.308237181,0.061594641,0.058843302,0.279040825,2.06E-04,1.36E+00,1.87E-04,1.53E+00,1.51E+00,2.02E-04,1.93E-04,1.38E+00,0.772598233,1.297964343,0.713596688,1.415072769,1.386547929,0.761978373,0.729993754,1.250304255,0.017768908,0.787949751,0.016117793,0.883001096,0.874596761,0.017437191,0.016629963,0.793974409,0.253050163,0.489830603,0.23321941,0.535510231,0.525297738,0.249421384,0.238822245,0.474010904,0.008191144,0.007782119,0.007644501,0.008384516,0.00817639,0.008102013,0.007782119,0.007350836,-0.329755618,1.132544105,-0.295854613,1.298948533,1.297947765,-0.322630291,-0.306856118,1.184660655,1.008837594,0.197209088,0.966814642,0.207795018,0.200780125,1.005384481,0.97214625,0.179451981,0.43620013,0.867584613,0.401858459,0.948982176,0.931076191,0.429897959,0.411589012,0.840279984,0.755331951,1.4303846,0.696363743,1.563117886,1.533050763,0.744567224,0.712984482,1.383227553,1.024017437,0.343011525,0.97451281,0.363242594,0.351717881,1.018475528,0.983069518,0.314779601,2.20E-03,4.52E-01,2.00E-03,5.07E-01,5.03E-01,2.16E-03,2.06E-03,4.57E-01,0.680150879,1.169044138,0.62798192,1.275101829,1.249626353,0.670734142,0.642521363,1.126965674,0.322512839,0.543934674,0.297864788,0.593057214,0.581120568,0.318074194,0.304718057,0.524029296,0.062561573,-0.04508959,0.064672447,-0.045946589,-0.043761184,0.063750117,0.062837335,-0.038748601,-4.20E-01,9.05E-01,-3.74E-01,1.05E+00,1.06E+00,-4.10E-01,-3.89E-01,9.70E-01,0.546532117,1.092816033,0.503465805,1.195465044,1.172955181,0.538624494,0.515675177,1.058598057,-0.412825739,0.966242276,-0.368709015,1.121295904,1.125308987,-0.403407165,-0.383251294,1.029796308,-0.576818203,0.545128815,-0.506427179,0.673540687,0.691031486,-0.561056354,-0.530763476,0.640710621
1.557785647,-0.329392601,1.412807591,1.611293304,1.564284161,1.562301452,1.405835188,-0.307541735,0.756121494,0.520630525,0.70183693,0.775531575,0.755627019,0.749895211,0.711450313,0.490503073,0.998911196,0.154388242,0.915314914,1.029400411,1.000953011,0.996903572,0.918414686,0.144673844,0.453360475,0.081344749,0.415692526,0.467086942,0.454225324,0.452306635,0.417319655,0.076245477,2.55E+00,2.92E-04,2.33E+00,2.63E+00,2.558700706,2.55E+00,2.33E+00,2.73E-04,1.670812117,0.863799226,1.544861916,1.716149115,1.671079782,1.660192256,1.561258982,0.812412335,1.453016983,0.024996345,1.326471593,1.499384294,1.457108989,1.452685266,1.326983764,0.023391249,0.657726609,0.291744208,0.607091084,0.676003933,0.658071148,0.65409783,0.612693919,0.27418544,0.008191144,0.007782119,0.007644501,0.008384516,0.00817639,0.008102013,0.007782119,0.007350836,2.63386217,-0.520729709,2.389711416,2.723934056,2.644628684,2.640987496,2.378709911,-0.486252008,0.121883302,0.517180258,0.11781325,0.123102871,0.12074191,0.118430189,0.123144857,0.500471493,1.173935718,0.505655699,1.083225842,1.20669389,1.174626348,1.167633547,1.092956395,0.475161046,1.908607758,0.866909579,1.762120659,1.961462466,1.909505847,1.897843032,1.778741399,0.814821717,0.245297606,0.64441554,0.234416595,0.248849295,0.243610627,0.239755697,0.242973303,0.617599608,8.45E-01,0.003117702,0.77079498,8.72E-01,0.847089968,0.844604199,7.71E-01,2.92E-03,1.515498781,0.764404925,1.400843903,1.55678971,1.515835159,1.506082044,1.415383346,0.718839654,0.70102915,0.360906166,0.648150923,0.720064756,0.701148899,0.696590505,0.655004192,0.339428655,0.000760233,-0.050190285,-0.001577344,0.001711044,0.001277607,0.001948777,-0.003412455,-0.044439215,2.39E+00,-7.00E-01,2.17E+00,2.48E+00,2.40E+00,2.40E+00,2.15E+00,-6.53E-01,1.480896185,0.634223608,1.366386421,1.522253036,1.481785794,1.472988561,1.378595794,0.595960563,2.486694777,-0.681131053,2.251043374,2.57383169,2.498026249,2.49611335,2.236501095,-0.635556894,2.15250682,-1.104292887,1.933985567,2.233864269,2.165613482,2.168268669,1.90964927,-1.028025181
0.011099065,0.007304675,0.014277078,0.012892914,0.010962197,0.015614869,0.007304675,-0.372429181,0.421203786,0.401319134,0.391705752,0.430604525,0.420486525,0.414977502,0.401319134,0.513496462,0.047256996,0.045940844,0.042841072,0.047879225,0.047209521,0.045249372,0.045940844,0.165573551,0.026798651,0.025993128,0.024365999,0.027179473,0.026769595,0.025744811,0.025993128,0.086912701,4.72E-05,4.72E-05,4.12E-05,4.72E-05,4.72E-05,4.33E-05,4.72E-05,0.000320534,0.559416234,0.534649289,0.518252223,0.571125144,0.558522863,0.548796373,0.534649289,0.875845277,0.004439394,0.004415767,0.003903596,0.004450564,0.004438542,0.004107677,0.004415767,0.027357485,0.168733657,0.161560737,0.155957902,0.172124752,0.168474922,0.165104878,0.161560737,0.299274069,0.008191144,0.007782119,0.007644501,0.008384516,0.00817639,0.008102013,0.007782119,0.007350836,0.010992777,0.005380904,0.016382409,0.013645867,0.010790351,0.018118104,0.005380904,-0.587642712,1.733700026,1.636357411,1.631025804,1.779720073,1.730188773,1.730246912,1.636357411,0.284786508,0.286330889,0.274259751,0.264529198,0.292037685,0.28589547,0.280028718,0.274259751,0.519755087,0.510094895,0.488267098,0.471646359,0.520414284,0.509307543,0.499330169,0.488267098,0.887792736,1.563568855,1.477475158,1.46891845,1.604270824,1.560463363,1.558026946,1.477475158,0.457054469,5.14E-04,5.14E-04,0.000449828,0.000514766,5.14E-04,4.73E-04,5.14E-04,0.003418921,0.485963144,0.46458186,0.450042417,0.496071438,0.485191898,0.476546407,0.46458186,0.776620795,0.232992633,0.222688256,0.215834988,0.237864167,0.232620943,0.228553988,0.222688256,0.366065661,0.242639815,0.227847926,0.229683038,0.249632881,0.242106255,0.243828358,0.227847926,-0.098022034,7.54E-02,6.42E-02,7.92E-02,8.06E-02,7.50E-02,8.51E-02,6.42E-02,-8.01E-01,0.357657991,0.342604678,0.330395306,0.36477465,0.357115002,0.349750368,0.342604678,0.652160625,0.061763242,0.051627498,0.066169776,0.066555054,0.061397635,0.071181816,0.051627498,-0.776772265,0.336942236,0.306540068,0.330876364,0.351315275,0.335845597,0.352704085,0.306540068,-1.299917333
-0.196933031,-0.201555086,0.66956564,-0.195139182,-0.189863509,0.623489354,0.707645685,0.616495171,0.494921634,0.475330273,0.6325438,0.504322374,0.491650731,0.662368896,0.646357463,0.605694789,0.114262407,0.113212839,0.608488465,0.114884636,0.111893814,0.609341511,0.630186868,0.573823041,0.060998256,0.060328797,0.281377616,0.061379078,0.0597845,0.282649282,0.291146395,0.265626087,1.99E-04,1.99E-04,1.37E+00,1.99E-04,1.93E-04,1.34E+00,1.43E+00,1.28E+00,0.762785123,0.738827292,1.283081271,0.774494034,0.754846901,1.329528957,1.315346466,1.224158842,0.017155329,0.017182293,0.790537128,0.017166499,0.016713988,0.775729722,0.82353557,0.740447809,0.249168939,0.242316035,0.484934256,0.252560035,0.246123865,0.499797728,0.497941764,0.461810457,0.008191144,0.007782119,0.007644501,0.008384516,0.00817639,0.008102013,0.007782119,0.007350836,-0.314070421,-0.320975574,1.1507113,-0.311417331,-0.303012412,1.075967792,1.214813182,1.060915183,1.042204177,0.942110413,0.191451597,1.088224225,1.062646864,0.211445084,0.192319534,0.186806631,0.429301408,0.417799084,0.859149991,0.435008203,0.423913382,0.884596348,0.882463154,0.817900348,0.744043295,0.723146273,1.415766979,0.754362684,0.735151793,1.460352891,1.453382336,1.348635385,1.048853857,0.960712341,0.333879578,1.089555825,1.063578482,0.365390493,0.336407225,0.324713493,0.002123295,0.002129064,0.454012725,0.002123594,2.07E-03,0.444466649,4.73E-01,0.424915159,0.671212106,0.650567843,1.155921192,0.681320399,0.664023695,1.196712526,1.185306901,1.102503952,0.31839208,0.30842747,0.537720076,0.323263614,0.315062089,0.557101856,0.551267235,0.512999985,0.070850864,0.055375505,-0.043014827,0.077843931,0.076268204,-0.050392201,-0.042338159,-0.042887181,-3.97E-01,-4.10E-01,9.28E-01,-3.92E-01,-3.81E-01,8.40E-01,9.88E-01,8.46E-01,0.537837938,0.523501479,1.082249949,0.544954597,0.531053379,1.114086918,1.111682574,1.03021985,-0.390979645,-0.402916649,0.988088784,-0.386187833,-0.375661896,0.900836003,1.05010192,0.903658376,-0.53475634,-0.568626604,0.577311363,-0.520383301,-0.505656681,0.454611153,0.635211401,0.505212417
-0.196933031,0.746415574,0.753387976,0.638355417,-0.199517158,-0.197759868,0.746415574,-0.183109485,0.494921634,0.649972016,0.640358633,0.684823682,0.495071579,0.490588559,0.649972016,0.446409503,0.114262407,0.646191921,0.64309215,0.627750481,0.115003174,0.113975604,0.646191921,0.104595249,0.060998256,0.298152692,0.296525563,0.291262548,0.061371519,0.060822724,0.298152692,0.055789336,1.99E-04,1.48E+00,1.48E+00,1.38E+00,2.00E-04,1.99E-04,1.48E+00,1.83E-04,0.762785123,1.329001786,1.31260472,1.373466216,0.764284155,0.757388145,1.329001786,0.690769334,0.017155329,0.851491634,0.850979463,0.797821438,0.017304066,0.017150181,0.851491634,0.015785343,0.249168939,0.504313857,0.498711022,0.516095027,0.249856433,0.247605884,0.504313857,0.226073907,0.008191144,0.007782119,0.007644501,0.008384516,0.00817639,0.008102013,0.007782119,0.007350836,-0.314070421,1.27944341,1.290444915,1.102025936,-0.318096844,-0.315293307,1.27944341,-0.291818813,1.042204177,0.188478321,0.183146713,0.219498854,1.030558267,1.020992196,0.188478321,0.914082594,0.429301408,0.89415167,0.884421118,0.913368299,0.430547873,0.426670979,0.89415167,0.389644707,0.744043295,1.471449257,1.454828518,1.508069573,0.746008078,0.739286788,1.471449257,0.674887897,1.048853857,0.331218916,0.322662208,0.379050912,1.039693331,1.030093132,0.331218916,0.925471069,0.002123295,4.90E-01,4.90E-01,4.57E-01,2.14E-03,0.002123157,4.90E-01,0.001954806,0.671212106,1.198082857,1.183543414,1.23617462,0.672620102,0.666552898,1.198082857,0.6080349,0.31839208,0.557027662,0.550174394,0.575505699,0.319025017,0.316146648,0.557027662,0.288347858,0.070850864,-0.040176646,-0.038341535,-0.052532526,0.068296404,0.067627556,-0.040176646,0.058314572,-3.97E-01,1.05E+00,1.07E+00,8.57E-01,-4.03E-01,-3.99E-01,1.05E+00,-3.71E-01,0.537837938,1.126504045,1.114294673,1.150305329,0.539414559,0.534557662,1.126504045,0.488187789,-0.390979645,1.11598169,1.130523969,0.920566063,-0.396671254,-0.39318833,1.11598169,-0.364753411,-0.53475634,0.705979888,0.730316184,0.457915358,-0.546107516,-0.541381293,0.705979888,-0.506627679
-0.183563273,0.746415574,0.708335529,-0.181769423,-0.17788801,-0.179047468,0.746415574,0.645674215,0.490183952,0.649972016,0.636158352,0.499584692,0.487407116,0.483957669,0.649972016,0.608415178,0.109956119,0.646191921,0.624493519,0.110578348,0.108036605,0.107948495,0.646191921,0.585868785,0.058800324,0.298152692,0.288383914,0.059181146,0.057815778,0.057746484,0.298152692,0.270899176,1.89E-04,1.48E+00,1.42E+00,1.89E-04,1.85E-04,1.85E-04,1.48E+00,1.32E+00,0.749715059,1.329001786,1.296736591,0.761423969,0.743139841,0.739095198,1.329001786,1.234436127,0.016338105,0.851491634,0.818493192,0.016349275,0.015981987,0.016006388,0.851491634,0.761488138,0.243999543,0.504313857,0.491306348,0.247390639,0.241493557,0.240370764,0.504313857,0.46660623,0.008191144,0.007782119,0.007644501,0.008384516,0.00817639,0.008102013,0.007782119,0.007350836,-0.293179335,1.27944341,1.215341528,-0.290526245,-0.284299943,-0.286054008,1.27944341,1.109557268,1.086645072,0.188478321,0.187610385,1.132665119,1.102453262,1.083191958,0.188478321,0.183915652,0.420113012,0.89415167,0.870838508,0.425819807,0.415683193,0.413810841,0.89415167,0.826697374,0.729007954,1.471449257,1.4338339,0.739327342,0.721684405,0.718243227,1.471449257,1.362232934,1.08193344,0.331218916,0.328691269,1.122635409,1.093208377,1.076391532,0.331218916,0.320808662,0.002019899,0.489803226,0.470537105,2.02E-03,1.97E-03,1.98E-03,4.90E-01,4.37E-01,0.659306568,1.198082857,1.168697148,0.669414862,0.653359721,0.649889832,1.198082857,1.112119408,0.312903648,0.557027662,0.543480504,0.317775182,0.310146015,0.308465003,0.557027662,0.517335406,0.081891356,-0.040176646,-0.040853315,0.088884423,0.086157344,0.0830799,-0.040176646,-0.041260381,-3.67E-01,1.05E+00,9.92E-01,-3.61E-01,-3.54E-01,-3.57E-01,1.05E+00,8.95E-01,0.526258175,1.126504045,1.097071421,0.533374834,0.520681206,0.518350551,1.126504045,1.041374805,-0.36188287,1.11598169,1.053968555,-0.357091059,-0.349599464,-0.352464297,1.11598169,0.953240894,-0.478734219,0.705979888,0.64807985,-0.46436118,-0.455476798,-0.46297237,0.705979888,0.558474286
