nega_1,nega_2,nega_3,nega_4,nega_5,nega_6,nega_7,nega_8,aff_1,aff_2,aff_3,aff_4,aff_5,aff_6,aff_7,aff_8,val_1,val_2,val_3,val_4,val_5,val_6,val_7,val_8,ioni1_1,ioni1_2,ioni1_3,ioni1_4,ioni1_5,ioni1_6,ioni1_7,ioni1_8,ioni2_1,ioni2_2,ioni2_3,ioni2_4,ioni2_5,ioni2_6,ioni2_7,ioni2_8,radius_1,radius_2,radius_3,radius_4,radius_5,radius_6,radius_7,radius_8,redox_1,redox_2,redox_3,redox_4,redox_5,redox_6,redox_7,redox_8,TC_1,TC_2,TC_3,TC_4,TC_5,TC_6,TC_7,TC_8,HF_1,HF_2,HF_3,HF_4,HF_5,HF_6,HF_7,HF_8,resis_1,resis_2,resis_3,resis_4,resis_5,resis_6,resis_7,resis_8,iradius_1,iradius_2,iradius_3,iradius_4,iradius_5,iradius_6,iradius_7,iradius_8,oxir_1,oxir_2,oxir_3,oxir_4,oxir_5,oxir_6,oxir_7,oxir_8,hyden_1,hyden_2,hyden_3,hyden_4,hyden_5,hyden_6,hyden_7,hyden_8,ioni3_1,ioni3_2,ioni3_3,ioni3_4,ioni3_5,ioni3_6,ioni3_7,ioni3_8,ioni4_1,ioni4_2,ioni4_3,ioni4_4,ioni4_5,ioni4_6,ioni4_7,ioni4_8,ioni5_1,ioni5_2,ioni5_3,ioni5_4,ioni5_5,ioni5_6,ioni5_7,ioni5_8,EC_1,EC_2,EC_3,EC_4,EC_5,EC_6,EC_7,EC_8,NC_1,NC_2,NC_3,NC_4,NC_5,NC_6,NC_7,NC_8,NM_1,NM_2,NM_3,NM_4,NM_5,NM_6,NM_7,NM_8,SH_1,SH_2,SH_3,SH_4,SH_5,SH_6,SH_7,SH_8,LCx_1,LCx_2,LCx_3,LCx_4,LCx_5,LCx_6,LCx_7,LCx_8,LCz_1,LCz_2,LCz_3,LCz_4,LCz_5,LCz_6,LCz_7,LCz_8
0.702976187,-0.192518997,0.620214693,-0.21676833,0.693142637,-0.202455349,-0.192518997,0.645674215,0.676426822,0.472128262,0.627942766,0.511986837,0.674409694,0.49225244,0.472128262,0.608415178,0.646027252,0.11030239,0.588115321,0.121851205,0.641326835,0.115487979,0.11030239,0.585868785,0.298883652,0.058843302,0.272459164,0.06493482,0.296797053,0.061594641,0.058843302,0.270899176,1.445956617,0.000192582,1.30310661,0.000214288,1.432274173,0.00020197,0.000192582,1.316775606,1.36973577,0.729993754,1.265699149,0.795638348,1.364251045,0.761978373,0.729993754,1.234436127,0.836633785,0.016629963,0.754951309,0.018488578,0.82894912,0.017437191,0.016629963,0.761488138,0.517232907,0.238822245,0.476823094,0.260922911,0.514893162,0.249421384,0.238822245,0.46660623,0.008191144,0.007782119,0.007644501,0.008384516,0.00817639,0.008102013,0.007782119,0.007350836,1.208876646,-0.306856118,1.068442223,-0.345214233,1.192417264,-0.322630291,-0.306856118,1.109557268,0.206575449,0.97214625,0.196341152,1.01632923,0.207052192,1.005384481,0.97214625,0.183915652,0.916224004,0.411589012,0.844271451,0.449872883,0.911990771,0.429897959,0.411589012,0.826697374,1.510263178,0.712984482,1.392769242,0.778686357,1.503550461,0.744567224,0.712984482,1.362232934,0.359690904,0.983069518,0.340483877,1.036040779,0.360189534,1.018475528,0.983069518,0.320808662,0.480311445,0.002059183,0.432978519,0.002290864,0.475794757,0.00215947,0.002059183,0.437351759,1.2338109,0.642521363,1.139658429,0.70058078,1.228765325,0.670734142,0.642521363,1.112119408,0.574021609,0.304718057,0.530387515,0.332142616,0.57171474,0.318074194,0.304718057,0.517335406,-0.0468974,0.062837335,-0.045766258,0.059982991,-0.047290577,0.063750117,0.062837335,-0.041260381,0.969753281,-0.389428793,0.845338186,-0.4407939,0.953739241,-0.410028721,-0.389428793,0.894939626,1.154108193,0.515675177,1.063383409,0.56368795,1.148754163,0.538624494,0.515675177,1.041374805,1.034158991,-0.383251294,0.904229141,-0.433259624,1.017738189,-0.403407165,-0.383251294,0.953240894,0.592183237,-0.530763476,0.487228777,-0.611014018,0.575478221,-0.561056354,-0.530763476,0.558474286
-0.220340912,-0.192518997,-0.193795634,0.829503293,0.811271064,0.780511441,0.658294738,-0.186015883,0.503216405,0.472128262,0.465437993,0.702644574,0.685422916,0.67700821,0.641756429,0.447439409,0.121801892,0.11030239,0.109859566,0.706660484,0.69009282,0.674163645,0.609813723,0.105531375,0.064846414,0.058843302,0.058572281,0.325805822,0.318144622,0.311025516,0.282227942,0.056267136,0.000215581,0.000192582,0.000192581,1.622238691,1.585019727,1.540370277,1.361367523,0.00018494,0.785668298,0.729993754,0.721660819,1.440791283,1.405857598,1.384834423,1.297964343,0.693610583,0.018586133,0.016629963,0.016622014,0.93565372,0.914128778,0.888954692,0.787949751,0.015962996,0.258219559,0.238822245,0.236408888,0.54751147,0.534308365,0.525605368,0.489830603,0.227197661,0.008191144,0.007782119,0.007644501,0.008384516,0.00817639,0.008102013,0.007782119,0.007350836,-0.350646704,-0.306856118,-0.308744255,1.420673505,1.38933986,1.337726946,1.132544105,-0.296360242,0.9643967,0.97214625,0.939394947,0.200560454,0.195348355,0.195887772,0.197209088,0.904421767,0.445388526,0.411589012,0.40752763,0.970996401,0.947604649,0.931936057,0.867584613,0.391642135,0.770367292,0.712984482,0.705640435,1.597145237,1.558598774,1.533525803,1.4303846,0.67815637,0.990937854,0.983069518,0.954102957,0.353470901,0.344381215,0.344377302,0.343011525,0.918280031,0.002304321,0.002059183,0.00205897,0.538505092,0.526143085,0.51139211,0.452244639,0.001977283,0.692056416,0.642521363,0.635327546,1.299164143,1.267692534,1.248456477,1.169044138,0.610622997,0.328001271,0.304718057,0.301251109,0.60390644,0.589266255,0.580432189,0.543934674,0.289540966,0.051521081,0.062837335,0.057860547,-0.041875583,-0.04070464,-0.041637851,-0.04508959,0.055914524,-0.450088774,-0.389428793,-0.393169781,1.175717298,1.150460095,1.101060089,0.905377731,-0.377305405,0.55811188,0.515675177,0.510610431,1.223379896,1.193913878,1.174115421,1.092816033,0.490705067,-0.441922513,-0.383251294,-0.386661505,1.245374272,1.21846803,1.167655933,0.966242276,-0.371078642,-0.632840324,-0.530763476,-0.540992404,0.806826494,0.79110355,0.741230893,0.545128815,-0.518806102
-0.183563273,0.746415574,0.708335529,-0.181769423,-0.17788801,-0.179047468,0.746415574,0.645674215,0.490183952,0.649972016,0.636158352,0.499584692,0.487407116,0.483957669,0.649972016,0.608415178,0.109956119,0.646191921,0.624493519,0.110578348,0.108036605,0.107948495,0.646191921,0.585868785,0.058800324,0.298152692,0.288383914,0.059181146,0.057815778,0.057746484,0.298152692,0.270899176,0.00018883,1.475311865,1.417050952,0.000188831,0.000184602,0.000184943,1.475311865,1.316775606,0.749715059,1.329001786,1.296736591,0.761423969,0.743139841,0.739095198,1.329001786,1.234436127,0.016338105,0.851491634,0.818493192,0.016349275,0.015981987,0.016006388,0.851491634,0.761488138,0.243999543,0.504313857,0.491306348,0.247390639,0.241493557,0.240370764,0.504313857,0.46660623,0.008191144,0.007782119,0.007644501,0.008384516,0.00817639,0.008102013,0.007782119,0.007350836,-0.293179335,1.27944341,1.215341528,-0.290526245,-0.284299943,-0.286054008,1.27944341,1.109557268,1.086645072,0.188478321,0.187610385,1.132665119,1.102453262,1.083191958,0.188478321,0.183915652,0.420113012,0.89415167,0.870838508,0.425819807,0.415683193,0.413810841,0.89415167,0.826697374,0.729007954,1.471449257,1.4338339,0.739327342,0.721684405,0.718243227,1.471449257,1.362232934,1.08193344,0.331218916,0.328691269,1.122635409,1.093208377,1.076391532,0.331218916,0.320808662,0.002019899,0.489803226,0.470537105,0.002020198,0.001974928,0.001978444,0.489803226,0.437351759,0.659306568,1.198082857,1.168697148,0.669414862,0.653359721,0.649889832,1.198082857,1.112119408,0.312903648,0.557027662,0.543480504,0.317775182,0.310146015,0.308465003,0.557027662,0.517335406,0.081891356,-0.040176646,-0.040853315,0.088884423,0.086157344,0.0830799,-0.040176646,-0.041260381,-0.366592086,1.052126541,0.992086996,-0.361335489,-0.35379781,-0.356885545,1.052126541,0.894939626,0.526258175,1.126504045,1.097071421,0.533374834,0.520681206,0.518350551,1.126504045,1.041374805,-0.36188287,1.11598169,1.053968555,-0.357091059,-0.349599464,-0.352464297,1.11598169,0.953240894,-0.478734219,0.705979888,0.64807985,-0.46436118,-0.455476798,-0.46297237,0.705979888,0.558474286
0.648152593,-0.201555086,0.66956564,-0.195139182,-0.189863509,-0.192417227,0.707645685,0.645674215,0.671315568,0.475330273,0.6325438,0.504322374,0.491650731,0.488695351,0.646357463,0.608415178,0.623394879,0.113212839,0.608488465,0.114884636,0.111893814,0.112254783,0.630186868,0.585868785,0.28897621,0.060328797,0.281377616,0.061379078,0.0597845,0.059944416,0.291146395,0.270899176,1.375067159,0.000199155,1.366919682,0.000198556,0.000193313,0.000194668,1.425180594,1.316775606,1.350426101,0.738827292,1.283081271,0.774494034,0.754846901,0.752165263,1.315346466,1.234436127,0.797101768,0.017182293,0.790537128,0.017166499,0.016713988,0.016823613,0.82353557,0.761488138,0.50822228,0.242316035,0.484934256,0.252560035,0.246123865,0.24554016,0.497941764,0.46660623,0.008191144,0.007782119,0.007644501,0.008384516,0.00817639,0.008102013,0.007782119,0.007350836,1.117484551,-0.320975574,1.1507113,-0.311417331,-0.303012412,-0.306945094,1.214813182,1.109557268,0.212007218,0.942110413,0.191451597,1.088224225,1.062646864,1.038751064,0.192319534,0.183915652,0.899695546,0.417799084,0.859149991,0.435008203,0.423913382,0.422999237,0.882463154,0.826697374,1.484715167,0.723146273,1.415766979,0.754362684,0.735151793,0.733278568,1.453382336,1.362232934,0.36702757,0.960712341,0.333879578,1.089555825,1.063578482,1.043311948,0.336407225,0.320808662,0.456944705,0.002129064,0.454012725,0.002123594,0.002067541,0.00208184,0.473278845,0.437351759,1.215744719,0.650567843,1.155921192,0.681320399,0.664023695,0.661795369,1.185306901,1.112119408,0.565875922,0.30842747,0.537720076,0.323263614,0.315062089,0.313953435,0.551267235,0.517335406,-0.049953944,0.055375505,-0.043014827,0.077843931,0.076268204,0.072039408,-0.042338159,-0.041260381,0.878454815,-0.409943528,0.927522981,-0.391689001,-0.380985921,-0.387239058,0.987562526,0.894939626,1.133149496,0.523501479,1.082249949,0.544954597,0.531053379,0.529930314,1.111682574,1.041374805,0.940999948,-0.402916649,0.988088784,-0.386187833,-0.375661896,-0.381561071,1.05010192,0.953240894,0.492111174,-0.568626604,0.577311363,-0.520383301,-0.505656681,-0.518994492,0.635211401,0.558474286
-0.196933031,0.707645685,0.66956564,-0.195139182,-0.189863509,0.623489354,-0.201555086,0.616495171,0.494921634,0.646357463,0.6325438,0.504322374,0.491650731,0.662368896,0.475330273,0.605694789,0.114262407,0.630186868,0.608488465,0.114884636,0.111893814,0.609341511,0.113212839,0.573823041,0.060998256,0.291146395,0.281377616,0.061379078,0.0597845,0.282649282,0.060328797,0.265626087,0.000198555,1.425180594,1.366919682,0.000198556,0.000193313,1.337333411,0.000199155,1.279045744,0.762785123,1.315346466,1.283081271,0.774494034,0.754846901,1.329528957,0.738827292,1.224158842,0.017155329,0.82353557,0.790537128,0.017166499,0.016713988,0.775729722,0.017182293,0.740447809,0.249168939,0.497941764,0.484934256,0.252560035,0.246123865,0.499797728,0.242316035,0.461810457,0.008191144,0.007782119,0.007644501,0.008384516,0.00817639,0.008102013,0.007782119,0.007350836,-0.314070421,1.214813182,1.1507113,-0.311417331,-0.303012412,1.075967792,-0.320975574,1.060915183,1.042204177,0.192319534,0.191451597,1.088224225,1.062646864,0.211445084,0.942110413,0.186806631,0.429301408,0.882463154,0.859149991,0.435008203,0.423913382,0.884596348,0.417799084,0.817900348,0.744043295,1.453382336,1.415766979,0.754362684,0.735151793,1.460352891,0.723146273,1.348635385,1.048853857,0.336407225,0.333879578,1.089555825,1.063578482,0.365390493,0.960712341,0.324713493,0.002123295,0.473278845,0.454012725,0.002123594,0.002067541,0.444466649,0.002129064,0.424915159,0.671212106,1.185306901,1.155921192,0.681320399,0.664023695,1.196712526,0.650567843,1.102503952,0.31839208,0.551267235,0.537720076,0.323263614,0.315062089,0.557101856,0.30842747,0.512999985,0.070850864,-0.042338159,-0.043014827,0.077843931,0.076268204,-0.050392201,0.055375505,-0.042887181,-0.396945599,0.987562526,0.927522981,-0.391689001,-0.380985921,0.839569103,-0.409943528,0.846347373,0.537837938,1.111682574,1.082249949,0.544954597,0.531053379,1.114086918,0.523501479,1.03021985,-0.390979645,1.05010192,0.988088784,-0.386187833,-0.375661896,0.900836003,-0.402916649,0.903658376,-0.53475634,0.635211401,0.577311363,-0.520383301,-0.505656681,0.454611153,-0.568626604,0.505212417
-0.196933031,0.746415574,0.753387976,-0.195139182,-0.187926133,0.652668398,0.746415574,-0.177766843,0.494921634,0.649972016,0.640358633,0.504322374,0.490964206,0.665089285,0.649972016,0.444516295,0.114262407,0.646191921,0.64309215,0.114884636,0.111269801,0.621387255,0.646191921,0.102874428,0.060998256,0.298152692,0.296525563,0.061379078,0.059466003,0.28792237,0.298152692,0.054911029,0.000198555,1.475311865,1.475305864,0.000198556,0.000191904,1.375063273,1.475311865,0.000178939,0.762785123,1.329001786,1.31260472,0.774494034,0.752952952,1.339806241,1.329001786,0.685546452,0.017155329,0.851491634,0.850979463,0.017166499,0.016595566,0.796770051,0.851491634,0.015458775,0.249168939,0.504313857,0.498711022,0.252560035,0.245374781,0.504593501,0.504313857,0.224008183,0.008191144,0.007782119,0.007644501,0.008384516,0.00817639,0.008102013,0.007782119,0.007350836,-0.314070421,1.27944341,1.290444915,-0.311417331,-0.299985139,1.124609878,1.27944341,-0.2834706,1.042204177,0.188478321,0.183146713,1.088224225,1.069086679,0.208554105,0.188478321,0.931841462,0.429301408,0.89415167,0.884421118,0.435008203,0.422581915,0.893393375,0.89415167,0.385972964,0.744043295,1.471449257,1.454828518,0.754362684,0.732973061,1.47395044,1.471449257,0.668879678,1.048853857,0.331218916,0.322662208,1.089555825,1.068371958,0.361485662,0.331218916,0.938689884,0.002123295,0.489803226,0.489739218,0.002123594,0.002052558,0.456903249,0.489803226,0.001913489,0.671212106,1.198082857,1.183543414,0.681320399,0.662298495,1.206327983,1.198082857,0.603277371,0.31839208,0.557027662,0.550174394,0.323263614,0.314266774,0.561437277,0.557027662,0.286154645,0.070850864,-0.040176646,-0.038341535,0.077843931,0.077868053,-0.048765401,-0.040176646,0.062726424,-0.396945599,1.052126541,1.067113441,-0.391689001,-0.376587473,0.888161356,1.052126541,-0.358577518,0.537837938,1.126504045,1.114294673,0.544954597,0.529375385,1.125241873,1.126504045,0.483560441,-0.390979645,1.11598169,1.130523969,-0.386187833,-0.371445558,0.950418521,1.11598169,-0.353126152,-0.53475634,0.705979888,0.730316184,-0.520383301,-0.497538661,0.507873023,0.705979888,-0.484240878
-0.196933031,-0.201555086,0.66956564,0.638355417,-0.201454535,-0.192417227,0.707645685,0.645674215,0.494921634,0.475330273,0.6325438,0.684823682,0.495758104,0.488695351,0.646357463,0.608415178,0.114262407,0.113212839,0.608488465,0.627750481,0.115627187,0.112254783,0.630186868,0.585868785,0.060998256,0.060328797,0.281377616,0.291262548,0.061690016,0.059944416,0.291146395,0.270899176,0.000198555,0.000199155,1.366919682,1.375075591,0.000201744,0.000194668,1.425180594,1.316775606,0.762785123,0.738827292,1.283081271,1.373466216,0.766178104,0.752165263,1.315346466,1.234436127,0.017155329,0.017182293,0.790537128,0.797821438,0.017422488,0.016823613,0.82353557,0.761488138,0.249168939,0.242316035,0.484934256,0.516095027,0.250605517,0.24554016,0.497941764,0.46660623,0.008191144,0.007782119,0.007644501,0.008384516,0.00817639,0.008102013,0.007782119,0.007350836,-0.314070421,-0.320975574,1.1507113,1.102025936,-0.321124117,-0.306945094,1.214813182,1.109557268,1.042204177,0.942110413,0.191451597,0.219498854,1.024118453,1.038751064,0.192319534,0.183915652,0.429301408,0.417799084,0.859149991,0.913368299,0.43187934,0.422999237,0.882463154,0.826697374,0.744043295,0.723146273,1.415766979,1.508069573,0.74818681,0.733278568,1.453382336,1.362232934,1.048853857,0.960712341,0.333879578,0.379050912,1.034899855,1.043311948,0.336407225,0.320808662,0.002123295,0.002129064,0.454012725,0.457034643,0.002157181,0.00208184,0.473278845,0.437351759,0.671212106,0.650567843,1.155921192,1.23617462,0.674345302,0.661795369,1.185306901,1.112119408,0.31839208,0.30842747,0.537720076,0.575505699,0.319820331,0.313953435,0.551267235,0.517335406,0.070850864,0.055375505,-0.043014827,-0.052532526,0.066696555,0.072039408,-0.042338159,-0.041260381,-0.396945599,-0.409943528,0.927522981,0.857396176,-0.407301158,-0.387239058,0.987562526,0.894939626,0.537837938,0.523501479,1.082249949,1.150305329,0.541092553,0.529930314,1.111682574,1.041374805,-0.390979645,-0.402916649,0.988088784,0.920566063,-0.400887592,-0.381561071,1.05010192,0.953240894,-0.53475634,-0.568626604,0.577311363,0.457915358,-0.554225536,-0.518994492,0.635211401,0.558474286
-0.206971154,-0.192518997,-0.185546595,-0.21676833,0.693142637,0.678312948,0.658294738,0.661547618,0.498478723,0.472128262,0.46251488,0.511986837,0.674409694,0.66748015,0.641756429,0.60989507,0.117495603,0.11030239,0.107202618,0.121851205,0.641326835,0.631973883,0.609813723,0.592421671,0.062648481,0.058843302,0.057216173,0.06493482,0.296797053,0.292556723,0.282227942,0.273767736,0.000205856,0.000192582,0.000186581,0.000214288,1.432274173,1.408222869,1.361367523,1.337300656,0.772598233,0.729993754,0.713596688,0.795638348,1.364251045,1.348838625,1.297964343,1.240026971,0.017768908,0.016629963,0.016117793,0.018488578,0.82894912,0.815261739,0.787949751,0.77293408,0.253050163,0.238822245,0.23321941,0.260922911,0.514893162,0.508808356,0.489830603,0.469215131,0.008191144,0.007782119,0.007644501,0.008384516,0.00817639,0.008102013,0.007782119,0.007350836,-0.329755618,-0.306856118,-0.295854613,-0.345214233,1.192417264,1.167359887,1.132544105,1.13601857,1.008837594,0.97214625,0.966814642,1.01632923,0.207052192,0.206013314,0.197209088,0.18234296,0.43620013,0.411589012,0.401858459,0.449872883,0.911990771,0.901124806,0.867584613,0.831482958,0.755331951,0.712984482,0.696363743,0.778686357,1.503550461,1.485900902,1.4303846,1.369630003,1.024017437,0.983069518,0.97451281,1.036040779,0.360189534,0.358053827,0.343011525,0.318684433,0.002200925,0.002059183,0.001995176,0.002290864,0.475794757,0.467833389,0.452244639,0.444117272,0.680150879,0.642521363,0.62798192,0.70058078,1.228765325,1.214778707,1.169044138,1.117350217,0.322512839,0.304718057,0.297864788,0.332142616,0.57171474,0.565247543,0.543934674,0.519693875,0.062561573,0.062837335,0.064672447,0.059982991,-0.047290577,-0.047335657,-0.04508959,-0.040375401,-0.419735261,-0.389428793,-0.374441893,-0.4407939,0.953739241,0.930867569,0.905377731,0.921373818,0.546532117,0.515675177,0.503465805,0.56368795,1.148754163,1.135045614,1.092816033,1.047443102,-0.412825739,-0.383251294,-0.368709015,-0.433259624,1.017738189,0.993995047,0.966242276,0.980213791,-0.576818203,-0.530763476,-0.506427179,-0.611014018,0.575478221,0.554683216,0.545128815,0.587448751
-0.220340912,-0.192518997,0.66526714,0.829503293,0.811271064,0.780511441,-0.192518997,-0.177766843,0.503216405,0.472128262,0.632143047,0.702644574,0.685422916,0.67700821,0.472128262,0.444516295,0.121801892,0.11030239,0.606713951,0.706660484,0.69009282,0.674163645,0.11030239,0.102874428,0.064846414,0.058843302,0.280600813,0.325805822,0.318144622,0.311025516,0.058843302,0.054911029,0.000215581,0.000192582,1.361361522,1.622238691,1.585019727,1.540370277,0.000192582,0.000178939,0.785668298,0.729993754,1.281567277,1.440791283,1.405857598,1.384834423,0.729993754,0.685546452,0.018586133,0.016629963,0.78743758,0.93565372,0.914128778,0.888954692,0.016629963,0.015458775,0.258219559,0.238822245,0.484227768,0.54751147,0.534308365,0.525605368,0.238822245,0.224008183,0.008191144,0.007782119,0.007644501,0.008384516,0.00817639,0.008102013,0.007782119,0.007350836,-0.350646704,-0.306856118,1.14354561,1.420673505,1.38933986,1.337726946,-0.306856118,-0.2834706,0.9643967,0.97214625,0.191877481,0.200560454,0.195348355,0.195887772,0.97214625,0.931841462,0.445388526,0.411589012,0.857854061,0.970996401,0.947604649,0.931936057,0.411589012,0.385972964,0.770367292,0.712984482,1.413763861,1.597145237,1.558598774,1.533525803,0.712984482,0.668879678,0.990937854,0.983069518,0.334454816,0.353470901,0.344381215,0.344377302,0.983069518,0.938689884,0.002304321,0.002059183,0.452180632,0.538505092,0.526143085,0.51139211,0.002059183,0.001913489,0.692056416,0.642521363,1.154504695,1.299164143,1.267692534,1.248456477,0.642521363,0.603277371,0.328001271,0.304718057,0.537081405,0.60390644,0.589266255,0.580432189,0.304718057,0.286154645,0.051521081,0.062837335,-0.043254478,-0.041875583,-0.04070464,-0.041637851,0.062837335,0.062726424,-0.450088774,-0.389428793,0.920364631,1.175717298,1.150460095,1.101060089,-0.389428793,-0.358577518,0.55811188,0.515675177,1.080606661,1.223379896,1.193913878,1.174115421,0.515675177,0.483560441,-0.441922513,-0.383251294,0.980784555,1.245374272,1.21846803,1.167655933,-0.383251294,-0.353126152,-0.632840324,-0.530763476,0.569465111,0.806826494,0.79110355,0.741230893,-0.530763476,-0.484240878
-0.210302789,-0.194456374,-0.187483971,0.711374866,-0.213430035,0.696508803,0.668875796,0.661547618,0.499659315,0.472814787,0.463201405,0.691631352,0.500001719,0.669176566,0.642742911,0.60989507,0.118568696,0.110926403,0.107826631,0.657894499,0.119484396,0.639485529,0.614181814,0.592421671,0.063196188,0.059161799,0.05753467,0.304458252,0.063658738,0.295844986,0.284140097,0.273767736,0.00020828,0.000193991,0.00018799,1.469493137,0.000210455,1.431750957,1.375049324,1.337300656,0.775855188,0.731887703,0.715490637,1.399184729,0.777885164,1.35524747,1.301691146,1.240026971,0.017972554,0.016748385,0.016236214,0.850474062,0.018154488,0.828382346,0.795579506,0.77293408,0.254338335,0.239571329,0.233968494,0.528096267,0.255235825,0.511798967,0.491569672,0.469215131,0.008191144,0.007782119,0.007644501,0.008384516,0.00817639,0.008102013,0.007782119,0.007350836,-0.334961507,-0.309883391,-0.298881886,1.223750909,-0.339836586,1.197692765,1.150182954,1.13601857,0.997763283,0.965706435,0.960374828,0.21226429,0.984312055,0.20421052,0.196160746,0.18234296,0.438489804,0.412920479,0.403189926,0.935382524,0.440109528,0.906610573,0.870774637,0.831482958,0.759078636,0.715163215,0.698542475,1.542096924,0.761654199,1.494380242,1.435315415,1.369630003,1.015774273,0.978276042,0.969719334,0.369279219,1.005269959,0.3556188,0.341595534,0.318684433,0.002226691,0.002074166,0.002010159,0.488156764,0.002249794,0.47558877,0.456754464,0.444117272,0.683117643,0.644246563,0.62970712,1.260236934,0.685009276,1.220774841,1.172530946,1.117350217,0.323880512,0.305513371,0.298660102,0.586354925,0.324736405,0.567951082,0.545506807,0.519693875,0.059810372,0.061237486,0.063072598,-0.04846152,0.056807415,-0.046321195,-0.044499671,-0.040375401,-0.427299111,-0.393827242,-0.378840342,0.978996444,-0.434489269,0.961169371,0.92299851,0.921373818,0.5494177,0.51735317,0.505143798,1.178220181,0.551464726,1.142001769,1.096861102,1.047443102,-0.420076419,-0.387467632,-0.372925353,1.044644431,-0.426950024,1.024914372,0.98422215,0.980213791,-0.590778462,-0.538881495,-0.514545199,0.591201165,-0.604405418,0.58789696,0.564442914,0.587448751
