1,2,3,4,5,6,7,8
Fe,Fe,Fe,Fe,Ni,Ni,Fe,Ni
Ni,Fe,Fe,Fe,Ni,Ni,Ni,Fe
Ni,Fe,Ni,Fe,Ni,Fe,Fe,Ni
Ni,Fe,Fe,Ni,Fe,Ni,Fe,Fe
Fe,Fe,Ni,Fe,Fe,Fe,Fe,Fe
Fe,Ni,Ni,Fe,Ni,Ni,Fe,Fe
Fe,Fe,Ni,Ni,Fe,Fe,Fe,Ni
Ni,Ni,Ni,Ni,Fe,Ni,Fe,Ni
Ni,Fe,Fe,Fe,Fe,Ni,Fe,Ni
Ni,Ni,Ni,Fe,Fe,Fe,Fe,Fe
Ni,Fe,Ni,Ni,Fe,Fe,Fe,Fe
Fe,Fe,Ni,Ni,Ni,Fe,Fe,Fe
Ni,Ni,Fe,Ni,Ni,Fe,Ni,Ni
Fe,Fe,Fe,Fe,Fe,Ni,Ni,Fe
Ni,Fe,Fe,Ni,Fe,Fe,Fe,Fe
Ni,Ni,Fe,Fe,Ni,Ni,Ni,Fe
Ni,Ni,Fe,Ni,Fe,Fe,Fe,Ni
Fe,Ni,Ni,Ni,Fe,Ni,Fe,Fe
Fe,Ni,Ni,Ni,Fe,Fe,Ni,Ni
Fe,Ni,Ni,Fe,Ni,Fe,Fe,Fe
Ni,Ni,Fe,Fe,Ni,Ni,Fe,Ni
Fe,Ni,Ni,Ni,Ni,Fe,Ni,Ni
Fe,Fe,Ni,Fe,Ni,Fe,Fe,Fe
Ni,Fe,Fe,Ni,Fe,Fe,Fe,Ni
Ni,Ni,Ni,Ni,Fe,Ni,Fe,Fe
Fe,Ni,Ni,Fe,Ni,Fe,Ni,Fe
Ni,Ni,Fe,Ni,Ni,Fe,Ni,Fe
Fe,Ni,Fe,Ni,Fe,Fe,Fe,Ni
Ni,Fe,Fe,Ni,Fe,Fe,Ni,Ni
Fe,Fe,Fe,Ni,Fe,Ni,Fe,Fe
Fe,Fe,Fe,Ni,Fe,Fe,Fe,Fe
Ni,Ni,Ni,Fe,Fe,Ni,Ni,Fe
Fe,Fe,Ni,Fe,Ni,Fe,Ni,Fe
Ni,Fe,Fe,Fe,Fe,Ni,Fe,Fe
Fe,Ni,Fe,Fe,Fe,Ni,Fe,Ni
Ni,Fe,Ni,Ni,Fe,Ni,Fe,Ni
Fe,Fe,Fe,Fe,Ni,Fe,Ni,Fe
Fe,Ni,Ni,Fe,Ni,Ni,Ni,Fe
Ni,Fe,Ni,Ni,Ni,Ni,Fe,Ni
Ni,Ni,Ni,Ni,Ni,Ni,Fe,Ni
Fe,Fe,Fe,Fe,Ni,Fe,Fe,Ni
Fe,Fe,Fe,Ni,Fe,Ni,Fe,Ni
Fe,Ni,Fe,Fe,Fe,Ni,Fe,Fe
Fe,Fe,Ni,Fe,Fe,Fe,Fe,Ni
Fe,Fe,Fe,Ni,Fe,Fe,Fe,Ni
Ni,Fe,Ni,Fe,Ni,Ni,Ni,Fe
Fe,Ni,Fe,Ni,Fe,Fe,Fe,Fe
Ni,Ni,Ni,Fe,Ni,Fe,Ni,Fe
Ni,Ni,Fe,Ni,Fe,Fe,Fe,Fe
Ni,Fe,Fe,Fe,Fe,Ni,Ni,Fe
Ni,Fe,Ni,Fe,Fe,Fe,Ni,Ni
Ni,Ni,Fe,Fe,Fe,Fe,Fe,Fe
Ni,Fe,Fe,Ni,Fe,Ni,Ni,Fe
Fe,Ni,Ni,Ni,Ni,Ni,Fe,Ni
Fe,Fe,Ni,Fe,Fe,Ni,Ni,Ni
Fe,Fe,Fe,Ni,Ni,Ni,Ni,Fe
Ni,Fe,Ni,Fe,Fe,Fe,Fe,Ni
Ni,Ni,Ni,Ni,Ni,Fe,Ni,Ni
Fe,Ni,Ni,Fe,Fe,Ni,Fe,Fe
Ni,Ni,Fe,Fe,Ni,Fe,Fe,Ni
Ni,Ni,Fe,Ni,Fe,Ni,Fe,Ni
Ni,Fe,Fe,Fe,Ni,Fe,Ni,Fe
Fe,Fe,Ni,Ni,Ni,Ni,Fe,Fe
Ni,Fe,Fe,Fe,Ni,Fe,Fe,Ni
Ni,Ni,Ni,Ni,Ni,Ni,Fe,Fe
Ni,Fe,Ni,Ni,Ni,Fe,Fe,Ni
Ni,Fe,Ni,Ni,Ni,Fe,Ni,Fe
Ni,Fe,Fe,Ni,Ni,Ni,Ni,Fe
Ni,Fe,Fe,Fe,Fe,Fe,Fe,Fe
Fe,Ni,Ni,Fe,Ni,Ni,Fe,Ni
Fe,Fe,Ni,Ni,Fe,Ni,Ni,Ni
Ni,Fe,Fe,Ni,Fe,Ni,Fe,Ni
Ni,Fe,Ni,Fe,Fe,Ni,Ni,Fe
Fe,Ni,Ni,Ni,Ni,Fe,Ni,Fe
Fe,Fe,Ni,Fe,Ni,Fe,Ni,Ni
Fe,Fe,Fe,Ni,Fe,Fe,Ni,Fe
Ni,Ni,Fe,Fe,Fe,Ni,Fe,Ni
Fe,Fe,Fe,Ni,Ni,Fe,Ni,Fe
Fe,Ni,Fe,Ni,Ni,Ni,Ni,Fe
Fe,Fe,Fe,Ni,Ni,Ni,Ni,Ni
Fe,Fe,Fe,Ni,Ni,Fe,Ni,Ni
Fe,Fe,Fe,Fe,Ni,Ni,Ni,Ni
Fe,Ni,Fe,Ni,Fe,Ni,Ni,Fe
Ni,Fe,Fe,Ni,Ni,Fe,Fe,Ni
Fe,Ni,Fe,Ni,Fe,Fe,Ni,Fe
Fe,Ni,Fe,Fe,Fe,Ni,Ni,Fe
Ni,Ni,Fe,Fe,Fe,Ni,Ni,Ni
Ni,Ni,Fe,Fe,Fe,Fe,Ni,Ni
Fe,Fe,Fe,Fe,Fe,Fe,Ni,Fe
Ni,Ni,Ni,Fe,Ni,Ni,Fe,Ni
Fe,Ni,Fe,Ni,Ni,Ni,Fe,Fe
Ni,Ni,Fe,Ni,Fe,Ni,Fe,Fe
Ni,Fe,Ni,Ni,Fe,Fe,Fe,Ni
Ni,Fe,Ni,Fe,Ni,Ni,Fe,Ni
Ni,Ni,Ni,Ni,Fe,Fe,Ni,Fe
Fe,Ni,Fe,Fe,Fe,Ni,Ni,Ni
Ni,Fe,Ni,Fe,Fe,Fe,Ni,Fe
Fe,Ni,Ni,Ni,Fe,Fe,Ni,Fe
Ni,Fe,Fe,Ni,Fe,Ni,Ni,Ni
Fe,Ni,Ni,Fe,Fe,Ni,Ni,Fe
Fe,Fe,Fe,Fe,Ni,Fe,Ni,Ni
Fe,Fe,Ni,Fe,Fe,Ni,Fe,Ni
Fe,Ni,Ni,Fe,Ni,Ni,Ni,Ni
Ni,Ni,Fe,Ni,Fe,Ni,Ni,Fe
Fe,Fe,Fe,Fe,Fe,Ni,Ni,Ni
Fe,Fe,Fe,Fe,Fe,Fe,Ni,Ni
Ni,Fe,Ni,Fe,Ni,Fe,Ni,Fe
Fe,Fe,Ni,Fe,Fe,Ni,Ni,Fe
Ni,Ni,Ni,Ni,Fe,Fe,Fe,Fe
Ni,Fe,Fe,Fe,Ni,Ni,Ni,Ni
Fe,Fe,Fe,Fe,Fe,Ni,Fe,Ni
Fe,Fe,Ni,Fe,Ni,Ni,Fe,Fe
Fe,Fe,Ni,Ni,Fe,Ni,Fe,Fe
Fe,Fe,Fe,Ni,Fe,Fe,Ni,Ni
Ni,Ni,Fe,Ni,Fe,Fe,Ni,Fe
Ni,Ni,Ni,Fe,Fe,Ni,Fe,Fe
Ni,Fe,Ni,Fe,Fe,Ni,Ni,Ni
Fe,Fe,Ni,Ni,Ni,Ni,Ni,Ni
Ni,Fe,Fe,Fe,Fe,Ni,Ni,Ni
Fe,Ni,Fe,Fe,Ni,Fe,Ni,Ni
Ni,Fe,Ni,Fe,Ni,Ni,Ni,Ni
Ni,Ni,Fe,Ni,Ni,Ni,Fe,Ni
Ni,Ni,Ni,Ni,Ni,Ni,Ni,Fe
Ni,Ni,Fe,Fe,Ni,Fe,Ni,Fe
