Mag,nega_1,nega_2,nega_3,nega_4,nega_5,nega_6,nega_7,nega_8,aff_1,aff_2,aff_3,aff_4,aff_5,aff_6,aff_7,aff_8,val_1,val_2,val_3,val_4,val_5,val_6,val_7,val_8,ioni1_1,ioni1_2,ioni1_3,ioni1_4,ioni1_5,ioni1_6,ioni1_7,ioni1_8,ioni2_1,ioni2_2,ioni2_3,ioni2_4,ioni2_5,ioni2_6,ioni2_7,ioni2_8,radius_1,radius_2,radius_3,radius_4,radius_5,radius_6,radius_7,radius_8,redox_1,redox_2,redox_3,redox_4,redox_5,redox_6,redox_7,redox_8,TC_1,TC_2,TC_3,TC_4,TC_5,TC_6,TC_7,TC_8,HF_1,HF_2,HF_3,HF_4,HF_5,HF_6,HF_7,HF_8,resis_1,resis_2,resis_3,resis_4,resis_5,resis_6,resis_7,resis_8,iradius_1,iradius_2,iradius_3,iradius_4,iradius_5,iradius_6,iradius_7,iradius_8,oxir_1,oxir_2,oxir_3,oxir_4,oxir_5,oxir_6,oxir_7,oxir_8,hyden_1,hyden_2,hyden_3,hyden_4,hyden_5,hyden_6,hyden_7,hyden_8,ioni3_1,ioni3_2,ioni3_3,ioni3_4,ioni3_5,ioni3_6,ioni3_7,ioni3_8,ioni4_1,ioni4_2,ioni4_3,ioni4_4,ioni4_5,ioni4_6,ioni4_7,ioni4_8,ioni5_1,ioni5_2,ioni5_3,ioni5_4,ioni5_5,ioni5_6,ioni5_7,ioni5_8,EC_1,EC_2,EC_3,EC_4,EC_5,EC_6,EC_7,EC_8,NC_1,NC_2,NC_3,NC_4,NC_5,NC_6,NC_7,NC_8,NM_1,NM_2,NM_3,NM_4,NM_5,NM_6,NM_7,NM_8,SH_1,SH_2,SH_3,SH_4,SH_5,SH_6,SH_7,SH_8,LCx_1,LCx_2,LCx_3,LCx_4,LCx_5,LCx_6,LCx_7,LCx_8,LCz_1,LCz_2,LCz_3,LCz_4,LCz_5,LCz_6,LCz_7,LCz_8
277996.7205,0.5008300248180273,0.475135165,0.37025155,0.407170857,0.465906841,0.393230117,0.376173937,0.356273615,0.498887457,0.46283128,0.118113616,0.134236652,0.527296892,0.127882405,0.118868053,0.114708217,-0.472178958,-0.464685723,0.304255593,0.286388587,-0.476757463,0.294113229,0.325953996,0.281227131,0.112222481,0.105964382,0.041368352,0.045811075,0.090866438,0.044191807,0.04178003,0.039877846,0.136945872,0.125927801,0.062775092,0.072853107,0.222534664,0.068533227,0.063384583,0.061351948,0.01015123,0.006319913,-0.01398099,-0.019809899,-0.034913597,-0.017099981,-0.013556106,-0.014546184,0.153067971,0.139101413,0.116684152,0.1391368,0.417974275,0.128951538,0.117969203,0.114979807,-0.024100544,-0.012358046,-0.008461194,-0.026849212,-0.466792385,-0.017180339,-0.007560972,-0.012518762,0.008191144,0.007782119,0.007644501,0.008384516,0.00817639,0.008102013,0.007782119,0.007350836,0.15037117,0.142411325,0.144722837,0.159729648,0.176691858,0.153836209,0.147298918,0.139413082,-0.044825281,-0.045995438,0.097902399,0.079995917,-0.373812377,0.0895684,0.104296785,0.087414136,0.540030586,0.504388243,0.147543807,0.166048579,0.521465726,0.158955776,0.148640737,0.14288384,0.290369113,0.266142325,0.052367192,0.060560192,0.347549474,0.057197204,0.052616401,0.051117167,-0.016973468,-0.01722291,0.058500688,0.051361769,-0.171999399,0.055359225,0.0617348,0.053108869,-0.016879017,-0.016653677,0.462226961,0.456595822,-0.551573609,0.4631551,0.48041144,0.432141067,-0.152089675,-0.141695536,0.111609969,0.13004912,0.141222705,0.12066559,0.115724723,0.109315766,-0.04274666,-0.03153286,-0.012342961,-0.022492616,-0.303337736,-0.017239977,-0.012088183,-0.01410466,-0.493670728,-0.478814059,1.495914665,1.547329453,-0.559925306,1.529912987,1.553941954,1.416034603,0.021581876,0.020401315,0.052012874,0.057698311,0.056425989,0.055304767,0.053178862,0.050186341,-0.105269984,-0.091126353,0.019235731,0.028474408,-0.000527819,0.023554343,0.019743445,0.020357789,0.091002543,0.087354983,0.227805918,0.244064467,0.075088307,0.238065505,0.233684429,0.217658974,0.156618646,0.147931797,0.084444558,0.093558284,0.146149508,0.090107815,0.085542562,0.08142222
118322.5632,0.07560172,0.05906285,-0.700711713,0.141057311,0.139045112,0.128899806,0.099525308,0.122655044,0.029868049,0.046751598,0.03375234,-0.037440506,-0.035729186,-0.038989219,-0.041888744,-0.03426053,0.163601307,0.154388242,0.896716284,0.999256393,0.978320638,0.95471381,0.918414686,0.86641895,0.029557559,0.029677553,0.105120434,0.036270668,0.035323366,0.035425572,0.035899125,0.031710603,2.03E-05,2.78E-05,-0.232038641,-0.025121276,-0.024110659,-0.026372442,-0.032977901,-0.022141984,0.276921876,0.283820599,0.416308153,0.076947664,0.074604808,0.07607546,0.07680098,0.068117542,-0.00033449,0.000493638,-0.245178759,-0.007091432,-0.006318302,-0.009729391,-0.018372405,-0.006700214,0.127598645,0.126770883,0.226270891,0.084638845,0.082318676,0.082790865,0.082432191,0.074425474,0.008191144,0.007782119,0.007644501,0.008384516,0.00817639,0.008102013,0.007782119,0.007350836,0.02488737,0.006967152,-0.683142792,0.029173399,0.02913728,0.023885206,0.004903624,0.025851035,0.933251162,0.882373969,0.180239169,0.497978005,0.484096781,0.484851579,0.46037205,0.440895811,0.016063374,0.032526733,-0.035543281,-0.037237018,-0.035401797,-0.039488801,-0.04489587,-0.034123589,0.129268862,0.148756947,0.156510314,-0.038660979,-0.037236959,-0.039172557,-0.041383152,-0.034625357,0.718986891,0.689253804,0.253359363,0.30592754,0.29700795,0.29928854,0.286548719,0.271564899,0.003228129,0.003044874,0.730220371,0.797625693,0.781574767,0.760296508,0.732262085,0.689877059,-0.067284411,-0.033919933,-0.18711712,-0.033981781,-0.030552307,-0.042428568,-0.057732847,-0.034290628,0.122333939,0.124629362,0.186087566,0.040020151,0.038820765,0.039497141,0.039763615,0.035393076,-0.719424493,-0.655871093,0.213656497,1.826380677,1.798699164,1.707261983,1.584866317,1.563877672,0.002992873,-0.017908855,-0.574614365,0.012061209,0.011947475,0.009667665,-0.001947553,0.01134091,0.065660914,0.08231374,0.05199535,-0.040105183,-0.038497319,-0.041147421,-0.044486084,-0.036123458,0.108493356,0.078818415,-0.985084294,0.137412522,0.135281985,0.125345087,0.091256319,0.120500205,0.035780983,0.001993656,-0.714414345,0.034642757,0.03367341,0.032388769,0.020317075,0.031814661
538844.5512,0.092208372,0.188810163,0.088912024,0.094002221,0.09158716,0.091381535,0.090188661,0.08441312,0.247801413,-0.702955907,0.204771691,0.257202153,0.251574988,0.243468338,0.21146196,0.206950078,0.00545758,-0.125205678,0.001412167,0.006079809,0.006034118,0.005170777,0.001854992,0.002753657,0.020143436,0.044168009,0.019505806,0.020524258,0.019994591,0.019967904,0.019776828,0.018488556,-2.21E-05,-0.000159074,-2.45E-05,-2.21E-05,-2.14E-05,-2.21E-05,-2.45E-05,-2.21E-05,0.35643082,-0.532018457,0.308063845,0.368139731,0.359704138,0.351033842,0.316396781,0.305549226,-0.003707471,-0.029604768,-0.00419641,-0.003696301,-0.0035835,-0.003712619,-0.00418846,-0.003756011,0.030693418,-0.675530612,0.008750191,0.034084514,0.033807136,0.029130363,0.011163548,0.01595726,0.008191144,0.007782119,0.007644501,0.008384516,0.00817639,0.008102013,0.007782119,0.007350836,0.117780192,0.145568256,0.110870584,0.120433282,0.117416634,0.116557306,0.112758721,0.106251073,1.518015041,-1.249051849,1.34072908,1.564035088,1.527383417,1.496803059,1.373480383,1.318032868,0.141040627,-0.494233713,0.113891901,0.146747423,0.143611746,0.138410199,0.117953282,0.116241493,0.28206046,-0.699446027,0.235924616,0.292379848,0.285902913,0.277303952,0.243268664,0.237217095,1.394196493,-0.733737905,1.24304313,1.434898461,1.400941512,1.375435769,1.272009691,1.217324268,-3.40E-04,-0.002523524,-0.000379474,-3.40E-04,-3.30E-04,-3.40E-04,-0.000379262,-3.41E-04,0.321864702,-0.357508323,0.281658447,0.331972996,0.324267825,0.317205495,0.288852264,0.277938661,0.067207093,-0.804279673,0.038212865,0.072078627,0.07099003,0.06496166,0.041679812,0.046037623,0.290135945,0.237673884,0.269701382,0.297129012,0.289784119,0.286912636,0.27467817,0.25974726,0.209668347,0.118103391,0.193386465,0.214924945,0.209655376,0.207245428,0.197127452,0.186825568,0.180440465,-0.583583075,0.147083048,0.187557124,0.183510755,0.17716019,0.152147794,0.149514706,0.185498364,0.067178352,0.170040063,0.190290176,0.185654674,0.183289679,0.173450274,0.164675334,0.575178402,0.336481251,0.530865328,0.589551442,0.575086647,0.568553449,0.541094256,0.512719718
20365.30188,0.114567573,0.108727931,0.233958588,0.267544783,0.116306187,0.113740736,0.108727931,0.10089013,0.077705739,0.070426078,-0.428470304,-0.432090073,0.063527145,0.073372664,0.070426078,0.085035455,-0.019748416,-0.019044716,-0.018493017,-0.030399045,-0.021832159,-0.020035219,-0.019044716,-0.015489104,0.027372971,0.025771242,0.060662361,0.078234534,0.027987143,0.027197439,0.025771242,0.023972929,-3.50E-05,-3.52E-05,0.048461072,0.048523181,-3.57E-05,-3.50E-05,-3.52E-05,-3.00E-05,0.249326612,0.227590662,-0.422345332,-0.130630227,0.24129598,0.243929633,0.227590662,0.234484196,-0.004935657,-0.005206818,0.037984915,0.056500598,-0.004941311,-0.004940806,-0.005206818,-0.004242892,0.025600903,0.006941057,-0.642683476,0.026503157,0.028177149,0.024037848,0.006941057,0.026094132,0.008191144,0.007782119,0.007644501,0.008384516,0.00817639,0.008102013,0.007782119,0.007350836,0.119976871,0.114580111,0.145477256,0.135202541,0.119845153,0.118753985,0.114580111,0.107386387,1.171180536,1.085900403,-1.033014472,-0.181864545,1.143943444,1.149968554,1.085900403,1.085292279,0.016126581,0.014380026,-0.262607204,-0.329011576,0.005514071,0.013496152,0.014380026,0.025469591,0.128049328,0.11556938,-0.472004626,-0.3539335,0.115637201,0.123292821,0.11556938,0.129230781,1.102761344,1.030364432,-0.612519535,-0.08685826,1.078747833,1.08400062,1.030364432,1.017620906,-3.57E-04,-0.000393599,0.000529917,0.002572358,-3.49E-04,-3.57E-04,-0.000393599,-3.11E-04,0.294268778,0.265970932,-0.331077407,0.197737489,0.293759383,0.28960957,0.265970932,0.268573281,0.053507546,0.030320748,-0.743457517,0.04205629,0.055844611,0.051262114,0.030320748,0.052368295,0.278462833,0.264999337,0.225296918,0.223667208,0.276879008,0.275239524,0.264999337,0.250842218,0.180927902,0.173297133,0.102710822,0.040875296,0.177881618,0.178504983,0.173297133,0.16464771,0.171403155,0.144654452,-0.557994496,0.152279922,0.173519633,0.16812288,0.144654452,0.157406126,0.166976989,0.15809316,0.060640605,0.081350162,0.165178523,0.164768303,0.15809316,0.151540457,0.539517861,0.511526097,0.313330788,0.372901502,0.535662435,0.532892908,0.511526097,0.487430191
369871.4601,0.15123867,0.145010215,0.346357175,0.349070725,0.151672219,0.291810161,0.28464271,0.264525835,-0.149604954,-0.147133936,-0.019450554,-0.076544785,-0.159548105,0.021279081,0.023219385,0.017114238,0.047256996,0.045940844,-0.330136079,-0.365426103,0.043476147,0.140303629,0.159282896,0.172126438,0.028553425,0.02752914,0.078313248,0.069441512,0.028815827,0.034188005,0.033251265,0.030406701,-5.28E-05,-4.90E-05,0.080183083,0.118963931,-5.49E-05,0.046281189,0.043309783,0.040407525,0.076175448,0.075351602,-0.061029247,-0.289247872,0.064290981,0.030745621,0.029727335,0.029517078,-0.008336619,-0.007527377,0.09624709,0.21623681,-0.008769573,0.092011972,0.08360907,0.079965568,-0.020492845,-0.004140406,-0.00072309,-0.589653417,-0.034402854,-0.007656115,0.00247803,-0.00115965,0.008191144,0.007782119,0.007644501,0.008384516,0.00817639,0.008102013,0.007782119,0.007350836,0.12871577,0.121949967,0.132160862,0.170229514,0.128943219,0.145162437,0.139209818,0.131554893,0.680556041,0.654530434,-0.111523287,-0.840883896,0.642399089,0.373195595,0.359697,0.349631703,-0.138934007,-0.136895999,0.044573923,0.025356661,-0.145152033,0.041063308,0.043153092,0.034958711,-0.096915549,-0.094152083,-0.05915891,-0.169123968,-0.108072747,0.002492992,0.003363249,0.001001356,0.598158739,0.568269707,-0.050040687,-0.464406523,0.572593496,0.258914969,0.24612304,0.239062503,0.001135807,0.001159167,-0.008426157,-0.32768759,0.001051734,0.148441826,0.180827333,0.169886905,-0.041551032,-0.033924431,-0.001846025,-0.085053743,-0.047101832,-0.06189064,-0.057729445,-0.050960807,-0.036553815,-0.017508821,-0.003411545,-0.558488431,-0.052684115,-0.003575173,0.001231882,-0.000541462,-0.274872371,-0.272766608,-0.184452928,-0.220029949,-0.261858152,0.18928834,0.276712601,0.273563687,0.14148646,0.13169502,0.029677053,0.090676009,0.141197867,0.086986171,0.081573629,0.078772668,-0.020155916,-0.006024557,0.003160069,-0.270826469,-0.0316199,-0.013976575,-0.016516905,-0.013420037,0.193452493,0.184427118,0.08421306,0.076404059,0.190638737,0.236890864,0.229913622,0.219743553,0.36522977,0.34375595,0.236060241,0.244431784,0.365124976,0.140326886,0.132289496,0.125537518
90027.69104,0.542440561,0.518711101,0.510885089,0.436876676,0.425190068,0.537371901,0.483377426,0.383085125,0.740226281,0.732246964,0.728472693,0.17767223,0.171870249,0.737781805,0.790557702,0.157240918,-0.04345388,0.005277288,0.020776147,-0.261559297,-0.238119661,-0.03341576,0.005277288,-0.242675938,0.156388529,0.152044891,0.150771646,0.059317115,0.057464478,0.155563888,0.121291739,0.052012538,0.159407626,0.158316194,0.156968262,0.079940876,0.077562849,0.158534613,0.270276994,0.071752473,0.035069144,0.039195803,0.039863478,-0.032084631,-0.030732742,0.035501576,0.061151633,-0.029934289,0.150632006,0.151359645,0.149814696,0.129563321,0.126026373,0.149631391,0.421078015,0.118640328,-0.005970065,-0.018594316,-0.019740426,-0.001091613,-0.000842199,-0.006712363,-0.478714069,-0.00905557,0.008191144,0.007782119,0.007644501,0.008384516,0.00817639,0.008102013,0.007782119,0.007350836,0.148196719,0.141267329,0.138791419,0.156861975,0.152992853,0.14659315,0.166151591,0.138002219,-0.013113832,-0.006070037,-0.004387304,-0.017808681,-0.013366807,-0.012023979,-0.142789925,-0.026347673,0.794089885,0.780892707,0.776160464,0.220098292,0.212986146,0.791024961,0.756394928,0.194085239,0.432471396,0.432143333,0.430505672,0.079333042,0.076705827,0.431410735,0.550114008,0.070672757,-0.006633503,-0.004238136,-0.003652246,0.004921614,0.006688339,-0.00625404,-0.075228821,-0.00069376,-0.009481417,-0.007753309,-0.007282485,0.214769438,0.218435804,-0.009176479,-0.293674674,0.169391319,-0.05092559,-0.046149432,-0.042908739,0.000662893,0.003679863,-0.048826696,-0.013257657,0.005718318,-0.021014954,-0.030738572,-0.03128695,-0.006620321,-0.006415334,-0.021370121,-0.365474391,-0.009969481,-0.242167698,-0.202284509,-0.189492228,0.508184416,0.527896996,-0.233882542,-0.230307733,0.418579703,0.017037276,0.016055809,0.015658605,0.04435771,0.043576442,0.016780019,0.040422701,0.039358456,-0.016129485,-0.021877827,-0.020575867,-0.010164772,-0.009268938,-0.015286247,-0.201719366,-0.005130469,0.070313747,0.064395869,0.062481761,0.18659455,0.183782986,0.06907404,0.053294228,0.161822523,0.188848478,0.182463191,0.180343418,0.109056269,0.105890426,0.187475568,0.170445536,0.095813284
113593.4821,0.524355517,0.49472534,0.385076547,0.425865549,0.52224839,0.484492256,0.390998934,0.370425696,0.643018267,0.582138012,0.141961787,0.16248464,0.632155321,0.687482295,0.142716224,0.136247399,-0.220118998,-0.255688645,0.011659684,-0.066495357,-0.235428424,-0.210080878,0.033358086,0.01272271,0.137113707,0.12669918,0.048072536,0.054295604,0.135663158,0.109931688,0.048484215,0.046298141,0.153730033,0.139524748,0.068923195,0.07841126,0.15125126,0.253927163,0.069532686,0.065746103,0.027363521,0.020362628,-0.022917263,-0.028716248,0.025413904,0.01934218,-0.022492379,-0.021489219,0.158514123,0.143002493,0.119928976,0.136484667,0.155667023,0.427464294,0.121214027,0.113545409,-0.025471632,-0.012419873,-0.008509756,-0.016063787,-0.021453529,-0.482223007,-0.007609534,-0.005276142,0.008191144,0.007782119,0.007644501,0.008384516,0.00817639,0.008102013,0.007782119,0.007350836,0.149663899,0.14177385,0.14405957,0.15824776,0.149253867,0.173930126,0.146635652,0.13834615,-0.023802011,-0.028776461,0.032470288,0.011456944,-0.025837764,-0.248686337,0.038864674,0.034341614,0.688481572,0.627559318,0.176094759,0.200726484,0.678288006,0.665352247,0.177191689,0.169248067,0.378628799,0.338902193,0.063439346,0.073090568,0.370924468,0.469729227,0.063688555,0.060724518,-0.010133954,-0.011619827,0.027571669,0.01887648,-0.010787523,-0.119871277,0.030805781,0.02796316,-0.012165201,-0.012777763,0.312528894,0.292210989,-0.012554786,-0.414369594,0.330713374,0.305626789,-0.099684289,-0.097611356,0.055635655,0.052237104,-0.100485348,0.055545845,0.059750409,0.051025601,-0.040580014,-0.028788282,-0.011067819,-0.015297787,-0.037214056,-0.34444816,-0.01081304,-0.009133029,-0.345419994,-0.355925428,0.938477407,0.877037796,-0.354159666,-0.381888986,0.996504696,0.905841093,0.019203116,0.018402756,0.046146139,0.049635255,0.01922204,0.048321955,0.047312126,0.044139049,-0.065977507,-0.057374754,0.006073911,0.006731194,-0.064069566,-0.115516524,0.006581625,0.004335385,0.07870984,0.077173954,0.196538453,0.206809682,0.079375756,0.064019421,0.202416964,0.189271874,0.175199575,0.163371166,0.092441871,0.103422111,0.173845092,0.162732525,0.093539875,0.088908028
42625.42075,0.524694172,0.391147963,0.487096259,0.538047204,0.490150502,0.411289472,0.391147963,0.369344017,0.642209768,0.142622246,0.577893591,0.671554078,0.702544213,0.156531039,0.142622246,0.135442576,-0.220118998,0.033358086,-0.240189786,-0.204563276,-0.198094692,-0.058770715,0.033358086,0.025828483,0.137501697,0.048557164,0.125651555,0.141685151,0.111995947,0.052365339,0.048557164,0.045793413,0.152438908,0.069193198,0.137426016,0.161119605,0.258030685,0.075538679,0.069193198,0.066422123,0.026438966,-0.022150246,0.020492666,0.031129841,0.022380673,-0.027464904,-0.022150246,-0.022047764,0.156032239,0.120013576,0.140014305,0.167276827,0.432093466,0.131417145,0.120013576,0.116764283,-0.021130697,-0.005626805,-0.011041689,-0.034182836,-0.487693516,-0.014847646,-0.005626805,-0.010830483,0.008191144,0.007782119,0.007644501,0.008384516,0.00817639,0.008102013,0.007782119,0.007350836,0.149457812,0.146510962,0.139178098,0.153518514,0.17546558,0.152885897,0.146510962,0.138725297,-0.024660485,0.040761674,-0.027592938,-0.021051557,-0.244512851,0.012942172,0.040761674,0.031956144,0.688812766,0.177236331,0.623019667,0.716346759,0.67934369,0.193443361,0.177236331,0.167844121,0.376928001,0.06353805,0.336275502,0.397966976,0.48068958,0.070369208,0.06353805,0.060650364,-0.010408307,0.031686437,-0.011193477,-0.009304668,-0.118289766,0.019119536,0.031686437,0.026880508,-0.012296741,0.33366769,-0.01238343,-0.011821973,-0.41116223,0.286175478,0.33366769,0.30405262,-0.09713255,0.05786633,-0.092886802,-0.102423925,0.051579518,0.050885743,0.05786633,0.05881282,-0.036751622,-0.009778717,-0.027110414,-0.048412404,-0.349937104,-0.014454657,-0.009778717,-0.012088793,-0.345558832,0.996870922,-0.343213882,-0.341113186,-0.376221696,0.858060042,0.996870922,0.929783141,0.019097342,0.047131569,0.017944044,0.019655469,0.048362933,0.048011458,0.047131569,0.044907832,-0.06124497,0.005508445,-0.053320781,-0.073018532,-0.122676332,0.006386288,0.005508445,0.007932462,0.078756443,0.202500192,0.075286947,0.079470064,0.064056248,0.2004559,0.202500192,0.190439141,0.175332333,0.093579863,0.161328593,0.180620796,0.165176512,0.099801164,0.093579863,0.088437751
11225.59642,0.528432559,0.38936077,0.383438382,0.542963799,0.529434885,0.488238727,0.38936077,0.370425696,0.667503996,0.140117506,0.139363069,0.694035472,0.675315679,0.71456397,0.140117506,0.136247399,-0.177056116,0.065368194,0.043669791,-0.161500394,-0.159522601,-0.167017996,0.065368194,0.01272271,0.141432505,0.047742794,0.047331115,0.146965805,0.14327579,0.113196916,0.047742794,0.046298141,0.156376922,0.068897221,0.06828773,0.160565692,0.155916862,0.259412506,0.068897221,0.065746103,0.03014618,-0.021552176,-0.021977061,0.031620455,0.030318824,0.028196095,-0.021552176,-0.021489219,0.15902055,0.120990372,0.119705321,0.161630465,0.156559689,0.429646189,0.120990372,0.113545409,-0.024964252,-0.007821133,-0.008721354,-0.022913934,-0.020559184,-0.485452943,-0.007821133,-0.005276142,0.008191144,0.007782119,0.007644501,0.008384516,0.00817639,0.008102013,0.007782119,0.007350836,0.149507857,0.146721855,0.144145773,0.152851567,0.148978816,0.173740624,0.146721855,0.13834615,-0.02035698,0.04581544,0.039421054,-0.019734751,-0.019765298,-0.22870516,0.04581544,0.034341614,0.713900085,0.174063319,0.172966389,0.742586329,0.723092558,0.689749766,0.174063319,0.169248067,0.393416849,0.062493722,0.062244513,0.408538612,0.396990979,0.490303904,0.062493722,0.060724518,-0.009012337,0.034093083,0.030858972,-0.008863196,-0.008810478,-0.11157131,0.034093083,0.02796316,-0.011382347,0.346767198,0.328582718,-0.011365218,-0.01117487,-0.392671257,0.346767198,0.305626789,-0.090295205,0.06608014,0.061965386,-0.086708874,-0.083935453,0.041692922,0.06608014,0.051025601,-0.039555799,-0.011065696,-0.011320475,-0.037897302,-0.035408699,-0.351649349,-0.011065696,-0.009133029,-0.320115995,1.057448486,0.999421196,-0.316153377,-0.309556964,-0.353500527,1.057448486,0.905841093,0.018778649,0.047973702,0.046807715,0.01896878,0.018473843,0.047075938,0.047973702,0.044139049,-0.058456106,0.008138939,0.007631225,-0.053764794,-0.050811788,-0.134392627,0.008138939,0.004335385,0.07661767,0.205828531,0.19995002,0.077493427,0.075687942,0.062314592,0.205828531,0.189271874,0.178396692,0.092660591,0.091562587,0.184147032,0.179480567,0.165672845,0.092660591,0.088908028
11655.51288,0.414868935,0.390998934,0.486899328,0.538886757,0.525783016,0.484492256,0.390998934,0.368522072,0.157181275,0.142716224,0.578363741,0.669549743,0.653383432,0.687482295,0.142716224,0.133227566,-0.044717347,0.033358086,-0.240189786,-0.204563276,-0.198094692,-0.210080878,0.033358086,0.049919971,0.052506521,0.048484215,0.125425936,0.142647008,0.139407376,0.109931688,0.048484215,0.045436575,0.076517233,0.069532686,0.138176817,0.157918803,0.153546003,0.253927163,0.069532686,0.065007663,-0.027778073,-0.022492379,0.021030303,0.028837796,0.027826353,0.01934218,-0.022492379,-0.02039666,0.134313803,0.121214027,0.141457544,0.161124038,0.156106075,0.427464294,0.121214027,0.113285511,-0.017674227,-0.007609534,-0.013565982,-0.023421314,-0.021013652,-0.482223007,-0.007609534,-0.005522029,0.008191144,0.007782119,0.007644501,0.008384516,0.00817639,0.008102013,0.007782119,0.007350836,0.154768769,0.146635652,0.139297939,0.153007609,0.149118585,0.173930126,0.146635652,0.138446322,0.013821414,0.038864674,-0.027093728,-0.023179782,-0.022851065,-0.248686337,0.038864674,0.042418733,0.194077037,0.177191689,0.622827074,0.717167815,0.700324802,0.665352247,0.177191689,0.165612754,0.070789431,0.063688555,0.337264532,0.393750562,0.383745094,0.469729227,0.063688555,0.059336066,0.019699735,0.030805781,-0.011033937,-0.009984813,-0.009815127,-0.119871277,0.030805781,0.031783161,0.292872561,0.330713374,-0.012306938,-0.012148071,-0.011876084,-0.414369594,0.330713374,0.324282093,0.056790719,0.059750409,-0.094370663,-0.096097958,-0.092345401,0.055545845,0.059750409,0.058381048,-0.016068332,-0.01081304,-0.029336659,-0.038921517,-0.036326104,-0.34444816,-0.01081304,-0.009426628,0.895012696,0.996504696,-0.343133146,-0.341457376,-0.332222148,-0.381888986,0.996504696,0.976660664,0.049077128,0.047312126,0.018005552,0.019393247,0.018854045,0.048321955,0.047312126,0.044907832,0.008560625,0.006581625,-0.056072795,-0.061286195,-0.057548823,-0.115516524,0.006581625,0.006145059,0.2041201,0.202416964,0.075259846,0.079585598,0.077561931,0.064019421,0.202416964,0.193236277,0.10044354,0.093539875,0.161251393,0.180949914,0.17661686,0.162732525,0.093539875,0.087886258
