Mag,nega_1,nega_2,nega_3,nega_4,nega_5,nega_6,nega_7,nega_8,aff_1,aff_2,aff_3,aff_4,aff_5,aff_6,aff_7,aff_8,val_1,val_2,val_3,val_4,val_5,val_6,val_7,val_8,ioni1_1,ioni1_2,ioni1_3,ioni1_4,ioni1_5,ioni1_6,ioni1_7,ioni1_8,ioni2_1,ioni2_2,ioni2_3,ioni2_4,ioni2_5,ioni2_6,ioni2_7,ioni2_8,radius_1,radius_2,radius_3,radius_4,radius_5,radius_6,radius_7,radius_8,redox_1,redox_2,redox_3,redox_4,redox_5,redox_6,redox_7,redox_8,TC_1,TC_2,TC_3,TC_4,TC_5,TC_6,TC_7,TC_8,HF_1,HF_2,HF_3,HF_4,HF_5,HF_6,HF_7,HF_8,resis_1,resis_2,resis_3,resis_4,resis_5,resis_6,resis_7,resis_8,iradius_1,iradius_2,iradius_3,iradius_4,iradius_5,iradius_6,iradius_7,iradius_8,oxir_1,oxir_2,oxir_3,oxir_4,oxir_5,oxir_6,oxir_7,oxir_8,hyden_1,hyden_2,hyden_3,hyden_4,hyden_5,hyden_6,hyden_7,hyden_8,ioni3_1,ioni3_2,ioni3_3,ioni3_4,ioni3_5,ioni3_6,ioni3_7,ioni3_8,ioni4_1,ioni4_2,ioni4_3,ioni4_4,ioni4_5,ioni4_6,ioni4_7,ioni4_8,ioni5_1,ioni5_2,ioni5_3,ioni5_4,ioni5_5,ioni5_6,ioni5_7,ioni5_8,EC_1,EC_2,EC_3,EC_4,EC_5,EC_6,EC_7,EC_8,NC_1,NC_2,NC_3,NC_4,NC_5,NC_6,NC_7,NC_8,NM_1,NM_2,NM_3,NM_4,NM_5,NM_6,NM_7,NM_8,SH_1,SH_2,SH_3,SH_4,SH_5,SH_6,SH_7,SH_8,LCx_1,LCx_2,LCx_3,LCx_4,LCx_5,LCx_6,LCx_7,LCx_8,LCz_1,LCz_2,LCz_3,LCz_4,LCz_5,LCz_6,LCz_7,LCz_8
2.182375,0.333208114,0.322064831,0.239796403,0.255267706,0.304114025,0.250141951,0.242235489,0.230753838,-0.23513934,-0.235833696,-0.048972007,-0.047525218,-0.255560942,-0.048737723,-0.049262549,-0.046096038,-0.195051445,-0.190745917,0.286753776,0.286090187,-0.195650054,0.287445829,0.294075312,0.274347037,0.088932197,0.086082729,0.026989637,0.02885623,0.066330175,0.028256153,0.027192266,0.025954317,0.051717497,0.048365412,0.021145091,0.024211368,0.110961864,0.022896819,0.021330446,0.020713029,-0.111980935,-0.110442733,0.070445541,0.071569568,-0.34872147,0.071790135,0.071010498,0.066996773,0.047999606,0.043860047,0.035928045,0.042605791,0.223125254,0.039538383,0.036295747,0.035585341,0.072888933,0.074746486,0.057861952,0.054535756,-0.416826952,0.057005169,0.058477191,0.054060224,0.008479839,0.008229492,0.008150735,0.008587913,0.008425946,0.008457745,0.008224481,0.007821705,0.138859259,0.134498087,0.138637836,0.146601903,0.168006005,0.144100079,0.139932477,0.133181164,6.58899015,6.438147187,-24.29348034,-25.26194693,37.88063681,-25.05826146,-24.43629848,-23.20781085,-1181.99814,-1155.057512,-265.9141137,-276.4292193,-1124.367985,-274.2379888,-267.4952961,-254.019969,2011.59959,1965.736385,297.0883936,308.8422044,2773.707231,306.3912374,298.854971,283.8010612,-0.075150255,-0.073622537,0.405606344,0.418340843,-0.548555428,0.416449568,0.408831547,0.387110103,-0.005160412,-0.005090358,0.20466529,0.20304724,-0.137937784,0.205023574,0.210214094,0.195400423,0.134256404,0.133500936,-0.163935133,-0.166702794,-0.189569768,-0.167811657,-0.163942465,-0.155158767,0.072140369,0.073703185,0.033699218,0.032057715,-0.460259065,0.033354561,0.033994356,0.031526366,0.00959548,0.010690777,-0.009922789,-0.020448276,0.008712184,-0.020292231,0.003803198,-0.004640359,0.035569478,0.03455948,0.10109534,0.10604239,0.104158405,0.104643294,0.101933752,0.096902388,0.144235146,0.144778884,-0.054862471,-0.054520483,-0.339279376,-0.055502988,-0.055079217,-0.051728447,0.088293911,0.085850441,0.26356373,0.275407945,0.071486701,0.272144487,0.266389469,0.252678421,0.321084005,0.312522913,0.159903448,0.167838829,0.292776812,0.165712575,0.161013539,0.153147457
0.928875,0.078547534,0.072346386,-0.355807822,0.174276627,0.171693642,0.169693595,0.15803808,0.159652534,0.300141071,0.299160798,0.431341998,-0.099774788,-0.097643882,-0.099524739,-0.098188531,-0.091434353,0.069056166,0.065847193,0.467067899,0.503049954,0.49445673,0.48849818,0.474389435,0.452448895,0.020786191,0.020574842,0.12841986,0.025952628,0.025424936,0.025588169,0.025402425,0.023468634,6.21E-06,8.50E-06,0.126864442,-0.005606923,-0.005298904,-0.005987515,-0.007997266,-0.004698167,0.446793284,0.441271812,0.874368235,0.101017522,0.098955996,0.100147877,0.09851048,0.092155298,0.000244028,0.000488797,0.057043264,-0.001898453,-0.001590719,-0.002668856,-0.005199526,-0.001447709,0.143824094,0.141364974,0.331052823,0.088466904,0.086704443,0.087431188,0.085866415,0.080521513,0.008479839,0.008229492,0.008150735,0.008587913,0.008425946,0.008457745,0.008224481,0.007821705,0.089715169,0.08253435,-0.419234725,0.106867393,0.105275852,0.104549774,0.096594779,0.098618802,-56.37482952,-55.09612715,-8.911389295,-25.13473499,-24.6908601,-24.93795788,-24.32792775,-23.10022948,527.3236194,515.3075952,1226.185112,-276.4910889,-271.5951448,-274.298385,-267.5541986,-254.0738409,-1661.588873,-1623.702037,-3649.561961,308.8120067,303.3444557,306.3619075,298.8263625,283.7749656,1.478971889,1.443430633,0.418826306,0.495817382,0.486166276,0.490688925,0.477253175,0.453596721,0.000991725,0.000935757,0.289961529,0.306838939,0.30190931,0.295457916,0.28686429,0.273841811,0.292479089,0.296054219,0.608640753,-0.216625243,-0.211682403,-0.217449009,-0.2167339,-0.198865061,0.188056783,0.185584611,0.369336356,0.05108334,0.050044765,0.05062238,0.049775338,0.046590895,-0.002447038,0.012343661,-0.004134022,0.064480357,0.068234277,0.03368355,0.01321496,0.040355357,0.163657306,0.153874501,-0.555131107,0.092152837,0.090621466,0.090753742,0.085156147,0.085079865,0.240318461,0.240754629,0.590850613,-0.075392533,-0.073753973,-0.075194829,-0.074627334,-0.068918391,0.181376182,0.169225789,-0.656063313,0.242948657,0.239091486,0.237838273,0.223041783,0.223108361,0.455885108,0.4362469,-0.968945423,0.149908016,0.147211245,0.148145909,0.141162304,0.138049504
5.878125,-0.027201259,0.175590598,-0.024350855,-0.029726398,0.167302876,0.163251832,0.175844473,0.178791277,0.449759699,0.630118128,0.431668453,0.456263748,0.643996798,0.64599068,0.629768091,0.600004177,0.061384775,0.429976838,0.058424355,0.062868777,0.435089444,0.434798449,0.429863971,0.413583883,0.034103888,0.204381723,0.032485264,0.034896665,0.207005494,0.206940541,0.204322477,0.196405006,7.70E-05,0.766536426,7.27E-05,7.96E-05,0.768698676,0.765545114,0.766536208,0.743942327,0.616956984,1.18923631,0.59125826,0.626949603,1.213230248,1.21615973,1.18863927,1.1344993,0.006960873,0.457892008,0.006581019,0.007182747,0.459824163,0.458183131,0.457873359,0.443784508,0.189640661,0.43243411,0.18158674,0.192899891,0.440706073,0.441599697,0.432230103,0.412962281,0.008479839,0.008229492,0.008150735,0.008587913,0.008425946,0.008457745,0.008224481,0.007821705,-0.049077693,0.329886892,-0.044368619,-0.053107166,0.31695849,0.310348955,0.330287472,0.333380468,-56.41746821,-8.979801655,-54.7641034,-56.9213114,-9.103302189,-9.19505809,-8.971413913,-8.520275599,527.4650592,1234.933645,511.9133367,532.1703391,1252.438521,1264.89268,1233.787013,1171.641674,-1661.376123,-3674.234371,-1612.413026,-1676.183266,-3726.298465,-3763.381124,-3670.821234,-3485.902794,1.522945709,0.432391668,1.468280357,1.536965351,0.444383726,0.44668744,0.432080106,0.409373146,0.000831823,0.25637674,0.00078566,0.000859271,0.257178014,0.256152863,0.25637441,0.24874542,0.537544959,1.064711698,0.515084556,0.546335741,1.086016047,1.08857163,1.064182297,1.015875171,0.257087711,0.497861055,0.246373329,0.261258523,0.50789177,0.509112827,0.497611518,0.474959429,0.219240907,-0.076703426,0.212214162,0.220236151,-0.079230241,-0.079790311,-0.076636607,-0.072239088,-0.009833991,0.090550344,-0.005377765,-0.014905117,0.071929829,0.064403558,0.091096038,0.105883171,0.403774933,0.956637127,0.386549905,0.410807763,0.974703108,0.976591551,0.956192566,0.913783828,-0.020264742,0.137247718,-0.015572397,-0.025264033,0.119318439,0.111812101,0.137777222,0.150670511,0.186692092,-0.373713247,0.186966777,0.179943214,-0.40541375,-0.415490853,-0.372827128,-0.333470644
6.240875,-0.008466882,-0.004811639,-0.003031661,0.063218928,-0.009876953,0.060933311,0.059408874,0.070934887,0.443121021,0.428832204,0.424113825,0.646372351,0.440823489,0.63645143,0.618912693,0.589948627,0.055350588,0.052619677,0.05155762,0.399157204,0.05547031,0.392559138,0.381796822,0.369058419,0.031024034,0.029548308,0.028980478,0.191593958,0.031067516,0.188450058,0.183280827,0.176913747,6.34E-05,5.91E-05,5.72E-05,0.644731182,6.41E-05,0.633242505,0.61597956,0.604478995,0.598642553,0.577640061,0.570416953,1.19875896,0.596268928,1.180121656,1.147628955,1.096510708,0.005815737,0.005435894,0.005277885,0.391291651,0.005868255,0.384403628,0.373914359,0.366011776,0.182397043,0.175695544,0.173343707,0.431542075,0.18180382,0.424782958,0.413093127,0.395235355,0.008479839,0.008229492,0.008150735,0.008587913,0.008425946,0.008457745,0.008224481,0.007821705,-0.019804054,-0.013898424,-0.011056041,0.144179967,-0.021965597,0.139781808,0.136186856,0.153581576,-56.35519539,-55.0707651,-54.69323869,-9.256438178,-55.85129232,-9.184920655,-8.959877797,-8.509589487,527.452184,515.4233672,511.898685,1274.982351,522.7341549,1264.861833,1233.75191,1171.609157,-1661.397192,-1623.529653,-1612.437001,-3793.513588,-1646.527315,-3763.428805,-3670.875494,-3485.953056,1.569298484,1.531393923,1.521028511,0.467285103,1.555702801,0.460380027,0.447661885,0.423806828,0.000686939,0.000640324,0.000620787,0.216388578,0.000693895,0.212542984,0.206747594,0.202775208,0.520862322,0.502452718,0.496100185,1.071533121,0.518855526,1.054854307,1.025812931,0.980332937,0.249397044,0.240636266,0.237621567,0.501712099,0.248412932,0.493910347,0.480311523,0.458934133,0.234711399,0.230594098,0.229819147,-0.086735466,0.232010836,-0.085494809,-0.083128164,-0.078252335,0.032698876,0.039464558,0.043023441,-0.105375506,0.029167588,-0.105988847,-0.102805727,-0.073731521,0.387548788,0.373157934,0.368085008,0.95241928,0.3863536,0.937475858,0.911680009,0.872551045,0.02050712,0.027312644,0.030824835,-0.060717464,0.01719092,-0.062052742,-0.06007608,-0.032604561,0.265193103,0.271632723,0.276298719,-0.609066373,0.257373682,-0.602257621,-0.585362459,-0.530345943
4.230125,0.083601732,0.217925218,0.081088859,0.084604296,0.082954367,0.083396768,0.081772975,0.077496437,0.366468616,-0.623079256,0.345461304,0.371722595,0.365215354,0.365394494,0.349046437,0.334473568,0.020925466,-0.087425903,0.019170609,0.021273223,0.020941964,0.020854371,0.019407906,0.018807734,0.017921023,0.051683664,0.017406476,0.01813386,0.017778428,0.01787751,0.017551709,0.01662491,-6.70E-06,0.043187072,-7.44E-06,-6.70E-06,-6.50E-06,-6.70E-06,-7.44E-06,-6.70E-06,0.470991659,-0.494787241,0.446417495,0.477535651,0.468996442,0.469653807,0.450882889,0.431140843,-0.000782531,0.087196408,-0.000940739,-0.000776289,-0.000747655,-0.000783808,-0.000936479,-0.000820548,0.114331199,-0.473718976,0.104799006,0.116226448,0.11441248,0.113943735,0.106092259,0.102789738,0.008479839,0.008229492,0.008150735,0.008587913,0.008425946,0.008457745,0.008224481,0.007821705,0.117986898,0.157103415,0.113651233,0.119469683,0.117198427,0.117683758,0.114663034,0.108957212,-56.1968579,37.08403854,-54.5774787,-56.68897505,-55.68600973,-56.255058,-54.89513528,-52.1201206,527.361656,-1108.962323,511.8106378,532.0645114,522.6439164,527.8414814,514.8550082,488.9220568,-1661.542371,2734.631845,-1612.577797,-1676.353481,-1646.672109,-1663.058376,-1622.165143,-1540.448237,1.684470464,-0.712310441,1.604214014,1.707218383,1.676124578,1.679819886,1.619736408,1.545942915,-9.42E-05,0.02918921,-0.000106493,-9.41E-05,-9.11E-05,-9.43E-05,-0.000106379,-9.53E-05,0.410915775,-0.337844999,0.390172327,0.416565199,0.409064649,0.409760809,0.394027299,0.376512596,0.171279047,-0.60481771,0.158355016,0.174001698,0.171185775,0.170722429,0.160212859,0.154698972,0.304810487,0.249124648,0.292706168,0.308718841,0.30291679,0.304011464,0.295373095,0.281009859,0.226558537,0.121769437,0.217179426,0.229496396,0.225211611,0.225957922,0.21918412,0.208667915,0.275251368,-0.510997347,0.259109997,0.279228797,0.274367609,0.274438224,0.261824057,0.2510301,0.204812489,0.068419305,0.196075179,0.207490584,0.203635828,0.20426498,0.197902619,0.188503747,0.62004954,0.347397979,0.594467141,0.628082487,0.616349527,0.618407287,0.599948546,0.571131466
0.159875,0.090406706,0.087461845,0.230771431,0.263507841,0.090477549,0.090201742,0.087415361,0.082511179,0.314700368,0.306366075,-0.536209444,-0.522500283,0.307983401,0.313626246,0.306122473,0.297369118,0.013254076,0.01306325,-0.054354892,-0.061388606,0.012460923,0.01318298,0.013047126,0.01325559,0.020121316,0.019385964,0.056494409,0.078957538,0.020210944,0.020077804,0.019376096,0.018294067,-1.06E-05,-1.07E-05,0.057985261,0.024805757,-1.08E-05,-1.06E-05,-1.07E-05,-9.10E-06,0.438394726,0.424158353,-0.458887677,-0.15588503,0.432959177,0.437056874,0.42385494,0.409512355,-0.001156327,-0.001246125,0.107907453,0.018566075,-0.001160902,-0.001157604,-0.001246414,-0.00096873,0.112781303,0.104895027,-0.460521252,0.088961242,0.112699006,0.112393839,0.104807153,0.105874873,0.008479839,0.008229492,0.008150735,0.008587913,0.008425946,0.008457745,0.008224481,0.007821705,0.118655452,0.11528612,0.156385994,0.135000861,0.117937541,0.118352312,0.11521737,0.109302742,-56.30241623,-55.03418433,36.89408386,6.606134089,-55.80270886,-56.36061633,-54.98265963,-52.19095469,527.3236387,515.3020723,-1101.313191,-1192.802662,522.6018867,527.8034641,514.8234859,488.8944306,-1661.589244,-1623.712138,2716.010185,2029.336538,-1646.723929,-1663.105249,-1622.204008,-1540.481102,1.59577281,1.547246911,-0.671941328,-0.097046681,1.578065632,1.591122232,1.546192199,1.485163631,-9.95E-05,-0.000110735,0.030130475,0.000758996,-9.69E-05,-9.95E-05,-0.000110742,-8.60E-05,0.402517016,0.387325352,-0.328106877,0.242258123,0.399779471,0.401362049,0.387063415,0.373662263,0.16710962,0.156881989,-0.582495816,0.098673481,0.1665763,0.166553002,0.156755753,0.156625698,0.3012578,0.292608574,0.24423161,0.229255659,0.298989147,0.300458777,0.292427363,0.278299629,0.217811445,0.212067628,0.11652515,0.04169586,0.215541336,0.21721083,0.211931414,0.201918132,0.272500883,0.259727889,-0.500444411,0.22409067,0.271326833,0.271687738,0.259543475,0.253431836,0.199175548,0.193352885,0.066111254,0.085877666,0.197403956,0.198628039,0.193228715,0.184506176,0.609196332,0.59132199,0.338757885,0.389223314,0.604350854,0.607554079,0.590949541,0.563434654
2.903625,0.101567475,0.09850428,0.281897981,0.270948051,0.101241124,0.219275008,0.214378159,0.2028306,0.245518852,0.240152158,-0.379603678,-0.448247597,0.240090934,-0.081182213,-0.078373014,-0.075798554,0.033647027,0.032841464,-0.149202781,-0.163353363,0.032337365,0.240634212,0.243349326,0.241142478,0.020480585,0.019920977,0.077390366,0.060369298,0.020463152,0.025211518,0.024596555,0.023071794,-1.61E-05,-1.49E-05,0.03444347,0.07943832,-1.67E-05,0.01612446,0.015220725,0.01433864,0.385696546,0.377824726,-0.130148056,-0.43286997,0.37908809,0.08635184,0.084183719,0.080407331,-0.002191403,-0.001952382,0.030849985,0.161351705,-0.002326025,0.028295907,0.025838315,0.024928834,0.098752771,0.101522408,0.077784761,-0.462780625,0.093652918,0.059903846,0.061532539,0.057517345,0.008479839,0.008229492,0.008150735,0.008587913,0.008425946,0.008457745,0.008224481,0.007821705,0.121315117,0.117529119,0.13081044,0.167884031,0.120706518,0.141460236,0.137470577,0.130789541,-56.45173673,-55.16547084,6.374116827,38.42242612,-55.95535279,-24.97194014,-24.35856798,-23.12800551,527.2764463,515.2560318,-1147.301665,-1144.789759,522.5560318,-274.2738691,-267.5274011,-254.0528158,-1661.657712,-1623.775966,1952.203309,2823.542982,-1646.792014,306.3745883,298.8399809,283.7858085,1.442198104,1.406609387,-0.08314075,-0.646847763,1.42401866,0.478401316,0.464949707,0.443704687,0.000354931,0.000361846,-0.002585898,-0.069830542,0.000329267,0.109241274,0.119036322,0.115583939,0.300310987,0.29605285,0.174915737,-0.262967315,0.296039101,-0.223372249,-0.216732864,-0.203938594,0.13969964,0.142325164,0.081719841,-0.548106482,0.133545818,0.037513415,0.038048289,0.035654296,0.132851434,0.128940678,0.099275168,0.115170703,0.135025664,-0.428308428,-0.384918779,-0.352348899,0.205807528,0.199406116,0.0371919,0.11607908,0.204376716,0.114285461,0.110575637,0.105602574,0.214200296,0.213869061,0.172372962,-0.428940091,0.208893062,-0.066925441,-0.066114975,-0.062008655,0.207233311,0.201367568,0.084503583,0.072738517,0.205152717,0.271786988,0.265241832,0.253312858,0.55615213,0.540261511,0.337611071,0.326953129,0.552448149,0.18099664,0.175240867,0.166573852
6.77475,0.087128224,0.186968214,0.226246566,0.088130788,0.086375567,0.08692326,0.085685266,0.080395284,0.345073494,-0.107133452,-0.571862486,0.350327473,0.344459036,0.343999372,0.32531068,0.31889796,0.027286247,0.198936728,-0.121442058,0.027634004,0.027112828,0.027215151,0.026464559,0.025977151,0.018071858,0.02190706,0.051718925,0.018284696,0.01792476,0.018028345,0.017719046,0.016620515,-8.17E-06,0.009449638,0.05061526,-8.17E-06,-7.92E-06,-8.17E-06,-9.07E-06,-7.32E-06,0.455547117,0.09694874,-0.47005806,0.462091108,0.454013035,0.454209265,0.433748707,0.421095762,-0.001043529,0.016595916,0.106565032,-0.001037287,-0.00100086,-0.001044806,-0.001226031,-0.000919792,0.112082264,0.062907113,-0.454532483,0.113977513,0.112230693,0.1116948,0.10359729,0.104911044,0.008479839,0.008229492,0.008150735,0.008587913,0.008425946,0.008457745,0.008224481,0.007821705,0.118746544,0.135267819,0.156779208,0.120229329,0.117935391,0.118443403,0.115505785,0.109508052,-56.24062007,-24.30610306,36.86779869,-56.73273722,-55.72846528,-56.29882017,-54.94368505,-52.14719252,527.3468799,-267.8079125,-1101.34575,532.0497353,522.6295815,527.8267053,514.8386156,488.9111768,-1661.563192,299.1031322,2715.983631,-1676.374302,-1646.692308,-1663.079197,-1622.188241,-1540.463057,1.638295447,0.519752035,-0.681938328,1.661043366,1.631328231,1.633644868,1.568509826,1.512532823,5.41E-05,0.030249877,-0.005326097,5.43E-05,5.28E-05,5.41E-05,5.82E-05,6.68E-05,0.380668604,-0.265848366,-0.304736753,0.386318027,0.379720583,0.379513637,0.360471075,0.350378975,0.165229111,0.041146364,-0.569143771,0.167951762,0.165316475,0.164672493,0.153501057,0.154032868,0.25221247,-0.755208268,0.19743969,0.256120824,0.251889218,0.251413447,0.237020834,0.228647344,0.222602516,0.119319242,0.118124011,0.225540375,0.221373706,0.222001901,0.214795308,0.205214816,0.259287293,-0.075807579,-0.469004034,0.263264722,0.258880181,0.258474148,0.244113506,0.239748343,0.207367319,0.264739926,0.068726807,0.210045414,0.206114378,0.20681981,0.200736949,0.191734911,0.603584441,0.189055669,0.333366933,0.611617387,0.600376035,0.601942187,0.581682158,0.55596856
0.70675,0.345872191,0.335327072,0.331971694,0.264308608,0.258781237,0.34446242,0.307454551,0.238913863,-0.161688393,-0.153837618,-0.151974864,-0.034305694,-0.034461445,-0.16284335,-0.168079006,-0.033151303,-0.0645699,-0.047713696,-0.042403408,0.11932344,0.12423577,-0.061595782,-0.047633077,0.114898277,0.102374038,0.100107232,0.099442922,0.032966764,0.032163536,0.102160837,0.075127664,0.029647484,0.058553682,0.058222749,0.057812873,0.026368515,0.025645208,0.058287933,0.125493803,0.023878406,-0.104397222,-0.100437027,-0.099441574,0.06783378,0.066896741,-0.104373734,-0.31391465,0.062313436,0.047258226,0.047590813,0.047153169,0.039692124,0.038688095,0.046949247,0.224379796,0.036699413,0.078406905,0.072848491,0.071996877,0.062375026,0.061394611,0.078249608,-0.413383319,0.055114239,0.008479839,0.008229492,0.008150735,0.008587913,0.008425946,0.008457745,0.008224481,0.007821705,0.13819747,0.134149915,0.132828435,0.145729133,0.142971026,0.137786937,0.163274177,0.132751771,6.59864146,6.450298395,6.40672343,-25.29171354,-24.84226206,6.604989931,37.38597774,-23.24243401,-1181.920817,-1154.973358,-1147.079008,-276.4127694,-271.5195485,-1182.999326,-1107.551793,-254.004386,2011.642838,1965.786907,1952.352338,308.8479179,303.379134,2013.475927,2732.472137,283.8070129,-0.072003309,-0.069670649,-0.069022529,0.404206883,0.397808133,-0.071951938,-0.511422183,0.37073539,-0.002908968,-0.00238155,-0.002237824,0.129447905,0.130519191,-0.00281622,-0.059420385,0.115433108,0.165045473,0.162580185,0.162418389,-0.206081212,-0.201263917,0.165840953,-0.23284286,-0.186688425,0.078754366,0.073944925,0.073236022,0.036888414,0.036277257,0.078720242,-0.470750405,0.032784899,0.086139881,0.094851944,0.097741468,-0.336709809,-0.3185316,0.08879844,0.106542424,-0.30821359,0.034186339,0.033236935,0.032925416,0.101982207,0.100247673,0.03413406,0.098051442,0.093606945,0.171364863,0.165854522,0.165148982,-0.066280234,-0.064858378,0.171771867,-0.394402191,-0.059485743,0.081997321,0.078862884,0.077889709,0.257917101,0.25385266,0.081673329,0.064150446,0.235684719,0.330893084,0.323032468,0.320653777,0.172555606,0.169190336,0.330711827,0.296648712,0.157527346
0.89175,0.340368047,0.328027058,0.244308359,0.260957395,0.338422354,0.31109118,0.246747444,0.235060993,-0.191273441,-0.199522951,-0.041713869,-0.038928004,-0.190544717,-0.211726028,-0.042004411,-0.039540635,-0.118337544,-0.12713811,0.197702847,0.178690726,-0.122202086,-0.115363427,0.205024383,0.1926283,0.096507788,0.09239332,0.029030041,0.031438478,0.09569545,0.072441596,0.02923267,0.02790832,0.056825719,0.052503613,0.023016253,0.02590298,0.056071797,0.12051499,0.023201608,0.022050381,-0.106742412,-0.106168863,0.067725805,0.06885894,-0.106274293,-0.335930303,0.068290763,0.064883675,0.049657131,0.045047332,0.0369156,0.04179862,0.048834244,0.225806436,0.037283302,0.035148785,0.072471646,0.074727669,0.057847172,0.057818277,0.07302088,-0.426248553,0.058462411,0.056264499,0.008479839,0.008229492,0.008150735,0.008587913,0.008425946,0.008457745,0.008224481,0.007821705,0.138644003,0.134304073,0.138435972,0.146150894,0.137758263,0.168183725,0.139730613,0.132856445,6.595388536,6.443387745,-24.31339446,-25.28280661,6.53569955,38.29621852,-24.4562126,-23.22396336,-1181.952959,-1155.020025,-265.9054242,-276.4186652,-1171.377011,-1135.512604,-267.4866067,-254.0119451,2011.626452,1965.758529,297.0917633,308.846018,1993.624678,2801.337932,298.8583408,283.8039852,-0.073068664,-0.071917251,0.396193165,0.408454016,-0.072638114,-0.537822832,0.399418367,0.379457061,-0.003725772,-0.003910731,0.159105008,0.153017073,-0.003843763,-0.096197692,0.164653812,0.156896077,0.150205869,0.146917861,-0.180970793,-0.190384713,0.148423813,-0.218146099,-0.180978126,-0.172899252,0.072799783,0.074538491,0.034087305,0.034247446,0.073098008,-0.478396856,0.034382443,0.033039471,0.054715269,0.048091665,-0.179577607,-0.224450085,0.050710471,0.064559676,-0.16585162,-0.159916645,0.034845508,0.033951223,0.099309812,0.103588416,0.034595854,0.102518091,0.100148224,0.095061908,0.156193726,0.15505111,-0.058868243,-0.061137983,0.155298189,-0.378358092,-0.059084988,-0.05660483,0.084552654,0.082751867,0.254047545,0.264069532,0.084231957,0.068587821,0.256873283,0.244038869,0.32673907,0.317221851,0.162337412,0.170840863,0.324004178,0.300177498,0.163447504,0.155425746
