Mag,nega_1,nega_2,nega_3,nega_4,nega_5,nega_6,nega_7,nega_8,aff_1,aff_2,aff_3,aff_4,aff_5,aff_6,aff_7,aff_8,val_1,val_2,val_3,val_4,val_5,val_6,val_7,val_8,ioni1_1,ioni1_2,ioni1_3,ioni1_4,ioni1_5,ioni1_6,ioni1_7,ioni1_8,ioni2_1,ioni2_2,ioni2_3,ioni2_4,ioni2_5,ioni2_6,ioni2_7,ioni2_8,radius_1,radius_2,radius_3,radius_4,radius_5,radius_6,radius_7,radius_8,redox_1,redox_2,redox_3,redox_4,redox_5,redox_6,redox_7,redox_8,TC_1,TC_2,TC_3,TC_4,TC_5,TC_6,TC_7,TC_8,HF_1,HF_2,HF_3,HF_4,HF_5,HF_6,HF_7,HF_8,resis_1,resis_2,resis_3,resis_4,resis_5,resis_6,resis_7,resis_8,iradius_1,iradius_2,iradius_3,iradius_4,iradius_5,iradius_6,iradius_7,iradius_8,oxir_1,oxir_2,oxir_3,oxir_4,oxir_5,oxir_6,oxir_7,oxir_8,hyden_1,hyden_2,hyden_3,hyden_4,hyden_5,hyden_6,hyden_7,hyden_8,ioni3_1,ioni3_2,ioni3_3,ioni3_4,ioni3_5,ioni3_6,ioni3_7,ioni3_8,ioni4_1,ioni4_2,ioni4_3,ioni4_4,ioni4_5,ioni4_6,ioni4_7,ioni4_8,ioni5_1,ioni5_2,ioni5_3,ioni5_4,ioni5_5,ioni5_6,ioni5_7,ioni5_8,EC_1,EC_2,EC_3,EC_4,EC_5,EC_6,EC_7,EC_8,NC_1,NC_2,NC_3,NC_4,NC_5,NC_6,NC_7,NC_8,NM_1,NM_2,NM_3,NM_4,NM_5,NM_6,NM_7,NM_8,SH_1,SH_2,SH_3,SH_4,SH_5,SH_6,SH_7,SH_8,LCx_1,LCx_2,LCx_3,LCx_4,LCx_5,LCx_6,LCx_7,LCx_8,LCz_1,LCz_2,LCz_3,LCz_4,LCz_5,LCz_6,LCz_7,LCz_8
0.70675,2.801516962,2.718710897,2.692649902,2.792365674,2.739495361,2.794068722,2.702672941,2.542542604,3956.178244,3853.658,3818.590075,2273.12713,2219.588097,3938.557429,4078.146933,2044.986398,4.608874998,4.443905363,4.391993203,9.411935971,9.254210139,4.591441689,4.441099812,8.589390068,441537.3362,428439.4243,424314.9255,461446.4251,452791.4902,440382.4613,433114.809,420376.2821,2251197.498,2186752.815,2166038.038,2142424.056,2101339.926,2245168.599,2444667.667,1950865.65,18132.88291,17594.61528,17426.11933,18736.68852,18385.15006,18086.46787,17106.26445,17067.86269,0.070168111,0.067563982,0.066911904,0.079638477,0.078242519,0.070042571,-0.08993722,0.072305483,6939.280953,6843.390874,6783.088336,7722.547458,7567.688866,6919.621493,31224.33192,7113.252525,200.0249632,193.7699449,191.864194,190.7600448,187.1165336,199.4310879,146.9927442,173.3247263,46.6470216,45.23961632,44.84183178,40.40978814,39.65509333,46.5725896,10.8946197,36.78560541,4828.525512,4686.340232,4641.007248,4653.114833,4563.900349,4814.616747,4912.642145,4234.142413,379116.6297,369264.1443,366287.9168,546477.2128,536789.1274,378956.8114,377184.4284,500904.678,5421625.11,5278647.236,5234771.066,5300499.867,5202867.65,5415992.482,5355183.316,4846266.952,8313985.591,8070659.232,7993231.275,8012708.182,7859420.097,8290924.143,8451429.203,7293229.476,22047136.2,21418021.31,21219014.07,20834942.55,20437807.17,21993891.92,22370279.11,18979002.17,42578333.66,41308342.7,40905512.35,45093067.58,44246739.16,42460794.59,43340251.18,41074352.29,14995.24213,14764.58778,14623.39625,18477.94505,18110.58953,14941.57014,64682.63232,17010.56762,26.63045328,24.48195253,23.78804685,235.9673932,234.1260571,26.21211457,20.53481093,214.5737689,3.70E-06,3.59E-06,3.55E-06,3.02E-06,2.96E-06,3.69E-06,2.89E-06,2.74E-06,155681.9044,151072.4193,149652.7064,149062.5257,146238.8938,155301.4936,130200.4104,135700.0896,82727.08113,80539.17624,79846.29199,59367.13188,58181.4134,82550.87096,82598.98873,54006.11348,88415.8852,85566.79783,84658.72065,103689.6474,101765.0008,88100.30137,87756.29557,94336.11299
0.89175,2.799906876,2.716575478,2.647726563,2.791090618,2.782175602,2.777716836,2.67176952,2.541076679,3818.921196,3641.705189,2035.75441,2211.700434,3792.390886,4021.485799,2055.327896,1960.077431,4.712825777,4.597459231,9.166062998,9.575902761,4.691798753,4.695392468,9.264276215,8.80407299,442022.8817,429077.8995,438552.3637,461850.0181,439230.0593,445932.2209,442536.1273,420835.5642,2248704.261,2178500.81,2027330.545,2141027.224,2233845.833,2507364.347,2045604.64,1945380.682,18140.72398,17613.7795,17800.80409,18742.18318,18026.13307,17604.84376,17961.60504,17081.63868,0.069428664,0.068347994,0.075898143,0.078764164,0.069143776,-0.092968433,0.076570864,0.072949079,7138.68784,6780.256123,7392.998375,7936.733244,7059.390399,32083.45704,7455.570925,7059.185576,199.131258,193.3468489,180.1589897,190.0072671,197.9886228,150.8678739,181.8494063,173.0581258,46.23009362,45.09567848,38.25625388,40.08537237,45.94055581,11.15156923,38.56999821,36.70509021,4822.000688,4672.478619,4401.189394,4648.639882,4791.498107,5042.034354,4441.788813,4224.86253,380566.2756,371368.8945,525695.0794,548111.9087,377601.2977,388878.7754,529499.6317,503000.5704,5418656.769,5273506.855,5056784.422,5298312.57,5377721.808,5495425.572,5095401.167,4842781.193,8303045.352,8047588.641,7582562.218,8005186.396,8249927.548,8673844.308,7651803.934,7277783.164,22006852.36,21342603.79,19731085.86,20806833.58,21860000,22939526.38,19904706.99,18929552.77,42658245.99,41392685.44,42862350.63,45162641.55,42391585.72,44651042.67,43257383.49,41135472.12,15503.47103,14713.92635,17743.25635,19067.07172,15339.99417,66809.03427,17906.75415,16953.77955,30.43401844,30.1417128,254.8345949,260.7296972,30.68323555,25.19575306,260.5263521,247.2851803,3.66E-06,3.54E-06,2.82E-06,2.99E-06,3.64E-06,2.94E-06,2.85E-06,2.71E-06,155233.5304,150753.1308,141184.7951,148693.8233,154249.8097,133616.1737,142439.5508,135493.5264,81816.0894,79152.73021,55580.23508,58859.03266,81218.85649,83766.77295,56039.57383,53316.18506,88935.74933,86293.98148,98811.30434,104168.0701,88452.89856,90927.11258,99805.40233,94922.47064
0.334625,2.799937026,2.67339548,2.690532016,2.835921266,2.767770683,2.748266752,2.671786777,2.540951423,3817.7796,2055.453027,3605.973416,3900.544362,4044.949534,2155.843453,2054.947798,1956.8223,4.712825777,9.269887317,4.545547071,4.762351879,4.669831369,9.441983939,9.264276215,8.815089437,442013.108,442801.3762,424947.7172,447612.4328,444190.0983,454907.3114,442530.2641,420876.1306,2248137.281,2046498.45,2157456.33,2279562.872,2499261.564,2107130.755,2045294.622,1945998.018,18141.66479,17973.25068,17445.83064,18367.07859,17535.1936,18462.50198,17962.16315,17080.72756,0.069661498,0.076780113,0.067831311,0.069699934,-0.09237905,0.077934031,0.076722506,0.072542467,7094.30104,7430.900795,6694.142249,7327.224175,31996.64824,7780.091294,7427.20682,7138.643703,199.2425763,182.0149101,191.5058306,201.5702219,150.4370832,186.9956798,181.9103753,172.8676851,46.28865723,38.6264023,44.73194922,46.66588302,11.09444279,39.57379381,38.59918845,36.61633088,4821.476615,4444.04759,4626.840881,4887.438031,5027.101327,4573.855473,4441.498747,4225.227287,380561.7295,529932.4363,368390.0234,384298.7012,385706.7132,542575.0432,529495.8645,503119.0428,5418563.004,5099167.477,5229576.161,5479206.97,5460401.049,5234436.543,5095348.432,4842755.211,8302187.893,7655798.04,7969662.064,8414580.615,8646451.654,7878259.273,7651329.253,7278366.722,22004877.93,19915878.78,21142448.4,22294790.38,22854453.44,20490909.68,19903634.66,18930124.15,42654063.85,43280807.6,40987423.14,43208462.19,44484977.09,44471234.21,43254841.85,41145977.14,15404.02338,17844.4814,14514.90509,15921.95354,66668.18033,18672.35176,17836.53233,17154.45097,30.43913289,260.5954677,29.45078122,30.58546193,25.07337869,255.9569629,260.550938,248.8924864,3.66E-06,2.85E-06,3.51E-06,3.71E-06,2.94E-06,2.94E-06,2.85E-06,2.71E-06,155276.0987,142551.358,149358.1717,157133.2511,133108.9167,146477.0988,142462.9696,135415.0313,81811.03286,56071.08587,78456.90554,82974.61015,83541.9569,57914.77806,56037.4819,53286.84627,88930.69279,99856.55237,85382.96387,90094.27008,90652.42278,102474.4172,99802.00674,94962.40398
0.088125,2.800269849,2.673188529,2.647536868,2.836358984,2.782815406,2.778077909,2.671579826,2.541076679,3853.494877,2045.322525,2025.243811,3932.287936,3853.333014,4058.017635,2044.817297,1960.077431,4.687487328,9.296794363,9.192970045,4.737013429,4.647135327,4.670054019,9.291183261,8.80407299,441914.0884,442866.8295,438611.9538,447479.4096,439038.2921,445822.1878,442595.7174,420835.5642,2249866.606,2046228.167,2026750.244,2279319.629,2235894.668,2508662.546,2045024.339,1945380.682,18137.89241,17974.22628,17802.3378,18366.57936,18021.14193,17602.0882,17963.13874,17081.63868,0.069381154,0.076656723,0.075926396,0.070229638,0.069060032,-0.09290382,0.076599116,0.072949079,7133.499793,7462.291943,7396.025417,7211.997707,7050.245563,32060.65244,7458.597967,7059.185576,199.2402134,181.8994543,180.1045029,201.955144,198.1806755,150.9508573,181.7949195,173.0581258,46.2744359,38.57703177,38.23607359,46.85540918,46.01871681,11.16233807,38.54981792,36.70509021,4824.10378,4443.274828,4400.126566,4888.241903,4795.205171,5044.238799,4440.725985,4224.86253,380217.3652,530200.1919,525959.0678,383938.5204,376986.2823,388522.1114,529763.6201,503000.5704,5419472.034,5098801.555,5056365.765,5479789.784,5379158.854,5496253.189,5094982.511,4842781.193,8306550.832,7654500.838,7580790.335,8415960.383,8256106.565,8677514.994,7650032.051,7277783.164,22018603.06,19911124.05,19725258.8,22301646.31,21880712.66,22951800.32,19898879.93,18929552.77,42642857.89,43291888.09,42870889.49,43182706.25,42364461.53,44634897.65,43265922.34,41135472.12,15476.86566,17931.85645,17760.40959,15648.80951,15293.09757,66696.91164,17923.90739,16953.77955,29.50188023,264.6622328,258.9259459,29.66600285,29.04017976,24.41275697,264.6177031,247.2851803,3.67E-06,2.85E-06,2.82E-06,3.72E-06,3.65E-06,2.95E-06,2.85E-06,2.71E-06,155301.184,142493.9556,141150.8115,157306.4351,154369.061,133674.6143,142405.5672,135493.5264,82043.09376,55987.42941,55494.4867,83189.07893,81618.99117,83999.63278,55953.82544,53316.18506,88813.97642,99934.61206,98885.96845,89959.96159,88238.25261,90802.19859,99880.06644,94922.47064
0.0915,2.755568328,2.673378223,2.690514483,2.83599601,2.782490285,2.777716836,2.67176952,2.540856244,2166.586178,2055.833124,3606.637265,3897.714255,3822.364833,4021.485799,2055.327896,1947.863617,9.476850557,9.269887317,4.545547071,4.762351879,4.669831369,4.695392468,9.264276215,8.835340253,456108.775,442807.2394,424953.4007,447588.203,439135.74,445932.2209,442536.1273,420904.8107,2113332.803,2046808.468,2157786.034,2278157.284,2234853.538,2507364.347,2045604.64,1944706.345,18508.8918,17972.69258,17445.28355,18369.41093,18023.67821,17604.84376,17961.60504,17083.42092,0.077813862,0.076628471,0.067695916,0.070277147,0.069102587,-0.092968433,0.076570864,0.07298191,7850.4718,7459.2649,6719.953584,7217.185754,7054.892577,32083.45704,7455.570925,7062.703143,187.4501813,181.9539411,191.441098,201.8461886,198.0830826,150.8678739,181.8494063,172.9948096,39.58739528,38.59721206,44.69789394,46.81106689,45.97899874,11.15156923,38.56999821,36.68163977,4587.592752,4444.337656,4627.145635,4886.138812,4793.3214,5042.034354,4441.788813,4223.627473,542809.2626,529936.2035,368392.6671,384287.4308,377298.8068,388878.7754,529499.6317,503307.3374,5239974.948,5099220.212,5229630.686,5478974.519,5378428.609,5495425.572,5095401.167,4842294.694,7901029.792,7656272.721,7970160.685,8412454.904,8252966.653,8673844.308,7651803.934,7275724.152,20542481.87,19916951.11,21143596.55,22289895.61,21870187.37,22939526.38,19904706.99,18922781.45,44598445.21,43283349.24,40989855.09,43198094.34,42378244.88,44651042.67,43257383.49,41145394.67,18858.28276,17914.70321,14572.73481,15675.41488,15316.92841,66809.03427,17906.75415,16973.71243,259.3729502,260.5708818,29.44780712,30.59814106,29.8751104,25.19575306,260.5263521,252.039524,2.95E-06,2.85E-06,3.51E-06,3.71E-06,3.65E-06,2.94E-06,2.85E-06,2.71E-06,146796.7206,142527.9392,149333.4179,157238.7814,154308.4626,133616.1737,142439.5508,135454.0359,58043.73771,56073.17779,78459.84596,82962.07457,81415.65985,83766.77295,56039.57383,53216.54138,102844.6913,99859.94796,85385.9043,90081.7345,88347.3265,90927.11258,99805.40233,95009.23386
0.087875,2.755240732,2.716785733,2.690724737,2.835558293,2.767447265,2.74790948,2.671976472,2.540951423,2146.136812,3659.398337,3624.330412,3865.970682,4012.227402,2136.047726,2065.458397,1956.8223,9.527527456,4.584005707,4.532093548,4.787690328,4.69252741,9.492660838,9.237369168,8.815089437,456210.9247,429014.4518,424889.9531,447721.2262,444288.6567,455019.5437,442470.6741,420876.1306,2111706.734,2178788.256,2158073.48,2278400.528,2498098.748,2106037.813,2045874.923,1945998.018,18512.74013,17612.82316,17444.32721,18369.91017,17537.6618,18465.39056,17960.62944,17080.72756,0.078127847,0.068458164,0.067806086,0.069747443,-0.092436925,0.077987242,0.076694254,0.072542467,7807.396247,6751.690178,6691.38764,7332.412222,32017.07468,7785.792445,7424.179777,7138.643703,187.4524068,193.4694316,191.5636807,201.4612665,150.3627537,186.8930591,181.9648621,172.8676851,39.59958499,45.15327743,44.75549289,46.62154073,11.08479698,39.53578613,38.61936874,36.61633088,4585.092198,4673.290508,4627.957524,4885.33494,5025.126771,4571.853735,4442.561575,4225.227287,543299.9817,371180.9958,368204.7684,384647.6116,386026.1827,543072.2406,529231.8761,503119.0428,5239095.76,5273885.197,5230009.028,5478391.705,5459659.74,5233648.042,5095767.089,4842755.211,7896876.325,8048951.265,7971523.309,8411075.135,8643163.764,7874922.098,7653101.136,7278366.722,20529663.11,21347694.71,21148687.47,22283039.67,22843459.48,20479934.96,19909461.71,18930124.15,44610156.58,41382083.13,40979252.78,43223850.29,44499438.44,44487316.33,43246303,41145977.14,18769.83142,14641.97042,14500.77889,15948.55891,66768.61031,18704.65828,17819.37909,17154.45097,267.1209055,29.64976541,28.95585973,31.51760013,25.77472043,263.6626388,256.459587,248.8924864,2.94E-06,3.55E-06,3.51E-06,3.70E-06,2.93E-06,2.93E-06,2.85E-06,2.71E-06,146772.9881,150813.8056,149394.0926,157065.5975,133056.5705,146413.0939,142496.9532,135415.0313,57878.64126,79270.31841,78577.43416,82747.60579,83333.38074,57753.27902,56123.23029,53286.84627,102979.4749,86226.38537,85318.30819,90216.04299,90764.31018,102615.0401,99727.34264,94962.40398
0.4585,2.797630752,2.714994939,2.646170849,2.788540504,2.735810992,2.745996703,2.698976438,2.539437909,3586.011685,3499.708126,1954.451666,2061.182207,2015.444656,2023.140939,3704.15034,1872.961515,4.880163632,4.703309071,9.377762678,9.954513239,9.776815677,9.776659649,4.70050352,9.029772359,442702.1432,429553.202,439042.6907,462648.052,453948.8864,455618.1272,434241.2793,421351.5814,2238752.736,2174853.247,2023900.774,2130722.356,2090068.953,2098306.549,2431377.29,1941367.976,18163.19942,17623.60364,17810.82604,18767.61542,18414.93858,18484.47019,17134.4746,17092.96448,0.070676778,0.068050364,0.075564797,0.080208183,0.078791255,0.079071145,-0.090598699,0.072767884,6994.827301,6896.503783,7520.743057,7783.587401,7626.481989,7670.779493,31457.79526,7162.795532,198.8584221,192.654509,179.5069021,189.6613259,186.0582573,186.6338603,146.143197,172.4329521,46.17226649,44.78565983,37.99052361,40.00285518,39.26313917,39.47403031,10.78437312,36.45531869,4806.008555,4664.809724,4393.890085,4631.68303,4543.25743,4559.132862,4890.074023,4216.747312,382852.2742,372836.1333,527785.8947,551800.5062,541916.4757,545839.0695,380835.795,505225.3237,5412896.398,5270300.921,5053683.734,5292057.704,5194736.235,5228955.962,5346710.542,4839414.878,8276453.826,8034771.702,7570360.642,7976978.384,7825005.477,7853760.745,8413850.361,7264229.422,21921326.09,21297722.84,19689168.75,20717440.66,20324630.4,20412875.42,22244623.95,18883631.88,42743087.85,41465879.15,42938845.5,45265252.44,44412586.07,44564273.32,43505536.74,41214105.96,15280.0952,15036.96167,18135.51353,18823.83806,18443.75056,18521.86754,65830.49373,17291.31133,36.61048391,34.02476645,286.934505,318.4689798,313.5908422,306.9734647,28.55077462,281.536098,3.61E-06,3.50E-06,2.79E-06,2.95E-06,2.89E-06,2.90E-06,2.82E-06,2.68E-06,154957.5638,150379.8114,140831.6098,148377.2507,145578.843,146175.7433,129602.1216,135143.8867,80296.63637,78215.20722,54913.2476,57638.0263,56515.95448,56837.38208,80215.07397,52602.68669,89719.65904,86813.45444,99411.18947,105195.2398,103215.1739,103385.5121,89035.10912,95558.12554
0.459,2.797993726,2.671632814,2.645981154,2.788897776,2.736131006,2.790545485,2.698784725,2.53929514,3620.585366,1964.019782,1943.941067,2080.977934,2033.175995,3602.964551,3684.753655,1865.051015,4.854825182,9.508494044,9.404669725,9.90383634,9.731423593,4.837391873,4.713957043,9.050023175,442593.3498,443357.1565,439102.2808,462535.8197,453848.3581,441438.4749,434299.7017,421396.4302,2239915.081,2042798.396,2023320.473,2131815.298,2091047.919,2233886.182,2430688.008,1940931.229,18160.36784,17984.24823,17812.35974,18764.72684,18412.35123,18113.95281,17135.93767,17094.11878,0.070629268,0.076323378,0.07559305,0.080154972,0.078743593,0.070503728,-0.090633006,0.072789148,6989.639254,7590.036625,7523.770099,7777.88625,7621.375379,6969.979793,31469.90343,7165.073749,198.9673774,181.2473667,179.4524153,189.7639466,186.1501763,198.3735021,146.0991367,172.3919442,46.21660878,38.3113015,37.97034332,40.04086286,39.29718324,46.14217678,10.77865538,36.44013058,4808.111646,4435.975519,4392.827257,4633.684768,4545.050417,4794.202882,4888.903566,4215.947405,382503.3638,532291.0072,528049.8831,551303.3088,541471.1283,382343.5455,381025.1668,505424.007,5413711.662,5095700.867,5053265.077,5292846.205,5195442.507,5408079.035,5346271.117,4839099.788,8279959.306,7642299.262,7568588.76,7980315.559,7827994.637,8256897.857,8411901.399,7262895.865,21933076.8,19869206.94,19683341.69,20728415.37,20334460.63,21879832.52,22238107.07,18879246.31,42727699.76,43368382.95,42947384.35,45249170.32,44398181.06,42610160.7,43514108.99,41220532.48,15253.48982,18324.11363,18152.66677,18791.53154,18414.8131,15199.81783,65890.02557,17304.22122,35.6783457,296.7621429,291.025856,310.7633039,306.6887489,35.26000699,28.96650867,284.6153359,3.62E-06,2.82E-06,2.79E-06,2.96E-06,2.90E-06,3.61E-06,2.82E-06,2.68E-06,155025.2174,142140.7703,140797.6262,148441.2556,145636.1732,154644.8066,129571.0924,135118.31,80523.64073,55320.44192,54827.49921,57799.52534,56660.61167,80347.43056,80091.43636,52538.15063,89597.88612,100534.4972,99485.85357,105054.6169,103089.2158,89282.3023,89101.43257,95614.31934
1.80875,2.796111116,2.669772402,2.644120742,2.787044737,2.734342158,2.773940949,2.668163699,2.537608781,3457.370118,1856.041876,1835.963161,1987.526371,1942.319438,3639.457492,1855.536648,1767.928234,4.977800275,9.781351275,9.677526957,10.14978653,9.97003032,4.960366966,9.775740173,9.29597336,443160.5782,443939.9607,439685.085,463120.9784,454413.034,447082.8826,443668.8486,421924.9588,2236549.146,2035777.784,2016299.861,2128650.339,2087818.227,2493788.555,2034573.956,1934771.924,18170.33488,18001.84603,17829.95754,18774.89456,18422.50201,17633.65973,17990.75849,17109.677,0.069925491,0.077165508,0.07643518,0.079366742,0.078056784,-0.093644118,0.077107901,0.073465575,7192.941369,7516.804595,7450.53807,8001.295168,7823.545559,32321.93409,7513.11062,7114.524367,197.9918677,180.9182266,179.1232752,188.8451525,185.2901299,150.0000824,180.8136917,172.0620275,45.76638825,38.21361409,37.87265591,39.65495955,38.93779466,11.03895507,38.18640024,36.33616494,4800.007805,4424.13483,4380.986568,4625.971473,4537.418439,5018.981572,4421.585987,4205.432465,384214.9745,534954.2403,530713.1162,553742.3541,543835.4149,392608.5564,534517.6685,507826.6664,5410131.215,5091262.153,5048826.363,5289383.297,5192055.907,5486770.842,5087443.108,4835127.531,8266387.124,7622591.796,7548881.294,7967395.002,7815216.051,8635458.446,7618123.01,7245390.541,21883970.43,19806187.2,19620321.95,20682551.88,20289415.74,22811172.73,19793943.07,18823025.6,42819165.6,43445660.41,43024661.8,45344761.41,44489612.61,44819877.8,43419694.66,41291574.86,15781.69425,18240.76148,18069.31462,19432.92262,19000.98669,67981.54643,18232.81242,17267.36604,40.18176777,338.3415341,332.6052471,347.991593,342.8181221,33.38386251,338.2970044,322.081091,3.57E-06,2.78E-06,2.76E-06,2.92E-06,2.86E-06,2.87E-06,2.78E-06,2.65E-06,154526.0484,141881.9602,140538.8161,147969.0081,145190.0542,133005.0365,141793.5718,134872.2562,79442.21229,54443.22527,53950.28257,57030.15836,55913.14162,81331.66274,54409.62131,51748.57853,90209.17835,101279.2043,100230.5607,105760.5346,103772.3125,92233.38913,101224.6587,96287.44021
1.567875,2.795869134,2.669898865,2.672733597,2.786806556,2.734128815,2.744262754,2.668290162,2.537557004,3418.215246,1867.945183,3471.331997,1965.107608,1922.238605,1927.06634,1867.439955,1763.05471,5.003138724,9.754444229,4.787825527,10.20046342,10.0154224,10.02260983,9.748833126,9.306989806,443230.1499,443901.8538,430928.0237,463192.7493,454477.3203,456162.8244,443630.7417,421940.5607,2233111.528,2037494.017,2402681.471,2125417.976,2084922.95,2093002.17,2036290.189,1934069.254,18176.94188,17998.26739,16995.91557,18781.63458,18428.53916,18498.48935,17987.17985,17111.14219,0.070907356,0.076581625,-0.090129718,0.080466431,0.079041792,0.079329392,0.076524018,0.073704632,7020.006451,7617.706021,31330.29081,7811.256797,7653.325245,7698.448889,7614.012045,7073.212691,198.3296292,180.7493176,144.3294515,189.1632767,185.5750787,186.1358111,180.6447828,172.1311833,45.95706008,38.12683886,10.63749674,39.81839255,39.08418413,39.28956768,38.09962502,36.37169298,4795.801622,4426.260487,4833.493981,4621.967998,4533.832464,4549.417829,4423.711644,4204.562166,384545.6412,534704.0552,380026.9726,554213.5542,544257.4761,548252.1175,534267.4834,507929.0987,5408939.674,5091874.036,5301721.984,5288230.873,5191023.663,5225129.131,5088054.991,4834877.01,8259440.683,7626102.95,8317924.856,7960782.072,7809292.747,7837564.434,7621634.164,7243952.983,21864296.39,19815943.36,21984362.87,20664177.07,20272957.14,20359611.83,19803699.23,18819031.17,42817770.9,43446434.32,43195887.68,45343303.81,44488307.02,44642324.69,43420468.57,41291258,15409.21904,18480.90687,65866.75682,18980.6313,18595.86235,18678.66078,18472.95781,17169.04425,41.13443012,334.1600983,32.18826751,355.8669351,349.8721881,344.3714201,334.1155686,323.7930799,3.57E-06,2.78E-06,2.76E-06,2.92E-06,2.86E-06,2.87E-06,2.78E-06,2.65E-06,154629.2203,141830.1352,128141.7902,148066.6156,145277.4827,145865.1082,141741.7468,134893.4747,79194.91617,54536.63865,78298.99328,56854.22303,55755.55362,56053.57881,54503.03468,51710.33265,90310.6595,101216.982,88824.62938,105877.7246,103877.2814,104067.9968,101162.4364,96312.91567
