1,2,3,4,5,6,7,8
Ni,Ni,Co,Co,Cu,Co,Co,Co
Fe,Fe,Mn,Co,Co,Co,Co,Co
Fe,Mn,Fe,Fe,Mn,Mn,Mn,Mn
Fe,Fe,Fe,Mn,Fe,Mn,Mn,Mn
Fe,Cu,Fe,Fe,Fe,Fe,Fe,Fe
Fe,Fe,Cu,Ni,Fe,Fe,Fe,Fe
Fe,Fe,Ni,Cu,Fe,Co,Co,Co
Fe,Co,Cu,Fe,Fe,Fe,Fe,Fe
Ni,Ni,Ni,Co,Co,Ni,Cu,Co
Ni,Ni,Co,Co,Ni,Cu,Co,Co
Ni,Co,Ni,Ni,Cu,Co,Co,Co
Ni,Co,Co,Ni,Ni,Cu,Co,Co
Co,Co,Ni,Ni,Ni,Cu,Co,Co
Co,Ni,Ni,Ni,Cu,Co,Co,Co
Ni,Ni,Co,Co,Co,Co,Cu,Co
Ni,Co,Co,Co,Co,Ni,Cu,Co
Ni,Co,Co,Co,Co,Cu,Co,Co
Ni,Co,Cu,Co,Co,Co,Co,Co
Co,Co,Co,Co,Co,Ni,Cu,Co
Co,Cu,Ni,Cu,Cu,Cu,Cu,Cu
Cu,Cu,Cu,Ni,Cu,Cu,Cu,Co
Cu,Cu,Ni,Cu,Cu,Cu,Cu,Co
Co,Co,Cu,Ni,Cu,Cu,Cu,Fe
Ni,Co,Co,Co,Co,Cu,Fe,Co
Ni,Co,Cu,Fe,Co,Co,Co,Co
Fe,Co,Cu,Cu,Cu,Cu,Ni,Cu
Fe,Ni,Cu,Fe,Co,Co,Co,Co
Fe,Co,Cu,Ni,Cu,Cu,Cu,Fe
Co,Ni,Cu,Cu,Cu,Cu,Fe,Fe
Fe,Co,Ni,Cu,Fe,Fe,Fe,Fe
Fe,Fe,Fe,Fe,Co,Ni,Cu,Fe
Fe,Fe,Fe,Cu,Co,Ni,Fe,Fe
Co,Co,Ni,Ni,Ni,Ni,Ni,Ni
Co,Co,Co,Ni,Ni,Ni,Ni,Ni
Co,Co,Co,Co,Ni,Ni,Ni,Ni
Co,Co,Co,Co,Co,Ni,Ni,Ni
Co,Co,Co,Co,Co,Co,Ni,Ni
Co,Co,Co,Co,Co,Co,Co,Ni
Fe,Co,Co,Ni,Ni,Ni,Ni,Ni
Fe,Co,Co,Co,Ni,Ni,Ni,Ni
Co,Co,Ni,Ni,Ni,Fe,Ni,Co
Fe,Co,Co,Co,Co,Ni,Ni,Ni
Fe,Fe,Co,Ni,Ni,Ni,Ni,Ni
Fe,Fe,Co,Co,Ni,Ni,Ni,Co
Fe,Co,Ni,Ni,Ni,Co,Co,Fe
Fe,Fe,Co,Co,Co,Co,Co,Ni
Fe,Fe,Fe,Co,Co,Co,Co,Ni
Fe,Fe,Fe,Fe,Co,Ni,Ni,Ni
Fe,Fe,Fe,Fe,Fe,Co,Co,Ni
Fe,Fe,Fe,Fe,Fe,Fe,Co,Ni
Co,Ni,Zn,Zn,Zn,Zn,Zn,Zn
Co,Ni,Ni,Ni,Zn,Zn,Zn,Zn
Co,Ni,Ni,Ni,Ni,Zn,Zn,Zn
Co,Ni,Ni,Ni,Ni,Ni,Zn,Zn
Co,Co,Ni,Ni,Ni,Ni,Ni,Zn
Co,Co,Co,Ni,Ni,Ni,Ni,Zn
Co,Co,Co,Co,Co,Co,Ni,Zn
Fe,Co,Ni,Zn,Zn,Zn,Zn,Zn
Fe,Co,Ni,Ni,Zn,Zn,Zn,Zn
Fe,Co,Ni,Ni,Ni,Zn,Zn,Zn
Fe,Co,Co,Co,Ni,Ni,Ni,Zn
Fe,Co,Co,Co,Co,Ni,Ni,Zn
Fe,Co,Co,Co,Co,Co,Ni,Zn
Fe,Fe,Co,Ni,Ni,Ni,Zn,Zn
Fe,Fe,Co,Co,Co,Ni,Ni,Zn
Fe,Fe,Fe,Fe,Co,Ni,Zn,Zn
Fe,Fe,Fe,Fe,Co,Co,Ni,Zn
Co,Co,Co,Co,Co,Zn,Zn,Zn
Co,Co,Co,Co,Co,Co,Zn,Zn
Fe,Co,Co,Co,Co,Co,Zn,Zn
Fe,Fe,Co,Co,Co,Zn,Zn,Zn
Fe,Fe,Fe,Fe,Co,Zn,Zn,Zn
Fe,Fe,Fe,Fe,Fe,Co,Zn,Zn
Fe,Fe,Fe,Fe,Fe,Fe,Co,Zn
Fe,Fe,Cu,Cu,Cu,Cu,Cu,Cu
Fe,Fe,Fe,Cu,Cu,Cu,Cu,Cu
Fe,Fe,Cu,Cu,Fe,Fe,Cu,Cu
Fe,Fe,Fe,Fe,Fe,Fe,Cu,Cu
Ni,Ni,Ni,Ni,Ni,Ni,Ni,Cu
Ni,Cu,Ni,Ni,Ni,Ni,Ni,Ni
Ni,Ni,Cu,Ni,Ni,Ni,Ni,Ni
Ni,Ni,Ni,Cu,Ni,Ni,Ni,Ni
Ni,Ni,Ni,Ni,Cu,Ni,Ni,Ni
Ni,Ni,Ni,Ni,Ni,Cu,Ni,Ni
Ni,Ni,Ni,Ni,Ni,Ni,Cu,Ni
Ni,Ni,Ni,Ni,Ni,Ni,Cu,Fe
Ni,Ni,Ni,Cu,Cu,Cu,Fe,Fe
Ni,Ni,Fe,Cu,Cu,Cu,Fe,Ni
Ni,Ni,Ni,Ni,Ni,Cu,Fe,Fe
Fe,Ni,Ni,Ni,Ni,Cu,Fe,Ni
Ni,Cu,Cu,Cu,Cu,Cu,Fe,Fe
Ni,Ni,Ni,Cu,Cu,Fe,Fe,Fe
Fe,Ni,Ni,Ni,Cu,Cu,Fe,Fe
